**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=32, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4391, 3:0.4321, 5:0.4468, 10:0.4845, 20:0.5578
test err 1:0.1983, 3:0.2886, 5:0.3193, 10:0.3398, 20:0.3487
test ndcg 1:0.4563, 3:0.4545, 5:0.4746, 10:0.5017, 20:0.5673
test err 1:0.2147, 3:0.3064, 5:0.3381, 10:0.3577, 20:0.3654
test ndcg 1:0.4115, 3:0.4360, 5:0.4528, 10:0.4946, 20:0.5667
test err 1:0.1845, 3:0.2837, 5:0.3132, 10:0.3349, 20:0.3436
test ndcg 1:0.4207, 3:0.4492, 5:0.4646, 10:0.5062, 20:0.5702
test err 1:0.1948, 3:0.2940, 5:0.3242, 10:0.3444, 20:0.3526
test ndcg 1:0.4678, 3:0.4643, 5:0.4789, 10:0.5174, 20:0.5786
test err 1:0.2250, 3:0.3168, 5:0.3446, 10:0.3669, 20:0.3740
test ndcg 1:0.4931, 3:0.4847, 5:0.4930, 10:0.5244, 20:0.5804
test err 1:0.2405, 3:0.3290, 5:0.3556, 10:0.3767, 20:0.3835
test ndcg 1:0.4954, 3:0.4898, 5:0.4999, 10:0.5271, 20:0.5898
test err 1:0.2388, 3:0.3316, 5:0.3574, 10:0.3775, 20:0.3849
test ndcg 1:0.5103, 3:0.5045, 5:0.5077, 10:0.5341, 20:0.5944
test err 1:0.2345, 3:0.3316, 5:0.3569, 10:0.3769, 20:0.3847
test ndcg 1:0.4897, 3:0.4828, 5:0.4939, 10:0.5186, 20:0.5808
test err 1:0.2379, 3:0.3277, 5:0.3543, 10:0.3749, 20:0.3826
test ndcg 1:0.4770, 3:0.4813, 5:0.4975, 10:0.5245, 20:0.5840
test err 1:0.2319, 3:0.3260, 5:0.3541, 10:0.3735, 20:0.3811
test ndcg 1:0.4943, 3:0.4858, 5:0.4984, 10:0.5325, 20:0.5896
test err 1:0.2397, 3:0.3308, 5:0.3582, 10:0.3792, 20:0.3863
test ndcg 1:0.4988, 3:0.4962, 5:0.5134, 10:0.5350, 20:0.5942
test err 1:0.2397, 3:0.3339, 5:0.3639, 10:0.3826, 20:0.3900
test ndcg 1:0.4965, 3:0.4974, 5:0.5158, 10:0.5341, 20:0.5956
test err 1:0.2345, 3:0.3317, 5:0.3600, 10:0.3781, 20:0.3859
test ndcg 1:0.4965, 3:0.5006, 5:0.5123, 10:0.5394, 20:0.5998
test err 1:0.2345, 3:0.3358, 5:0.3616, 10:0.3807, 20:0.3877
test ndcg 1:0.4805, 3:0.4906, 5:0.5042, 10:0.5352, 20:0.5929
test err 1:0.2345, 3:0.3291, 5:0.3568, 10:0.3763, 20:0.3837
test ndcg 1:0.4828, 3:0.4940, 5:0.5041, 10:0.5308, 20:0.5927
test err 1:0.2345, 3:0.3292, 5:0.3558, 10:0.3749, 20:0.3827
