**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=4, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.5241, 3:0.5039, 5:0.5148, 10:0.5480, 20:0.6041
test err 1:0.2534, 3:0.3411, 5:0.3683, 10:0.3894, 20:0.3955
test ndcg 1:0.4965, 3:0.4960, 5:0.4995, 10:0.5440, 20:0.5984
test err 1:0.2328, 3:0.3282, 5:0.3531, 10:0.3774, 20:0.3834
test ndcg 1:0.5080, 3:0.5041, 5:0.5191, 10:0.5497, 20:0.6046
test err 1:0.2414, 3:0.3335, 5:0.3611, 10:0.3821, 20:0.3884
test ndcg 1:0.4977, 3:0.4989, 5:0.5104, 10:0.5450, 20:0.6008
test err 1:0.2371, 3:0.3304, 5:0.3568, 10:0.3791, 20:0.3852
test ndcg 1:0.4897, 3:0.4967, 5:0.5063, 10:0.5384, 20:0.5980
test err 1:0.2259, 3:0.3228, 5:0.3500, 10:0.3708, 20:0.3778
test ndcg 1:0.5184, 3:0.5100, 5:0.5263, 10:0.5490, 20:0.6045
test err 1:0.2457, 3:0.3409, 5:0.3692, 10:0.3878, 20:0.3944
test ndcg 1:0.4988, 3:0.4912, 5:0.5011, 10:0.5354, 20:0.5963
test err 1:0.2345, 3:0.3282, 5:0.3565, 10:0.3774, 20:0.3840
test ndcg 1:0.5138, 3:0.5036, 5:0.5131, 10:0.5466, 20:0.6004
test err 1:0.2440, 3:0.3329, 5:0.3595, 10:0.3811, 20:0.3877
test ndcg 1:0.5069, 3:0.5014, 5:0.5133, 10:0.5483, 20:0.6032
test err 1:0.2440, 3:0.3337, 5:0.3588, 10:0.3818, 20:0.3879
test ndcg 1:0.4977, 3:0.4974, 5:0.5082, 10:0.5345, 20:0.5941
test err 1:0.2371, 3:0.3303, 5:0.3577, 10:0.3770, 20:0.3845
test ndcg 1:0.5023, 3:0.4985, 5:0.5128, 10:0.5404, 20:0.5943
test err 1:0.2371, 3:0.3323, 5:0.3591, 10:0.3799, 20:0.3864
test ndcg 1:0.5126, 3:0.4902, 5:0.5096, 10:0.5393, 20:0.5971
test err 1:0.2448, 3:0.3300, 5:0.3606, 10:0.3813, 20:0.3879
test ndcg 1:0.5069, 3:0.4972, 5:0.5120, 10:0.5415, 20:0.6001
