**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=8, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4529, 3:0.4514, 5:0.4699, 10:0.5000, 20:0.5616
test err 1:0.2207, 3:0.3121, 5:0.3422, 10:0.3612, 20:0.3688
test ndcg 1:0.4517, 3:0.4755, 5:0.4917, 10:0.5238, 20:0.5802
test err 1:0.2129, 3:0.3138, 5:0.3452, 10:0.3637, 20:0.3710
test ndcg 1:0.4356, 3:0.4417, 5:0.4631, 10:0.4980, 20:0.5657
test err 1:0.2026, 3:0.2969, 5:0.3275, 10:0.3488, 20:0.3566
test ndcg 1:0.4736, 3:0.4861, 5:0.4934, 10:0.5270, 20:0.5846
test err 1:0.2155, 3:0.3179, 5:0.3445, 10:0.3660, 20:0.3727
test ndcg 1:0.4908, 3:0.4680, 5:0.4779, 10:0.5101, 20:0.5760
test err 1:0.2284, 3:0.3158, 5:0.3445, 10:0.3660, 20:0.3736
test ndcg 1:0.4759, 3:0.4863, 5:0.4974, 10:0.5258, 20:0.5850
test err 1:0.2328, 3:0.3288, 5:0.3542, 10:0.3753, 20:0.3824
test ndcg 1:0.4736, 3:0.4880, 5:0.5001, 10:0.5309, 20:0.5896
test err 1:0.2310, 3:0.3285, 5:0.3549, 10:0.3752, 20:0.3824
test ndcg 1:0.4897, 3:0.5032, 5:0.5092, 10:0.5413, 20:0.5979
test err 1:0.2276, 3:0.3278, 5:0.3535, 10:0.3746, 20:0.3816
test ndcg 1:0.4931, 3:0.5001, 5:0.5102, 10:0.5335, 20:0.5957
test err 1:0.2336, 3:0.3340, 5:0.3604, 10:0.3790, 20:0.3867
test ndcg 1:0.4724, 3:0.4867, 5:0.4990, 10:0.5285, 20:0.5902
test err 1:0.2198, 3:0.3193, 5:0.3474, 10:0.3681, 20:0.3750
test ndcg 1:0.5023, 3:0.5038, 5:0.5136, 10:0.5441, 20:0.5976
test err 1:0.2405, 3:0.3385, 5:0.3643, 10:0.3848, 20:0.3916
test ndcg 1:0.5126, 3:0.5225, 5:0.5256, 10:0.5503, 20:0.6011
test err 1:0.2431, 3:0.3420, 5:0.3686, 10:0.3879, 20:0.3938
test ndcg 1:0.4471, 3:0.4883, 5:0.4919, 10:0.5269, 20:0.5915
test err 1:0.2043, 3:0.3136, 5:0.3384, 10:0.3607, 20:0.3678
test ndcg 1:0.5149, 3:0.5119, 5:0.5238, 10:0.5461, 20:0.6035
test err 1:0.2448, 3:0.3420, 5:0.3695, 10:0.3889, 20:0.3954
test ndcg 1:0.4988, 3:0.5049, 5:0.5178, 10:0.5435, 20:0.5987
test err 1:0.2379, 3:0.3354, 5:0.3635, 10:0.3824, 20:0.3891
test ndcg 1:0.5115, 3:0.5150, 5:0.5237, 10:0.5484, 20:0.6022
test err 1:0.2405, 3:0.3373, 5:0.3637, 10:0.3837, 20:0.3899
test ndcg 1:0.5092, 3:0.5217, 5:0.5201, 10:0.5477, 20:0.6026
test err 1:0.2405, 3:0.3382, 5:0.3650, 10:0.3842, 20:0.3908
test ndcg 1:0.4851, 3:0.4995, 5:0.5019, 10:0.5257, 20:0.5907
test err 1:0.2345, 3:0.3322, 5:0.3586, 10:0.3767, 20:0.3849
test ndcg 1:0.5207, 3:0.5203, 5:0.5273, 10:0.5520, 20:0.6057
test err 1:0.2474, 3:0.3464, 5:0.3724, 10:0.3917, 20:0.3980
test ndcg 1:0.5000, 3:0.5056, 5:0.5124, 10:0.5422, 20:0.6010
test err 1:0.2371, 3:0.3368, 5:0.3637, 10:0.3833, 20:0.3900
test ndcg 1:0.4931, 3:0.5038, 5:0.5140, 10:0.5425, 20:0.5973
test err 1:0.2388, 3:0.3397, 5:0.3677, 10:0.3862, 20:0.3927
test ndcg 1:0.5172, 3:0.5218, 5:0.5236, 10:0.5485, 20:0.6045
test err 1:0.2431, 3:0.3420, 5:0.3674, 10:0.3872, 20:0.3932
test ndcg 1:0.5000, 3:0.5102, 5:0.5196, 10:0.5463, 20:0.6011
test err 1:0.2405, 3:0.3371, 5:0.3655, 10:0.3845, 20:0.3907
test ndcg 1:0.5046, 3:0.5183, 5:0.5261, 10:0.5550, 20:0.6043
test err 1:0.2371, 3:0.3383, 5:0.3653, 10:0.3854, 20:0.3909
test ndcg 1:0.4885, 3:0.5060, 5:0.5144, 10:0.5437, 20:0.5988
test err 1:0.2319, 3:0.3325, 5:0.3585, 10:0.3794, 20:0.3856
test ndcg 1:0.4874, 3:0.5009, 5:0.5044, 10:0.5354, 20:0.5932
test err 1:0.2362, 3:0.3364, 5:0.3613, 10:0.3806, 20:0.3878
test ndcg 1:0.4874, 3:0.4897, 5:0.4996, 10:0.5239, 20:0.5852
