**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=4, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4161, 3:0.4045, 5:0.4238, 10:0.4577, 20:0.5373
test err 1:0.2017, 3:0.2819, 5:0.3134, 10:0.3335, 20:0.3431
test ndcg 1:0.4276, 3:0.4297, 5:0.4353, 10:0.4786, 20:0.5433
test err 1:0.2034, 3:0.2856, 5:0.3136, 10:0.3382, 20:0.3457
test ndcg 1:0.4655, 3:0.4599, 5:0.4708, 10:0.5115, 20:0.5743
test err 1:0.2250, 3:0.3129, 5:0.3409, 10:0.3626, 20:0.3700
test ndcg 1:0.4839, 3:0.4699, 5:0.4858, 10:0.5211, 20:0.5828
test err 1:0.2319, 3:0.3205, 5:0.3482, 10:0.3716, 20:0.3781
test ndcg 1:0.4241, 3:0.4438, 5:0.4729, 10:0.5073, 20:0.5734
test err 1:0.1871, 3:0.2901, 5:0.3215, 10:0.3430, 20:0.3511
test ndcg 1:0.4805, 3:0.4844, 5:0.4975, 10:0.5295, 20:0.5871
test err 1:0.2259, 3:0.3227, 5:0.3492, 10:0.3711, 20:0.3776
test ndcg 1:0.4828, 3:0.4787, 5:0.4910, 10:0.5205, 20:0.5804
test err 1:0.2379, 3:0.3251, 5:0.3533, 10:0.3745, 20:0.3815
test ndcg 1:0.4770, 3:0.4820, 5:0.5022, 10:0.5267, 20:0.5868
test err 1:0.2336, 3:0.3267, 5:0.3551, 10:0.3741, 20:0.3819
test ndcg 1:0.4908, 3:0.4933, 5:0.5000, 10:0.5277, 20:0.5847
test err 1:0.2422, 3:0.3339, 5:0.3615, 10:0.3817, 20:0.3886
test ndcg 1:0.4885, 3:0.4768, 5:0.4951, 10:0.5249, 20:0.5873
test err 1:0.2336, 3:0.3204, 5:0.3510, 10:0.3717, 20:0.3789
test ndcg 1:0.4874, 3:0.4921, 5:0.5045, 10:0.5380, 20:0.5980
