**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=5, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4069, 3:0.3931, 5:0.4072, 10:0.4566, 20:0.5361
test err 1:0.1931, 3:0.2729, 5:0.3042, 10:0.3284, 20:0.3368
test ndcg 1:0.4621, 3:0.4522, 5:0.4652, 10:0.5011, 20:0.5661
test err 1:0.2138, 3:0.3043, 5:0.3326, 10:0.3553, 20:0.3626
test ndcg 1:0.4793, 3:0.4651, 5:0.4720, 10:0.5071, 20:0.5700
test err 1:0.2267, 3:0.3145, 5:0.3429, 10:0.3646, 20:0.3726
test ndcg 1:0.4908, 3:0.4713, 5:0.4887, 10:0.5179, 20:0.5762
test err 1:0.2371, 3:0.3232, 5:0.3530, 10:0.3734, 20:0.3804
test ndcg 1:0.4954, 3:0.4978, 5:0.5072, 10:0.5373, 20:0.5944
test err 1:0.2284, 3:0.3281, 5:0.3567, 10:0.3765, 20:0.3830
test ndcg 1:0.4782, 3:0.4948, 5:0.5006, 10:0.5301, 20:0.5872
test err 1:0.2172, 3:0.3202, 5:0.3474, 10:0.3683, 20:0.3754
test ndcg 1:0.4908, 3:0.5018, 5:0.5135, 10:0.5334, 20:0.5920
test err 1:0.2336, 3:0.3318, 5:0.3598, 10:0.3782, 20:0.3852
test ndcg 1:0.4816, 3:0.4873, 5:0.5009, 10:0.5329, 20:0.5919
test err 1:0.2319, 3:0.3265, 5:0.3536, 10:0.3752, 20:0.3823
test ndcg 1:0.4942, 3:0.5032, 5:0.5113, 10:0.5407, 20:0.5974
test err 1:0.2293, 3:0.3271, 5:0.3557, 10:0.3759, 20:0.3823
test ndcg 1:0.4793, 3:0.4977, 5:0.5071, 10:0.5329, 20:0.5942
test err 1:0.2198, 3:0.3248, 5:0.3522, 10:0.3722, 20:0.3787
test ndcg 1:0.5000, 3:0.5023, 5:0.5197, 10:0.5411, 20:0.5982
test err 1:0.2353, 3:0.3334, 5:0.3622, 10:0.3818, 20:0.3878
test ndcg 1:0.4552, 3:0.4773, 5:0.4937, 10:0.5289, 20:0.5868
test err 1:0.2052, 3:0.3086, 5:0.3372, 10:0.3592, 20:0.3653
test ndcg 1:0.4885, 3:0.4888, 5:0.4936, 10:0.5233, 20:0.5833
test err 1:0.2371, 3:0.3309, 5:0.3568, 10:0.3768, 20:0.3844
test ndcg 1:0.4885, 3:0.4857, 5:0.4915, 10:0.5252, 20:0.5838
test err 1:0.2336, 3:0.3261, 5:0.3526, 10:0.3732, 20:0.3804
test ndcg 1:0.5138, 3:0.5149, 5:0.5205, 10:0.5451, 20:0.6040
test err 1:0.2526, 3:0.3468, 5:0.3728, 10:0.3919, 20:0.3986
test ndcg 1:0.4943, 3:0.4999, 5:0.5064, 10:0.5333, 20:0.5986
test err 1:0.2397, 3:0.3379, 5:0.3630, 10:0.3823, 20:0.3901
test ndcg 1:0.4851, 3:0.5011, 5:0.5052, 10:0.5384, 20:0.5965
test err 1:0.2259, 3:0.3244, 5:0.3522, 10:0.3732, 20:0.3797
test ndcg 1:0.4897, 3:0.5142, 5:0.5151, 10:0.5394, 20:0.5934
test err 1:0.2362, 3:0.3405, 5:0.3632, 10:0.3829, 20:0.3898
test ndcg 1:0.5023, 3:0.5052, 5:0.5092, 10:0.5383, 20:0.5904
test err 1:0.2474, 3:0.3418, 5:0.3667, 10:0.3864, 20:0.3933
test ndcg 1:0.4862, 3:0.5068, 5:0.5100, 10:0.5347, 20:0.5897
test err 1:0.2353, 3:0.3363, 5:0.3598, 10:0.3794, 20:0.3862
test ndcg 1:0.5241, 3:0.4975, 5:0.5110, 10:0.5455, 20:0.6028
test err 1:0.2500, 3:0.3349, 5:0.3639, 10:0.3854, 20:0.3919
test ndcg 1:0.5023, 3:0.5013, 5:0.5146, 10:0.5472, 20:0.6004
test err 1:0.2388, 3:0.3326, 5:0.3615, 10:0.3821, 20:0.3879
test ndcg 1:0.4816, 3:0.5014, 5:0.5147, 10:0.5381, 20:0.5920
test err 1:0.2284, 3:0.3283, 5:0.3561, 10:0.3749, 20:0.3814
test ndcg 1:0.4759, 3:0.4790, 5:0.4987, 10:0.5363, 20:0.5947
test err 1:0.2207, 3:0.3151, 5:0.3437, 10:0.3669, 20:0.3731
test ndcg 1:0.5069, 3:0.5045, 5:0.5152, 10:0.5514, 20:0.6057
test err 1:0.2440, 3:0.3360, 5:0.3624, 10:0.3853, 20:0.3911
test ndcg 1:0.4954, 3:0.5044, 5:0.5131, 10:0.5430, 20:0.6039
test err 1:0.2405, 3:0.3370, 5:0.3635, 10:0.3828, 20:0.3900
test ndcg 1:0.5161, 3:0.5095, 5:0.5280, 10:0.5513, 20:0.6062
test err 1:0.2422, 3:0.3408, 5:0.3698, 10:0.3894, 20:0.3955
test ndcg 1:0.5011, 3:0.4994, 5:0.5103, 10:0.5443, 20:0.6026
test err 1:0.2397, 3:0.3294, 5:0.3579, 10:0.3804, 20:0.3863
test ndcg 1:0.4954, 3:0.5124, 5:0.5205, 10:0.5514, 20:0.6037
test err 1:0.2440, 3:0.3421, 5:0.3669, 10:0.3877, 20:0.3938
test ndcg 1:0.4782, 3:0.4976, 5:0.5080, 10:0.5363, 20:0.5946
test err 1:0.2328, 3:0.3332, 5:0.3599, 10:0.3792, 20:0.3861
test ndcg 1:0.4885, 3:0.4886, 5:0.4979, 10:0.5392, 20:0.5984
test err 1:0.2181, 3:0.3194, 5:0.3457, 10:0.3695, 20:0.3760
test ndcg 1:0.4943, 3:0.4972, 5:0.5160, 10:0.5420, 20:0.5949
test err 1:0.2397, 3:0.3339, 5:0.3639, 10:0.3830, 20:0.3893
test ndcg 1:0.4736, 3:0.4861, 5:0.5117, 10:0.5343, 20:0.5944
test err 1:0.2224, 3:0.3225, 5:0.3539, 10:0.3733, 20:0.3797
test ndcg 1:0.5149, 3:0.5062, 5:0.5216, 10:0.5471, 20:0.6047
test err 1:0.2466, 3:0.3397, 5:0.3677, 10:0.3872, 20:0.3937
test ndcg 1:0.5115, 3:0.5148, 5:0.5260, 10:0.5536, 20:0.6066
test err 1:0.2440, 3:0.3411, 5:0.3683, 10:0.3880, 20:0.3942
test ndcg 1:0.5149, 3:0.5222, 5:0.5277, 10:0.5550, 20:0.6096
test err 1:0.2448, 3:0.3425, 5:0.3705, 10:0.3892, 20:0.3956
test ndcg 1:0.5207, 3:0.5120, 5:0.5218, 10:0.5517, 20:0.6037
test err 1:0.2543, 3:0.3428, 5:0.3710, 10:0.3919, 20:0.3979
test ndcg 1:0.5207, 3:0.5087, 5:0.5188, 10:0.5493, 20:0.6027
test err 1:0.2526, 3:0.3421, 5:0.3695, 10:0.3906, 20:0.3967
test ndcg 1:0.5034, 3:0.5034, 5:0.5110, 10:0.5468, 20:0.6029
test err 1:0.2414, 3:0.3360, 5:0.3628, 10:0.3823, 20:0.3891
test ndcg 1:0.4793, 3:0.4872, 5:0.4948, 10:0.5307, 20:0.5896
test err 1:0.2353, 3:0.3303, 5:0.3573, 10:0.3780, 20:0.3850
test ndcg 1:0.4931, 3:0.4956, 5:0.5064, 10:0.5410, 20:0.5963
test err 1:0.2371, 3:0.3340, 5:0.3618, 10:0.3819, 20:0.3882
test ndcg 1:0.5126, 3:0.5110, 5:0.5240, 10:0.5476, 20:0.6030
test err 1:0.2466, 3:0.3418, 5:0.3688, 10:0.3878, 20:0.3944
test ndcg 1:0.5103, 3:0.5072, 5:0.5194, 10:0.5512, 20:0.6060
test err 1:0.2414, 3:0.3326, 5:0.3617, 10:0.3831, 20:0.3892
test ndcg 1:0.4965, 3:0.4972, 5:0.5113, 10:0.5448, 20:0.6007
test err 1:0.2379, 3:0.3325, 5:0.3599, 10:0.3816, 20:0.3882
test ndcg 1:0.4965, 3:0.4833, 5:0.5067, 10:0.5322, 20:0.5914
test err 1:0.2431, 3:0.3290, 5:0.3597, 10:0.3796, 20:0.3863
test ndcg 1:0.4805, 3:0.4844, 5:0.5010, 10:0.5327, 20:0.5895
test err 1:0.2345, 3:0.3250, 5:0.3538, 10:0.3744, 20:0.3809
test ndcg 1:0.5138, 3:0.5196, 5:0.5232, 10:0.5546, 20:0.6056
test err 1:0.2491, 3:0.3452, 5:0.3718, 10:0.3918, 20:0.3978
test ndcg 1:0.5172, 3:0.5132, 5:0.5224, 10:0.5490, 20:0.6044
test err 1:0.2414, 3:0.3407, 5:0.3676, 10:0.3877, 20:0.3941
test ndcg 1:0.5103, 3:0.4983, 5:0.5167, 10:0.5514, 20:0.6069
test err 1:0.2448, 3:0.3342, 5:0.3640, 10:0.3854, 20:0.3916
test ndcg 1:0.5299, 3:0.5168, 5:0.5238, 10:0.5552, 20:0.6107
test err 1:0.2491, 3:0.3446, 5:0.3715, 10:0.3930, 20:0.3986
****************************************************************************************************
finish! Fold 1 ndcg 1:0.5299	3:0.5168	5:0.5238	10:0.5552	20:0.6107
finish! Fold 1 err 1:0.2491	3:0.3446	5:0.3715	10:0.3930	20:0.3986
