**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=2, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4000, 3:0.4167, 5:0.4310, 10:0.4723, 20:0.5423
test err 1:0.1759, 3:0.2679, 5:0.2966, 10:0.3190, 20:0.3277
test ndcg 1:0.4736, 3:0.4790, 5:0.4894, 10:0.5186, 20:0.5779
test err 1:0.2207, 3:0.3181, 5:0.3462, 10:0.3667, 20:0.3735
test ndcg 1:0.4793, 3:0.4712, 5:0.4819, 10:0.5202, 20:0.5742
test err 1:0.2353, 3:0.3239, 5:0.3514, 10:0.3735, 20:0.3799
test ndcg 1:0.4862, 3:0.4932, 5:0.5043, 10:0.5374, 20:0.5939
test err 1:0.2302, 3:0.3276, 5:0.3558, 10:0.3769, 20:0.3836
test ndcg 1:0.4655, 3:0.4869, 5:0.5044, 10:0.5314, 20:0.5912
test err 1:0.2216, 3:0.3205, 5:0.3511, 10:0.3710, 20:0.3777
test ndcg 1:0.4747, 3:0.4920, 5:0.5043, 10:0.5370, 20:0.5920
test err 1:0.2267, 3:0.3241, 5:0.3541, 10:0.3746, 20:0.3805
test ndcg 1:0.4598, 3:0.4809, 5:0.4880, 10:0.5270, 20:0.5879
test err 1:0.2121, 3:0.3203, 5:0.3478, 10:0.3682, 20:0.3749
test ndcg 1:0.5023, 3:0.4904, 5:0.4991, 10:0.5303, 20:0.5848
test err 1:0.2440, 3:0.3330, 5:0.3610, 10:0.3800, 20:0.3869
test ndcg 1:0.4759, 3:0.5020, 5:0.5029, 10:0.5295, 20:0.5882
test err 1:0.2207, 3:0.3216, 5:0.3507, 10:0.3713, 20:0.3774
