**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=3, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4287, 3:0.4575, 5:0.4704, 10:0.4986, 20:0.5737
test err 1:0.1940, 3:0.2958, 5:0.3219, 10:0.3412, 20:0.3506
test ndcg 1:0.4598, 3:0.4661, 5:0.4854, 10:0.5199, 20:0.5865
test err 1:0.2103, 3:0.3060, 5:0.3336, 10:0.3548, 20:0.3631
test ndcg 1:0.4770, 3:0.4895, 5:0.4949, 10:0.5172, 20:0.5799
test err 1:0.2336, 3:0.3296, 5:0.3547, 10:0.3734, 20:0.3816
test ndcg 1:0.5057, 3:0.5010, 5:0.5162, 10:0.5425, 20:0.5976
test err 1:0.2431, 3:0.3377, 5:0.3653, 10:0.3855, 20:0.3918
test ndcg 1:0.4368, 3:0.4729, 5:0.4834, 10:0.5210, 20:0.5828
test err 1:0.2000, 3:0.3033, 5:0.3311, 10:0.3540, 20:0.3607
test ndcg 1:0.4782, 3:0.4873, 5:0.5009, 10:0.5275, 20:0.5868
test err 1:0.2310, 3:0.3274, 5:0.3561, 10:0.3758, 20:0.3827
test ndcg 1:0.4736, 3:0.4789, 5:0.4958, 10:0.5299, 20:0.5848
test err 1:0.2276, 3:0.3246, 5:0.3541, 10:0.3740, 20:0.3808
test ndcg 1:0.4874, 3:0.4948, 5:0.5108, 10:0.5363, 20:0.5952
test err 1:0.2276, 3:0.3273, 5:0.3561, 10:0.3763, 20:0.3828
test ndcg 1:0.4920, 3:0.4806, 5:0.4899, 10:0.5319, 20:0.5886
test err 1:0.2328, 3:0.3211, 5:0.3505, 10:0.3723, 20:0.3794
test ndcg 1:0.4828, 3:0.4982, 5:0.5140, 10:0.5422, 20:0.5980
test err 1:0.2259, 3:0.3285, 5:0.3572, 10:0.3777, 20:0.3835
test ndcg 1:0.4931, 3:0.5095, 5:0.5155, 10:0.5435, 20:0.5969
test err 1:0.2336, 3:0.3335, 5:0.3603, 10:0.3811, 20:0.3870
test ndcg 1:0.4943, 3:0.4876, 5:0.4977, 10:0.5329, 20:0.5861
test err 1:0.2414, 3:0.3333, 5:0.3606, 10:0.3815, 20:0.3883
test ndcg 1:0.4977, 3:0.4980, 5:0.5139, 10:0.5394, 20:0.5961
test err 1:0.2422, 3:0.3357, 5:0.3638, 10:0.3836, 20:0.3904
test ndcg 1:0.4920, 3:0.4906, 5:0.5110, 10:0.5409, 20:0.5964
test err 1:0.2362, 3:0.3293, 5:0.3610, 10:0.3811, 20:0.3870
test ndcg 1:0.4931, 3:0.4981, 5:0.5107, 10:0.5381, 20:0.5949
test err 1:0.2319, 3:0.3267, 5:0.3573, 10:0.3771, 20:0.3835
test ndcg 1:0.4943, 3:0.4977, 5:0.5069, 10:0.5368, 20:0.5949
test err 1:0.2448, 3:0.3387, 5:0.3646, 10:0.3849, 20:0.3919
test ndcg 1:0.4713, 3:0.4844, 5:0.5068, 10:0.5319, 20:0.5901
test err 1:0.2293, 3:0.3217, 5:0.3548, 10:0.3730, 20:0.3798
test ndcg 1:0.4954, 3:0.5123, 5:0.5240, 10:0.5433, 20:0.6004
test err 1:0.2422, 3:0.3426, 5:0.3689, 10:0.3865, 20:0.3933
test ndcg 1:0.4759, 3:0.4917, 5:0.5097, 10:0.5383, 20:0.5955
test err 1:0.2276, 3:0.3254, 5:0.3554, 10:0.3753, 20:0.3816
test ndcg 1:0.4988, 3:0.5097, 5:0.5156, 10:0.5467, 20:0.6025
test err 1:0.2379, 3:0.3355, 5:0.3610, 10:0.3822, 20:0.3886
test ndcg 1:0.4965, 3:0.5035, 5:0.5165, 10:0.5363, 20:0.5956
test err 1:0.2397, 3:0.3383, 5:0.3651, 10:0.3834, 20:0.3905
test ndcg 1:0.4759, 3:0.4941, 5:0.5101, 10:0.5377, 20:0.5990
test err 1:0.2190, 3:0.3242, 5:0.3517, 10:0.3718, 20:0.3783
test ndcg 1:0.4851, 3:0.4976, 5:0.5141, 10:0.5324, 20:0.5945
test err 1:0.2310, 3:0.3303, 5:0.3583, 10:0.3762, 20:0.3835
test ndcg 1:0.5184, 3:0.5191, 5:0.5244, 10:0.5507, 20:0.6061
test err 1:0.2474, 3:0.3466, 5:0.3711, 10:0.3905, 20:0.3969
test ndcg 1:0.5046, 3:0.5060, 5:0.5169, 10:0.5378, 20:0.5995
