**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.7, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4425, 3:0.4427, 5:0.4459, 10:0.4887, 20:0.5585
test err 1:0.2095, 3:0.2985, 5:0.3232, 10:0.3467, 20:0.3547
test ndcg 1:0.4701, 3:0.4683, 5:0.4793, 10:0.5160, 20:0.5749
test err 1:0.2233, 3:0.3128, 5:0.3418, 10:0.3628, 20:0.3702
test ndcg 1:0.4897, 3:0.4928, 5:0.4953, 10:0.5284, 20:0.5903
test err 1:0.2362, 3:0.3321, 5:0.3560, 10:0.3776, 20:0.3849
test ndcg 1:0.4621, 3:0.4729, 5:0.4824, 10:0.5124, 20:0.5804
test err 1:0.2241, 3:0.3184, 5:0.3445, 10:0.3653, 20:0.3735
test ndcg 1:0.4920, 3:0.4818, 5:0.4904, 10:0.5214, 20:0.5837
test err 1:0.2466, 3:0.3316, 5:0.3587, 10:0.3791, 20:0.3868
test ndcg 1:0.5023, 3:0.4917, 5:0.5075, 10:0.5262, 20:0.5923
test err 1:0.2405, 3:0.3305, 5:0.3608, 10:0.3785, 20:0.3867
test ndcg 1:0.4759, 3:0.4633, 5:0.4749, 10:0.5072, 20:0.5707
test err 1:0.2276, 3:0.3160, 5:0.3447, 10:0.3651, 20:0.3728
test ndcg 1:0.4988, 3:0.4910, 5:0.5048, 10:0.5280, 20:0.5862
test err 1:0.2414, 3:0.3333, 5:0.3622, 10:0.3809, 20:0.3881
test ndcg 1:0.5069, 3:0.4799, 5:0.4862, 10:0.5162, 20:0.5792
test err 1:0.2474, 3:0.3298, 5:0.3568, 10:0.3778, 20:0.3854
test ndcg 1:0.4678, 3:0.4572, 5:0.4645, 10:0.4947, 20:0.5625
test err 1:0.2267, 3:0.3126, 5:0.3388, 10:0.3594, 20:0.3682
test ndcg 1:0.4874, 3:0.4812, 5:0.4916, 10:0.5277, 20:0.5886
test err 1:0.2379, 3:0.3249, 5:0.3544, 10:0.3754, 20:0.3826
test ndcg 1:0.4954, 3:0.4892, 5:0.4991, 10:0.5311, 20:0.5878
test err 1:0.2336, 3:0.3268, 5:0.3550, 10:0.3755, 20:0.3824
test ndcg 1:0.4920, 3:0.4993, 5:0.5076, 10:0.5313, 20:0.5914
test err 1:0.2328, 3:0.3309, 5:0.3573, 10:0.3778, 20:0.3848
test ndcg 1:0.4874, 3:0.4778, 5:0.4962, 10:0.5186, 20:0.5855
test err 1:0.2328, 3:0.3230, 5:0.3535, 10:0.3718, 20:0.3797
test ndcg 1:0.4920, 3:0.4774, 5:0.4846, 10:0.5139, 20:0.5785
test err 1:0.2345, 3:0.3248, 5:0.3494, 10:0.3699, 20:0.3785
test ndcg 1:0.4759, 3:0.4869, 5:0.4910, 10:0.5223, 20:0.5858
test err 1:0.2224, 3:0.3226, 5:0.3489, 10:0.3690, 20:0.3762
test ndcg 1:0.4977, 3:0.4972, 5:0.5024, 10:0.5277, 20:0.5887
test err 1:0.2440, 3:0.3366, 5:0.3613, 10:0.3805, 20:0.3885
test ndcg 1:0.5080, 3:0.5003, 5:0.5043, 10:0.5368, 20:0.5984
test err 1:0.2431, 3:0.3341, 5:0.3613, 10:0.3810, 20:0.3884
test ndcg 1:0.4816, 3:0.4647, 5:0.4757, 10:0.5080, 20:0.5714
test err 1:0.2319, 3:0.3175, 5:0.3454, 10:0.3652, 20:0.3735
test ndcg 1:0.4874, 3:0.4821, 5:0.4889, 10:0.5187, 20:0.5813
test err 1:0.2379, 3:0.3258, 5:0.3530, 10:0.3733, 20:0.3812
test ndcg 1:0.5092, 3:0.4962, 5:0.4941, 10:0.5270, 20:0.5928
test err 1:0.2405, 3:0.3309, 5:0.3561, 10:0.3765, 20:0.3847
test ndcg 1:0.4920, 3:0.4998, 5:0.5059, 10:0.5304, 20:0.5886
test err 1:0.2414, 3:0.3374, 5:0.3632, 10:0.3828, 20:0.3899
test ndcg 1:0.5161, 3:0.5032, 5:0.5088, 10:0.5309, 20:0.5887
test err 1:0.2509, 3:0.3386, 5:0.3660, 10:0.3840, 20:0.3916
test ndcg 1:0.4897, 3:0.4819, 5:0.4899, 10:0.5246, 20:0.5854
test err 1:0.2362, 3:0.3263, 5:0.3527, 10:0.3738, 20:0.3812
test ndcg 1:0.5000, 3:0.4986, 5:0.5026, 10:0.5286, 20:0.5914
test err 1:0.2405, 3:0.3351, 5:0.3598, 10:0.3793, 20:0.3865
test ndcg 1:0.4897, 3:0.4909, 5:0.4983, 10:0.5327, 20:0.5897
test err 1:0.2362, 3:0.3260, 5:0.3546, 10:0.3754, 20:0.3818
test ndcg 1:0.4598, 3:0.4858, 5:0.4917, 10:0.5182, 20:0.5839
test err 1:0.2207, 3:0.3221, 5:0.3479, 10:0.3668, 20:0.3746
test ndcg 1:0.4931, 3:0.5062, 5:0.5134, 10:0.5412, 20:0.6012
test err 1:0.2302, 3:0.3293, 5:0.3569, 10:0.3764, 20:0.3835
test ndcg 1:0.4920, 3:0.4868, 5:0.5033, 10:0.5310, 20:0.5918
test err 1:0.2379, 3:0.3254, 5:0.3559, 10:0.3756, 20:0.3825
test ndcg 1:0.5103, 3:0.5062, 5:0.5182, 10:0.5486, 20:0.6010
test err 1:0.2431, 3:0.3376, 5:0.3664, 10:0.3853, 20:0.3911
test ndcg 1:0.4988, 3:0.4970, 5:0.5060, 10:0.5319, 20:0.5899
test err 1:0.2414, 3:0.3333, 5:0.3613, 10:0.3809, 20:0.3875
test ndcg 1:0.4885, 3:0.4817, 5:0.4917, 10:0.5143, 20:0.5770
test err 1:0.2405, 3:0.3255, 5:0.3552, 10:0.3733, 20:0.3810
test ndcg 1:0.4885, 3:0.4975, 5:0.5085, 10:0.5279, 20:0.5889
test err 1:0.2267, 3:0.3251, 5:0.3543, 10:0.3727, 20:0.3798
test ndcg 1:0.4897, 3:0.4923, 5:0.4981, 10:0.5295, 20:0.5886
test err 1:0.2379, 3:0.3286, 5:0.3552, 10:0.3763, 20:0.3832
test ndcg 1:0.4977, 3:0.4938, 5:0.4986, 10:0.5298, 20:0.5887
test err 1:0.2388, 3:0.3283, 5:0.3545, 10:0.3755, 20:0.3829
test ndcg 1:0.4931, 3:0.4940, 5:0.4997, 10:0.5291, 20:0.5845
test err 1:0.2353, 3:0.3321, 5:0.3579, 10:0.3779, 20:0.3848
test ndcg 1:0.4931, 3:0.5044, 5:0.5062, 10:0.5313, 20:0.5878
test err 1:0.2336, 3:0.3357, 5:0.3594, 10:0.3787, 20:0.3858
test ndcg 1:0.4897, 3:0.4788, 5:0.4858, 10:0.5214, 20:0.5816
test err 1:0.2362, 3:0.3258, 5:0.3526, 10:0.3734, 20:0.3805
test ndcg 1:0.5149, 3:0.5079, 5:0.5160, 10:0.5415, 20:0.6002
test err 1:0.2431, 3:0.3374, 5:0.3648, 10:0.3835, 20:0.3904
test ndcg 1:0.4897, 3:0.4772, 5:0.4910, 10:0.5225, 20:0.5825
test err 1:0.2362, 3:0.3223, 5:0.3513, 10:0.3717, 20:0.3794
test ndcg 1:0.5023, 3:0.5059, 5:0.5092, 10:0.5373, 20:0.5947
test err 1:0.2440, 3:0.3375, 5:0.3631, 10:0.3834, 20:0.3903
test ndcg 1:0.4988, 3:0.5143, 5:0.5141, 10:0.5416, 20:0.5984
test err 1:0.2345, 3:0.3348, 5:0.3612, 10:0.3804, 20:0.3873
test ndcg 1:0.4897, 3:0.4890, 5:0.5009, 10:0.5313, 20:0.5896
test err 1:0.2379, 3:0.3295, 5:0.3580, 10:0.3773, 20:0.3847
test ndcg 1:0.4897, 3:0.4999, 5:0.5104, 10:0.5375, 20:0.5937
test err 1:0.2276, 3:0.3273, 5:0.3548, 10:0.3743, 20:0.3809
test ndcg 1:0.4977, 3:0.4920, 5:0.5055, 10:0.5322, 20:0.5944
test err 1:0.2371, 3:0.3279, 5:0.3562, 10:0.3754, 20:0.3827
test ndcg 1:0.4977, 3:0.4965, 5:0.5121, 10:0.5379, 20:0.5985
test err 1:0.2353, 3:0.3300, 5:0.3598, 10:0.3780, 20:0.3851
test ndcg 1:0.4782, 3:0.4854, 5:0.4938, 10:0.5237, 20:0.5823
test err 1:0.2259, 3:0.3216, 5:0.3485, 10:0.3687, 20:0.3757
test ndcg 1:0.4655, 3:0.4712, 5:0.4888, 10:0.5161, 20:0.5767
test err 1:0.2267, 3:0.3210, 5:0.3491, 10:0.3683, 20:0.3756
test ndcg 1:0.4874, 3:0.4877, 5:0.5047, 10:0.5326, 20:0.5926
test err 1:0.2345, 3:0.3277, 5:0.3565, 10:0.3753, 20:0.3828
test ndcg 1:0.4839, 3:0.4853, 5:0.4997, 10:0.5265, 20:0.5873
test err 1:0.2319, 3:0.3251, 5:0.3533, 10:0.3725, 20:0.3800
****************************************************************************************************
finish! Fold 1 ndcg 1:0.5103	3:0.5062	5:0.5182	10:0.5486	20:0.6010
finish! Fold 1 err 1:0.2431	3:0.3376	5:0.3664	10:0.3853	20:0.3911
finish! mean ndcg 1:0.5103	3:0.5062	5:0.5182	10:0.5486	20:0.6010
finish! mean err 1:0.2431	3:0.3376	5:0.3664	10:0.3853	20:0.3911
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.7, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
