**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.0, dropout=0.1, epoch=200, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3782, 3:0.4328, 5:0.4827, 10:0.5828, 20:0.2474
test err 1:0.2260, 3:0.3422, 5:0.3712, 10:0.3903, 20:0.1792
test ndcg 1:0.3718, 3:0.4323, 5:0.4981, 10:0.5960, 20:0.2510
test err 1:0.2212, 3:0.3434, 5:0.3748, 10:0.3923, 20:0.1785
test ndcg 1:0.3910, 3:0.4205, 5:0.5005, 10:0.5937, 20:0.2507
test err 1:0.2356, 3:0.3414, 5:0.3823, 10:0.3953, 20:0.1829
test ndcg 1:0.3782, 3:0.4139, 5:0.5041, 10:0.5888, 20:0.2528
test err 1:0.2260, 3:0.3372, 5:0.3794, 10:0.3915, 20:0.1801
test ndcg 1:0.3910, 3:0.4141, 5:0.5077, 10:0.5868, 20:0.2556
test err 1:0.2356, 3:0.3416, 5:0.3825, 10:0.3944, 20:0.1846
test ndcg 1:0.4167, 3:0.4715, 5:0.5297, 10:0.6267, 20:0.2776
test err 1:0.2452, 3:0.3735, 5:0.4022, 10:0.4164, 20:0.2060
test ndcg 1:0.3910, 3:0.4483, 5:0.4908, 10:0.5947, 20:0.2508
test err 1:0.2356, 3:0.3473, 5:0.3788, 10:0.3962, 20:0.1787
test ndcg 1:0.4038, 3:0.4191, 5:0.4865, 10:0.5822, 20:0.2445
test err 1:0.2452, 3:0.3395, 5:0.3783, 10:0.3946, 20:0.1706
test ndcg 1:0.3782, 3:0.4225, 5:0.4834, 10:0.5605, 20:0.2460
test err 1:0.2260, 3:0.3279, 5:0.3635, 10:0.3791, 20:0.1673
test ndcg 1:0.3141, 3:0.3940, 5:0.4065, 10:0.5038, 20:0.2183
test err 1:0.1875, 3:0.3135, 5:0.3344, 10:0.3535, 20:0.1526
test ndcg 1:0.2949, 3:0.3944, 5:0.4039, 10:0.5043, 20:0.2262
test err 1:0.1923, 3:0.3201, 5:0.3373, 10:0.3582, 20:0.1572
test ndcg 1:0.3333, 3:0.4099, 5:0.4429, 10:0.5458, 20:0.2362
test err 1:0.2115, 3:0.3296, 5:0.3545, 10:0.3744, 20:0.1682
test ndcg 1:0.3590, 3:0.4108, 5:0.4629, 10:0.5587, 20:0.2451
test err 1:0.2115, 3:0.3284, 5:0.3603, 10:0.3782, 20:0.1691
test ndcg 1:0.3718, 3:0.4244, 5:0.4843, 10:0.5754, 20:0.2465
test err 1:0.2212, 3:0.3348, 5:0.3699, 10:0.3856, 20:0.1758
test ndcg 1:0.3846, 3:0.4291, 5:0.4895, 10:0.5758, 20:0.2481
test err 1:0.2308, 3:0.3400, 5:0.3745, 10:0.3908, 20:0.1766
