test err 1:0.2388, 3:0.3344, 5:0.3629, 7:0.3740, 10:0.3820
test ndcg 1:0.4529, 3:0.4626, 5:0.4738, 7:0.4957, 10:0.5161
test err 1:0.2190, 3:0.3149, 5:0.3417, 7:0.3544, 10:0.3631
test ndcg 1:0.5333, 3:0.5081, 5:0.5215, 7:0.5391, 10:0.5592
test err 1:0.2586, 3:0.3473, 5:0.3753, 7:0.3880, 10:0.3961
test ndcg 1:0.4874, 3:0.5039, 5:0.5158, 7:0.5324, 10:0.5464
test err 1:0.2345, 3:0.3349, 5:0.3629, 7:0.3749, 10:0.3823
test ndcg 1:0.4828, 3:0.4875, 5:0.5052, 7:0.5215, 10:0.5450
test err 1:0.2259, 3:0.3183, 5:0.3492, 7:0.3618, 10:0.3707
test ndcg 1:0.5000, 3:0.5004, 5:0.5188, 7:0.5352, 10:0.5507
test err 1:0.2405, 3:0.3327, 5:0.3626, 7:0.3750, 10:0.3828
test ndcg 1:0.5230, 3:0.5064, 5:0.5170, 7:0.5353, 10:0.5527
test err 1:0.2491, 3:0.3399, 5:0.3675, 7:0.3806, 10:0.3887
test ndcg 1:0.5000, 3:0.5095, 5:0.5176, 7:0.5308, 10:0.5524
test err 1:0.2422, 3:0.3434, 5:0.3707, 7:0.3812, 10:0.3897
test ndcg 1:0.4851, 3:0.4897, 5:0.5102, 7:0.5276, 10:0.5435
test err 1:0.2310, 3:0.3233, 5:0.3541, 7:0.3661, 10:0.3740
test ndcg 1:0.4977, 3:0.5103, 5:0.5124, 7:0.5288, 10:0.5424
test err 1:0.2388, 3:0.3396, 5:0.3638, 7:0.3753, 10:0.3840
test ndcg 1:0.4736, 3:0.4928, 5:0.5068, 7:0.5176, 10:0.5346
test err 1:0.2259, 3:0.3276, 5:0.3548, 7:0.3660, 10:0.3743
test ndcg 1:0.4977, 3:0.4991, 5:0.5119, 7:0.5339, 10:0.5493
test err 1:0.2422, 3:0.3319, 5:0.3599, 7:0.3739, 10:0.3813
test ndcg 1:0.4920, 3:0.5046, 5:0.5165, 7:0.5300, 10:0.5468
test err 1:0.2414, 3:0.3376, 5:0.3659, 7:0.3784, 10:0.3861
test ndcg 1:0.5333, 3:0.5280, 5:0.5279, 7:0.5455, 10:0.5600
test err 1:0.2569, 3:0.3511, 5:0.3761, 7:0.3897, 10:0.3973
test ndcg 1:0.5161, 3:0.5140, 5:0.5225, 7:0.5363, 10:0.5561
test err 1:0.2474, 3:0.3410, 5:0.3682, 7:0.3807, 10:0.3894
test ndcg 1:0.5287, 3:0.5172, 5:0.5249, 7:0.5376, 10:0.5559
test err 1:0.2552, 3:0.3448, 5:0.3738, 7:0.3852, 10:0.3938
test ndcg 1:0.5184, 3:0.5115, 5:0.5205, 7:0.5376, 10:0.5570
test err 1:0.2457, 3:0.3399, 5:0.3691, 7:0.3810, 10:0.3888
test ndcg 1:0.4759, 3:0.4925, 5:0.5080, 7:0.5244, 10:0.5456
test err 1:0.2293, 3:0.3251, 5:0.3556, 7:0.3677, 10:0.3753
test ndcg 1:0.5264, 3:0.5165, 5:0.5183, 7:0.5342, 10:0.5587
test err 1:0.2569, 3:0.3475, 5:0.3720, 7:0.3857, 10:0.3946
test ndcg 1:0.5253, 3:0.5167, 5:0.5233, 7:0.5387, 10:0.5585
test err 1:0.2474, 3:0.3384, 5:0.3659, 7:0.3786, 10:0.3871
test ndcg 1:0.5276, 3:0.5199, 5:0.5201, 7:0.5347, 10:0.5575
test err 1:0.2526, 3:0.3457, 5:0.3721, 7:0.3834, 10:0.3922
test ndcg 1:0.5437, 3:0.5195, 5:0.5236, 7:0.5391, 10:0.5600
test err 1:0.2612, 3:0.3500, 5:0.3767, 7:0.3895, 10:0.3981
test ndcg 1:0.4988, 3:0.4983, 5:0.5162, 7:0.5310, 10:0.5463
test err 1:0.2379, 3:0.3313, 5:0.3627, 7:0.3745, 10:0.3817
test ndcg 1:0.4988, 3:0.4947, 5:0.5015, 7:0.5147, 10:0.5362
test err 1:0.2328, 3:0.3300, 5:0.3543, 7:0.3674, 10:0.3767
test ndcg 1:0.5046, 3:0.4966, 5:0.5136, 7:0.5283, 10:0.5480
test err 1:0.2457, 3:0.3369, 5:0.3680, 7:0.3795, 10:0.3872
test ndcg 1:0.5253, 3:0.5183, 5:0.5241, 7:0.5365, 10:0.5566
test err 1:0.2491, 3:0.3420, 5:0.3696, 7:0.3817, 10:0.3902
test ndcg 1:0.5333, 3:0.5157, 5:0.5216, 7:0.5356, 10:0.5514
test err 1:0.2500, 3:0.3423, 5:0.3699, 7:0.3825, 10:0.3907
test ndcg 1:0.5287, 3:0.5236, 5:0.5210, 7:0.5381, 10:0.5525
test err 1:0.2586, 3:0.3524, 5:0.3763, 7:0.3896, 10:0.3971
test ndcg 1:0.4908, 3:0.5142, 5:0.5166, 7:0.5222, 10:0.5398
test err 1:0.2405, 3:0.3460, 5:0.3691, 7:0.3795, 10:0.3880
test ndcg 1:0.5092, 3:0.5061, 5:0.5207, 7:0.5349, 10:0.5506
test err 1:0.2474, 3:0.3371, 5:0.3676, 7:0.3790, 10:0.3869
test ndcg 1:0.5253, 3:0.5182, 5:0.5220, 7:0.5362, 10:0.5524
test err 1:0.2560, 3:0.3480, 5:0.3735, 7:0.3862, 10:0.3938
test ndcg 1:0.5299, 3:0.5235, 5:0.5231, 7:0.5396, 10:0.5568
test err 1:0.2491, 3:0.3471, 5:0.3713, 7:0.3843, 10:0.3924
test ndcg 1:0.5103, 3:0.4927, 5:0.5076, 7:0.5233, 10:0.5433
test err 1:0.2483, 3:0.3327, 5:0.3620, 7:0.3752, 10:0.3839
test ndcg 1:0.5069, 3:0.5191, 5:0.5198, 7:0.5300, 10:0.5492
