**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3526, 3:0.4490, 5:0.4763, 10:0.5825, 20:0.2390
test err 1:0.1971, 3:0.3377, 5:0.3655, 10:0.3820, 20:0.1599
test ndcg 1:0.3782, 3:0.4187, 5:0.4727, 10:0.5811, 20:0.2469
test err 1:0.2260, 3:0.3313, 5:0.3638, 10:0.3826, 20:0.1741
test ndcg 1:0.3718, 3:0.4644, 5:0.4700, 10:0.5897, 20:0.2479
test err 1:0.2212, 3:0.3506, 5:0.3727, 10:0.3913, 20:0.1672
test ndcg 1:0.4038, 3:0.4844, 5:0.5168, 10:0.6003, 20:0.2637
test err 1:0.2260, 3:0.3583, 5:0.3855, 10:0.3987, 20:0.1815
test ndcg 1:0.3910, 3:0.4686, 5:0.5069, 10:0.5919, 20:0.2605
test err 1:0.2163, 3:0.3465, 5:0.3761, 10:0.3902, 20:0.1761
test ndcg 1:0.3910, 3:0.4733, 5:0.5100, 10:0.5917, 20:0.2614
test err 1:0.2163, 3:0.3489, 5:0.3765, 10:0.3905, 20:0.1753
test ndcg 1:0.3910, 3:0.4748, 5:0.5101, 10:0.5961, 20:0.2600
test err 1:0.2163, 3:0.3492, 5:0.3766, 10:0.3911, 20:0.1753
test ndcg 1:0.3782, 3:0.4726, 5:0.5082, 10:0.5980, 20:0.2607
test err 1:0.2067, 3:0.3444, 5:0.3718, 10:0.3865, 20:0.1754
test ndcg 1:0.3782, 3:0.4711, 5:0.5086, 10:0.5972, 20:0.2610
test err 1:0.2067, 3:0.3441, 5:0.3735, 10:0.3872, 20:0.1763
test ndcg 1:0.3782, 3:0.4726, 5:0.5096, 10:0.5986, 20:0.2613
test err 1:0.2067, 3:0.3444, 5:0.3738, 10:0.3876, 20:0.1765
test ndcg 1:0.3782, 3:0.4816, 5:0.5106, 10:0.6030, 20:0.2627
test err 1:0.2067, 3:0.3492, 5:0.3750, 10:0.3890, 20:0.1773
test ndcg 1:0.3974, 3:0.4850, 5:0.5130, 10:0.6091, 20:0.2637
test err 1:0.2115, 3:0.3516, 5:0.3778, 10:0.3924, 20:0.1798
test ndcg 1:0.3974, 3:0.4850, 5:0.5103, 10:0.6089, 20:0.2638
test err 1:0.2115, 3:0.3516, 5:0.3772, 10:0.3924, 20:0.1798
test ndcg 1:0.3974, 3:0.4823, 5:0.5076, 10:0.6063, 20:0.2647
test err 1:0.2115, 3:0.3504, 5:0.3760, 10:0.3911, 20:0.1797
test ndcg 1:0.4038, 3:0.4834, 5:0.5080, 10:0.6071, 20:0.2653
test err 1:0.2163, 3:0.3528, 5:0.3779, 10:0.3931, 20:0.1821
test ndcg 1:0.3846, 3:0.4826, 5:0.5018, 10:0.6010, 20:0.2583
test err 1:0.2115, 3:0.3537, 5:0.3777, 10:0.3930, 20:0.1797
test ndcg 1:0.3654, 3:0.4842, 5:0.5072, 10:0.6010, 20:0.2571
test err 1:0.2067, 3:0.3588, 5:0.3805, 10:0.3952, 20:0.1783
test ndcg 1:0.4359, 3:0.4606, 5:0.4744, 10:0.5752, 20:0.2550
test err 1:0.2500, 3:0.3595, 5:0.3822, 10:0.3998, 20:0.1793
test ndcg 1:0.4359, 3:0.4579, 5:0.4720, 10:0.5731, 20:0.2564
test err 1:0.2500, 3:0.3563, 5:0.3796, 10:0.3972, 20:0.1799
test ndcg 1:0.4231, 3:0.4555, 5:0.4803, 10:0.5761, 20:0.2583
