**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4023, 3:0.4101, 5:0.4206, 10:0.4733, 20:0.5429
test err 1:0.1879, 3:0.2792, 5:0.3076, 10:0.3306, 20:0.3388
test ndcg 1:0.4747, 3:0.4764, 5:0.4941, 10:0.5323, 20:0.5842
test err 1:0.2250, 3:0.3205, 5:0.3495, 10:0.3708, 20:0.3770
test ndcg 1:0.5011, 3:0.4898, 5:0.5058, 10:0.5266, 20:0.5883
test err 1:0.2379, 3:0.3283, 5:0.3585, 10:0.3775, 20:0.3845
test ndcg 1:0.4874, 3:0.4907, 5:0.5036, 10:0.5224, 20:0.5810
test err 1:0.2293, 3:0.3282, 5:0.3580, 10:0.3769, 20:0.3835
test ndcg 1:0.4540, 3:0.4742, 5:0.4855, 10:0.5108, 20:0.5715
test err 1:0.2095, 3:0.3108, 5:0.3409, 10:0.3605, 20:0.3675
test ndcg 1:0.4828, 3:0.4882, 5:0.4986, 10:0.5230, 20:0.5861
test err 1:0.2276, 3:0.3239, 5:0.3541, 10:0.3737, 20:0.3808
test ndcg 1:0.4862, 3:0.4818, 5:0.5034, 10:0.5350, 20:0.5923
test err 1:0.2353, 3:0.3279, 5:0.3578, 10:0.3784, 20:0.3851
test ndcg 1:0.5057, 3:0.5081, 5:0.5092, 10:0.5407, 20:0.5906
test err 1:0.2397, 3:0.3348, 5:0.3615, 10:0.3818, 20:0.3879
test ndcg 1:0.4598, 3:0.4901, 5:0.5008, 10:0.5327, 20:0.5879
test err 1:0.2138, 3:0.3163, 5:0.3447, 10:0.3652, 20:0.3716
test ndcg 1:0.4816, 3:0.4814, 5:0.4930, 10:0.5237, 20:0.5868
test err 1:0.2353, 3:0.3247, 5:0.3543, 10:0.3742, 20:0.3818
test ndcg 1:0.4862, 3:0.4838, 5:0.4903, 10:0.5205, 20:0.5851
test err 1:0.2319, 3:0.3240, 5:0.3507, 10:0.3703, 20:0.3783
test ndcg 1:0.4747, 3:0.4985, 5:0.5036, 10:0.5316, 20:0.5846
test err 1:0.2267, 3:0.3286, 5:0.3561, 10:0.3755, 20:0.3819
test ndcg 1:0.4965, 3:0.5138, 5:0.5202, 10:0.5456, 20:0.5966
test err 1:0.2379, 3:0.3429, 5:0.3695, 10:0.3886, 20:0.3943
test ndcg 1:0.4839, 3:0.5048, 5:0.5103, 10:0.5348, 20:0.5905
test err 1:0.2302, 3:0.3317, 5:0.3593, 10:0.3788, 20:0.3849
test ndcg 1:0.5011, 3:0.4971, 5:0.5066, 10:0.5351, 20:0.5955
test err 1:0.2448, 3:0.3356, 5:0.3630, 10:0.3825, 20:0.3900
test ndcg 1:0.4862, 3:0.4972, 5:0.5011, 10:0.5340, 20:0.5939
test err 1:0.2353, 3:0.3338, 5:0.3588, 10:0.3794, 20:0.3864
test ndcg 1:0.4862, 3:0.4989, 5:0.5091, 10:0.5403, 20:0.5963
test err 1:0.2336, 3:0.3325, 5:0.3593, 10:0.3785, 20:0.3853
test ndcg 1:0.4828, 3:0.4801, 5:0.4866, 10:0.5185, 20:0.5804
test err 1:0.2328, 3:0.3241, 5:0.3512, 10:0.3709, 20:0.3788
test ndcg 1:0.4701, 3:0.4890, 5:0.5015, 10:0.5319, 20:0.5942
test err 1:0.2216, 3:0.3212, 5:0.3496, 10:0.3697, 20:0.3766
test ndcg 1:0.4885, 3:0.4985, 5:0.5095, 10:0.5447, 20:0.6030
test err 1:0.2336, 3:0.3321, 5:0.3604, 10:0.3804, 20:0.3868
test ndcg 1:0.4805, 3:0.5075, 5:0.5092, 10:0.5428, 20:0.6039
test err 1:0.2276, 3:0.3321, 5:0.3592, 10:0.3789, 20:0.3855
test ndcg 1:0.4943, 3:0.4982, 5:0.5088, 10:0.5377, 20:0.5977
test err 1:0.2431, 3:0.3383, 5:0.3664, 10:0.3856, 20:0.3925
test ndcg 1:0.4839, 3:0.4933, 5:0.4935, 10:0.5274, 20:0.5880
test err 1:0.2353, 3:0.3309, 5:0.3573, 10:0.3786, 20:0.3853
test ndcg 1:0.4965, 3:0.4924, 5:0.4992, 10:0.5251, 20:0.5840
test err 1:0.2448, 3:0.3373, 5:0.3631, 10:0.3820, 20:0.3892
test ndcg 1:0.4816, 3:0.4839, 5:0.5001, 10:0.5255, 20:0.5858
test err 1:0.2336, 3:0.3265, 5:0.3567, 10:0.3761, 20:0.3828
test ndcg 1:0.4667, 3:0.4989, 5:0.5061, 10:0.5330, 20:0.5917
test err 1:0.2241, 3:0.3290, 5:0.3563, 10:0.3754, 20:0.3821
test ndcg 1:0.4713, 3:0.4919, 5:0.4969, 10:0.5280, 20:0.5905
test err 1:0.2276, 3:0.3275, 5:0.3543, 10:0.3752, 20:0.3819
test ndcg 1:0.4862, 3:0.4919, 5:0.5062, 10:0.5331, 20:0.5932
test err 1:0.2336, 3:0.3301, 5:0.3590, 10:0.3783, 20:0.3845
test ndcg 1:0.4713, 3:0.4915, 5:0.4963, 10:0.5289, 20:0.5855
test err 1:0.2276, 3:0.3310, 5:0.3588, 10:0.3774, 20:0.3839
test ndcg 1:0.4816, 3:0.4925, 5:0.4944, 10:0.5240, 20:0.5892
test err 1:0.2353, 3:0.3341, 5:0.3624, 10:0.3804, 20:0.3874
test ndcg 1:0.4770, 3:0.4913, 5:0.4930, 10:0.5195, 20:0.5791
test err 1:0.2302, 3:0.3284, 5:0.3548, 10:0.3740, 20:0.3807
test ndcg 1:0.4598, 3:0.4879, 5:0.4947, 10:0.5253, 20:0.5856
test err 1:0.2207, 3:0.3252, 5:0.3519, 10:0.3719, 20:0.3784
test ndcg 1:0.4609, 3:0.4685, 5:0.4773, 10:0.5072, 20:0.5710
test err 1:0.2216, 3:0.3175, 5:0.3429, 10:0.3645, 20:0.3717
test ndcg 1:0.4724, 3:0.4869, 5:0.5087, 10:0.5364, 20:0.5941
test err 1:0.2216, 3:0.3230, 5:0.3547, 10:0.3738, 20:0.3800
test ndcg 1:0.4977, 3:0.5009, 5:0.5162, 10:0.5406, 20:0.5985
test err 1:0.2371, 3:0.3339, 5:0.3625, 10:0.3816, 20:0.3879
test ndcg 1:0.4851, 3:0.4826, 5:0.5051, 10:0.5310, 20:0.5912
test err 1:0.2328, 3:0.3259, 5:0.3569, 10:0.3761, 20:0.3827
test ndcg 1:0.5069, 3:0.4878, 5:0.5050, 10:0.5345, 20:0.5936
test err 1:0.2474, 3:0.3341, 5:0.3627, 10:0.3839, 20:0.3905
test ndcg 1:0.5230, 3:0.5139, 5:0.5227, 10:0.5489, 20:0.6072
test err 1:0.2509, 3:0.3450, 5:0.3719, 10:0.3907, 20:0.3972
test ndcg 1:0.5034, 3:0.5091, 5:0.5186, 10:0.5415, 20:0.5990
test err 1:0.2414, 3:0.3418, 5:0.3691, 10:0.3877, 20:0.3936
test ndcg 1:0.4874, 3:0.4865, 5:0.5071, 10:0.5352, 20:0.5930
test err 1:0.2310, 3:0.3242, 5:0.3543, 10:0.3734, 20:0.3800
