**************************************************Fold-1**************************************************
test err 1:0.2353, 3:0.3282, 5:0.3563, 10:0.3774, 20:0.3837
test ndcg 1:0.4793, 3:0.4902, 5:0.5020, 10:0.5274, 20:0.5904
test err 1:0.2371, 3:0.3313, 5:0.3579, 10:0.3761, 20:0.3839
test ndcg 1:0.4931, 3:0.5105, 5:0.5185, 10:0.5445, 20:0.6041
test err 1:0.2440, 3:0.3424, 5:0.3709, 10:0.3889, 20:0.3956
test ndcg 1:0.4782, 3:0.4881, 5:0.4911, 10:0.5250, 20:0.5860
test err 1:0.2345, 3:0.3290, 5:0.3554, 10:0.3752, 20:0.3824
test ndcg 1:0.4908, 3:0.4988, 5:0.5106, 10:0.5401, 20:0.6008
test err 1:0.2405, 3:0.3345, 5:0.3634, 10:0.3827, 20:0.3893
test ndcg 1:0.5092, 3:0.4999, 5:0.5094, 10:0.5394, 20:0.6019
test err 1:0.2457, 3:0.3348, 5:0.3666, 10:0.3848, 20:0.3916
test ndcg 1:0.4805, 3:0.4838, 5:0.4995, 10:0.5350, 20:0.6008
test err 1:0.2379, 3:0.3274, 5:0.3585, 10:0.3784, 20:0.3852
test ndcg 1:0.5115, 3:0.5102, 5:0.5162, 10:0.5489, 20:0.6024
test err 1:0.2509, 3:0.3458, 5:0.3730, 10:0.3927, 20:0.3986
test ndcg 1:0.4965, 3:0.5116, 5:0.5107, 10:0.5467, 20:0.6025
test err 1:0.2448, 3:0.3438, 5:0.3669, 10:0.3874, 20:0.3940
test ndcg 1:0.4862, 3:0.4936, 5:0.5036, 10:0.5415, 20:0.6000
test err 1:0.2353, 3:0.3298, 5:0.3567, 10:0.3791, 20:0.3852
test ndcg 1:0.4816, 3:0.5029, 5:0.5121, 10:0.5444, 20:0.6037
test err 1:0.2353, 3:0.3362, 5:0.3639, 10:0.3836, 20:0.3902
test ndcg 1:0.4885, 3:0.5047, 5:0.5175, 10:0.5462, 20:0.6031
test err 1:0.2388, 3:0.3381, 5:0.3675, 10:0.3859, 20:0.3922
test ndcg 1:0.4954, 3:0.5011, 5:0.5104, 10:0.5407, 20:0.6004
test err 1:0.2388, 3:0.3318, 5:0.3606, 10:0.3807, 20:0.3876
test ndcg 1:0.5023, 3:0.5029, 5:0.5080, 10:0.5440, 20:0.6016
test err 1:0.2422, 3:0.3389, 5:0.3647, 10:0.3852, 20:0.3918
test ndcg 1:0.5046, 3:0.5027, 5:0.5134, 10:0.5483, 20:0.6033
test err 1:0.2509, 3:0.3408, 5:0.3695, 10:0.3896, 20:0.3957
test ndcg 1:0.4862, 3:0.5022, 5:0.5144, 10:0.5434, 20:0.6006
