**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.1, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4586, 3:0.4539, 5:0.4718, 10:0.4979, 20:0.5572
test err 1:0.2216, 3:0.3124, 5:0.3413, 10:0.3602, 20:0.3680
test ndcg 1:0.4333, 3:0.4525, 5:0.4693, 10:0.5053, 20:0.5616
test err 1:0.2026, 3:0.2990, 5:0.3279, 10:0.3489, 20:0.3559
test ndcg 1:0.3897, 3:0.3973, 5:0.4098, 10:0.4421, 20:0.5148
test err 1:0.1750, 3:0.2640, 5:0.2933, 10:0.3142, 20:0.3228
test ndcg 1:0.3862, 3:0.3976, 5:0.4100, 10:0.4447, 20:0.5152
test err 1:0.1690, 3:0.2558, 5:0.2851, 10:0.3077, 20:0.3170
test ndcg 1:0.4103, 3:0.4283, 5:0.4403, 10:0.4714, 20:0.5419
test err 1:0.1957, 3:0.2899, 5:0.3145, 10:0.3359, 20:0.3448
test ndcg 1:0.4115, 3:0.4327, 5:0.4497, 10:0.4938, 20:0.5598
test err 1:0.1897, 3:0.2844, 5:0.3131, 10:0.3359, 20:0.3442
test ndcg 1:0.4747, 3:0.4565, 5:0.4661, 10:0.4951, 20:0.5616
test err 1:0.2319, 3:0.3155, 5:0.3411, 10:0.3633, 20:0.3714
test ndcg 1:0.4655, 3:0.4517, 5:0.4558, 10:0.4813, 20:0.5496
test err 1:0.2181, 3:0.3057, 5:0.3341, 10:0.3524, 20:0.3616
test ndcg 1:0.4690, 3:0.4627, 5:0.4789, 10:0.5131, 20:0.5790
test err 1:0.2190, 3:0.3082, 5:0.3409, 10:0.3607, 20:0.3680
test ndcg 1:0.4874, 3:0.4870, 5:0.4882, 10:0.5230, 20:0.5796
test err 1:0.2293, 3:0.3202, 5:0.3460, 10:0.3681, 20:0.3745
test ndcg 1:0.5149, 3:0.4941, 5:0.5052, 10:0.5362, 20:0.5957
test err 1:0.2448, 3:0.3361, 5:0.3614, 10:0.3812, 20:0.3886
test ndcg 1:0.4931, 3:0.4864, 5:0.5003, 10:0.5332, 20:0.5905
test err 1:0.2302, 3:0.3230, 5:0.3507, 10:0.3718, 20:0.3786
test ndcg 1:0.5161, 3:0.4958, 5:0.5068, 10:0.5405, 20:0.5974
test err 1:0.2474, 3:0.3376, 5:0.3640, 10:0.3851, 20:0.3918
test ndcg 1:0.4414, 3:0.4587, 5:0.4747, 10:0.5093, 20:0.5789
test err 1:0.1983, 3:0.2994, 5:0.3282, 10:0.3484, 20:0.3568
test ndcg 1:0.4379, 3:0.4701, 5:0.4849, 10:0.5126, 20:0.5802
test err 1:0.2060, 3:0.3093, 5:0.3390, 10:0.3587, 20:0.3659
test ndcg 1:0.4655, 3:0.4682, 5:0.4672, 10:0.4721, 20:0.5002
