**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.3, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4057, 3:0.4231, 5:0.4307, 10:0.4740, 20:0.5446
test err 1:0.1991, 3:0.2877, 5:0.3130, 10:0.3356, 20:0.3441
test ndcg 1:0.4264, 3:0.4354, 5:0.4548, 10:0.4925, 20:0.5628
test err 1:0.1991, 3:0.2949, 5:0.3247, 10:0.3460, 20:0.3540
test ndcg 1:0.4529, 3:0.4366, 5:0.4490, 10:0.4875, 20:0.5556
test err 1:0.2155, 3:0.3024, 5:0.3308, 10:0.3526, 20:0.3605
test ndcg 1:0.4839, 3:0.4642, 5:0.4717, 10:0.5066, 20:0.5662
test err 1:0.2353, 3:0.3172, 5:0.3442, 10:0.3664, 20:0.3740
test ndcg 1:0.4874, 3:0.4694, 5:0.4831, 10:0.5177, 20:0.5717
test err 1:0.2362, 3:0.3218, 5:0.3506, 10:0.3720, 20:0.3785
test ndcg 1:0.4897, 3:0.4799, 5:0.4800, 10:0.5111, 20:0.5718
test err 1:0.2362, 3:0.3255, 5:0.3509, 10:0.3716, 20:0.3790
test ndcg 1:0.4506, 3:0.4342, 5:0.4453, 10:0.4647, 20:0.5343
test err 1:0.2207, 3:0.3038, 5:0.3277, 10:0.3489, 20:0.3581
test ndcg 1:0.4586, 3:0.4428, 5:0.4543, 10:0.4824, 20:0.5469
test err 1:0.2250, 3:0.3064, 5:0.3344, 10:0.3554, 20:0.3636
test ndcg 1:0.4828, 3:0.4632, 5:0.4725, 10:0.4955, 20:0.5580
test err 1:0.2397, 3:0.3214, 5:0.3477, 10:0.3673, 20:0.3759
test ndcg 1:0.5138, 3:0.4949, 5:0.4996, 10:0.5329, 20:0.5900
test err 1:0.2474, 3:0.3346, 5:0.3613, 10:0.3828, 20:0.3899
test ndcg 1:0.4874, 3:0.4774, 5:0.4776, 10:0.5071, 20:0.5729
test err 1:0.2362, 3:0.3203, 5:0.3458, 10:0.3667, 20:0.3748
test ndcg 1:0.4724, 3:0.4731, 5:0.4800, 10:0.5152, 20:0.5791
test err 1:0.2319, 3:0.3237, 5:0.3492, 10:0.3695, 20:0.3772
test ndcg 1:0.4851, 3:0.4721, 5:0.4785, 10:0.5087, 20:0.5679
test err 1:0.2310, 3:0.3198, 5:0.3479, 10:0.3671, 20:0.3742
test ndcg 1:0.4655, 3:0.4415, 5:0.4417, 10:0.4731, 20:0.5447
test err 1:0.2233, 3:0.3054, 5:0.3288, 10:0.3505, 20:0.3591
test ndcg 1:0.4690, 3:0.4755, 5:0.4771, 10:0.5061, 20:0.5731
test err 1:0.2328, 3:0.3251, 5:0.3492, 10:0.3698, 20:0.3776
test ndcg 1:0.5092, 3:0.5081, 5:0.5167, 10:0.5418, 20:0.5967
test err 1:0.2440, 3:0.3392, 5:0.3666, 10:0.3854, 20:0.3922
test ndcg 1:0.4897, 3:0.4864, 5:0.4936, 10:0.5292, 20:0.5902
test err 1:0.2397, 3:0.3299, 5:0.3567, 10:0.3775, 20:0.3845
test ndcg 1:0.4828, 3:0.4812, 5:0.4885, 10:0.5246, 20:0.5904
test err 1:0.2310, 3:0.3232, 5:0.3495, 10:0.3706, 20:0.3780
test ndcg 1:0.4678, 3:0.4602, 5:0.4748, 10:0.5140, 20:0.5762
test err 1:0.2267, 3:0.3143, 5:0.3452, 10:0.3651, 20:0.3726
test ndcg 1:0.5092, 3:0.4768, 5:0.4814, 10:0.5081, 20:0.5743
test err 1:0.2457, 3:0.3253, 5:0.3514, 10:0.3725, 20:0.3809
test ndcg 1:0.5080, 3:0.4804, 5:0.4895, 10:0.5154, 20:0.5839
test err 1:0.2483, 3:0.3282, 5:0.3554, 10:0.3756, 20:0.3840
test ndcg 1:0.4184, 3:0.4214, 5:0.4514, 10:0.4918, 20:0.5639
test err 1:0.1879, 3:0.2767, 5:0.3123, 10:0.3331, 20:0.3416
test ndcg 1:0.4885, 3:0.4807, 5:0.4889, 10:0.5160, 20:0.5814
test err 1:0.2353, 3:0.3230, 5:0.3518, 10:0.3712, 20:0.3791
test ndcg 1:0.4874, 3:0.4892, 5:0.4933, 10:0.5175, 20:0.5764
test err 1:0.2362, 3:0.3306, 5:0.3552, 10:0.3751, 20:0.3826
test ndcg 1:0.4851, 3:0.4734, 5:0.4820, 10:0.5081, 20:0.5707
test err 1:0.2414, 3:0.3278, 5:0.3524, 10:0.3729, 20:0.3809
test ndcg 1:0.4965, 3:0.5032, 5:0.5042, 10:0.5315, 20:0.5947
test err 1:0.2345, 3:0.3334, 5:0.3582, 10:0.3771, 20:0.3852
test ndcg 1:0.5023, 3:0.4841, 5:0.4931, 10:0.5251, 20:0.5838
test err 1:0.2440, 3:0.3278, 5:0.3558, 10:0.3771, 20:0.3842
test ndcg 1:0.4920, 3:0.4814, 5:0.4917, 10:0.5201, 20:0.5836
test err 1:0.2397, 3:0.3279, 5:0.3554, 10:0.3751, 20:0.3829
test ndcg 1:0.4759, 3:0.4678, 5:0.4804, 10:0.5072, 20:0.5778
test err 1:0.2328, 3:0.3215, 5:0.3487, 10:0.3681, 20:0.3765
test ndcg 1:0.4736, 3:0.4741, 5:0.4760, 10:0.5197, 20:0.5817
test err 1:0.2345, 3:0.3255, 5:0.3501, 10:0.3719, 20:0.3793
test ndcg 1:0.5069, 3:0.4877, 5:0.5023, 10:0.5364, 20:0.5946
test err 1:0.2457, 3:0.3336, 5:0.3619, 10:0.3808, 20:0.3885
test ndcg 1:0.5230, 3:0.5117, 5:0.5170, 10:0.5461, 20:0.6024
test err 1:0.2509, 3:0.3434, 5:0.3691, 10:0.3886, 20:0.3956
test ndcg 1:0.4805, 3:0.4857, 5:0.4943, 10:0.5283, 20:0.5928
test err 1:0.2345, 3:0.3263, 5:0.3529, 10:0.3730, 20:0.3808
test ndcg 1:0.5069, 3:0.5048, 5:0.5069, 10:0.5280, 20:0.5906
test err 1:0.2474, 3:0.3393, 5:0.3654, 10:0.3831, 20:0.3912
test ndcg 1:0.5138, 3:0.4935, 5:0.5016, 10:0.5351, 20:0.5962
test err 1:0.2474, 3:0.3311, 5:0.3603, 10:0.3819, 20:0.3884
test ndcg 1:0.4988, 3:0.5074, 5:0.5144, 10:0.5410, 20:0.5991
test err 1:0.2397, 3:0.3382, 5:0.3647, 10:0.3837, 20:0.3903
test ndcg 1:0.5138, 3:0.5057, 5:0.5076, 10:0.5352, 20:0.5954
test err 1:0.2526, 3:0.3407, 5:0.3678, 10:0.3862, 20:0.3940
test ndcg 1:0.5069, 3:0.4938, 5:0.5078, 10:0.5398, 20:0.5972
test err 1:0.2405, 3:0.3305, 5:0.3603, 10:0.3793, 20:0.3862
test ndcg 1:0.5046, 3:0.4864, 5:0.4980, 10:0.5332, 20:0.5901
test err 1:0.2457, 3:0.3290, 5:0.3589, 10:0.3793, 20:0.3862
test ndcg 1:0.4931, 3:0.4932, 5:0.5004, 10:0.5302, 20:0.5885
test err 1:0.2422, 3:0.3368, 5:0.3639, 10:0.3815, 20:0.3890
test ndcg 1:0.4724, 3:0.4694, 5:0.4904, 10:0.5219, 20:0.5839
test err 1:0.2267, 3:0.3149, 5:0.3481, 10:0.3675, 20:0.3745
test ndcg 1:0.5207, 3:0.4957, 5:0.5077, 10:0.5362, 20:0.5986
test err 1:0.2526, 3:0.3387, 5:0.3665, 10:0.3855, 20:0.3930
test ndcg 1:0.5000, 3:0.4834, 5:0.4975, 10:0.5298, 20:0.5911
test err 1:0.2371, 3:0.3264, 5:0.3542, 10:0.3750, 20:0.3816
test ndcg 1:0.5092, 3:0.4901, 5:0.4967, 10:0.5299, 20:0.5927
test err 1:0.2457, 3:0.3330, 5:0.3607, 10:0.3804, 20:0.3879
test ndcg 1:0.4977, 3:0.4960, 5:0.4948, 10:0.5345, 20:0.5966
test err 1:0.2371, 3:0.3324, 5:0.3565, 10:0.3782, 20:0.3852
test ndcg 1:0.4988, 3:0.4996, 5:0.5070, 10:0.5327, 20:0.5893
test err 1:0.2414, 3:0.3362, 5:0.3640, 10:0.3818, 20:0.3889
test ndcg 1:0.4667, 3:0.4747, 5:0.4820, 10:0.5049, 20:0.5642
test err 1:0.2328, 3:0.3243, 5:0.3483, 10:0.3669, 20:0.3753
test ndcg 1:0.4920, 3:0.4728, 5:0.4860, 10:0.5100, 20:0.5703
test err 1:0.2414, 3:0.3254, 5:0.3528, 10:0.3722, 20:0.3798
test ndcg 1:0.5218, 3:0.5108, 5:0.5142, 10:0.5408, 20:0.5964
test err 1:0.2517, 3:0.3440, 5:0.3697, 10:0.3882, 20:0.3948
test ndcg 1:0.4897, 3:0.4812, 5:0.4907, 10:0.5211, 20:0.5835
test err 1:0.2362, 3:0.3255, 5:0.3553, 10:0.3744, 20:0.3815
test ndcg 1:0.4874, 3:0.4855, 5:0.4925, 10:0.5153, 20:0.5765
test err 1:0.2328, 3:0.3260, 5:0.3527, 10:0.3715, 20:0.3790
test ndcg 1:0.4965, 3:0.4951, 5:0.5007, 10:0.5233, 20:0.5801
test err 1:0.2431, 3:0.3350, 5:0.3615, 10:0.3797, 20:0.3874
test ndcg 1:0.5138, 3:0.5054, 5:0.5100, 10:0.5423, 20:0.5966
test err 1:0.2474, 3:0.3389, 5:0.3654, 10:0.3849, 20:0.3916
test ndcg 1:0.4736, 3:0.4853, 5:0.4999, 10:0.5284, 20:0.5889
test err 1:0.2276, 3:0.3235, 5:0.3510, 10:0.3715, 20:0.3785
test ndcg 1:0.5011, 3:0.4975, 5:0.5125, 10:0.5399, 20:0.5957
test err 1:0.2345, 3:0.3329, 5:0.3607, 10:0.3792, 20:0.3861
test ndcg 1:0.4690, 3:0.4886, 5:0.4971, 10:0.5292, 20:0.5866
test err 1:0.2207, 3:0.3235, 5:0.3499, 10:0.3698, 20:0.3766
test ndcg 1:0.4379, 3:0.4513, 5:0.4658, 10:0.5000, 20:0.5728
test err 1:0.2112, 3:0.3032, 5:0.3310, 10:0.3515, 20:0.3600
test ndcg 1:0.5207, 3:0.5085, 5:0.5181, 10:0.5430, 20:0.6027
