**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=6, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3724, 3:0.3926, 5:0.4129, 10:0.4413, 20:0.5084
test err 1:0.1759, 3:0.2632, 5:0.2938, 10:0.3146, 20:0.3229
test ndcg 1:0.3943, 3:0.4068, 5:0.4197, 10:0.4521, 20:0.5212
test err 1:0.1922, 3:0.2779, 5:0.3048, 10:0.3262, 20:0.3351
test ndcg 1:0.4115, 3:0.4084, 5:0.4268, 10:0.4497, 20:0.5251
test err 1:0.1931, 3:0.2785, 5:0.3065, 10:0.3259, 20:0.3359
test ndcg 1:0.4276, 3:0.4168, 5:0.4311, 10:0.4697, 20:0.5385
test err 1:0.2103, 3:0.2927, 5:0.3208, 10:0.3422, 20:0.3511
test ndcg 1:0.3943, 3:0.4165, 5:0.4264, 10:0.4595, 20:0.5322
test err 1:0.1922, 3:0.2866, 5:0.3137, 10:0.3345, 20:0.3435
test ndcg 1:0.4310, 3:0.4531, 5:0.4576, 10:0.4957, 20:0.5609
test err 1:0.2095, 3:0.3050, 5:0.3297, 10:0.3514, 20:0.3594
test ndcg 1:0.1299, 3:0.1727, 5:0.2009, 10:0.2539, 20:0.3349
test err 1:0.0578, 3:0.1174, 5:0.1431, 10:0.1720, 20:0.1845
test ndcg 1:0.1851, 3:0.2403, 5:0.2572, 10:0.2962, 20:0.3707
test err 1:0.0853, 3:0.1603, 5:0.1866, 10:0.2123, 20:0.2241
test ndcg 1:0.1667, 3:0.2224, 5:0.2449, 10:0.2852, 20:0.3687
test err 1:0.0853, 3:0.1578, 5:0.1844, 10:0.2108, 20:0.2233
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2786, 20:0.3614
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1936, 20:0.2062
test ndcg 1:0.4253, 3:0.4456, 5:0.4649, 10:0.5066, 20:0.5675
test err 1:0.1948, 3:0.2947, 5:0.3234, 10:0.3458, 20:0.3533
test ndcg 1:0.4023, 3:0.4181, 5:0.4359, 10:0.4721, 20:0.5415
test err 1:0.1897, 3:0.2841, 5:0.3134, 10:0.3355, 20:0.3440
test ndcg 1:0.4356, 3:0.4510, 5:0.4660, 10:0.5017, 20:0.5727
test err 1:0.2043, 3:0.2972, 5:0.3268, 10:0.3474, 20:0.3558
test ndcg 1:0.4563, 3:0.4432, 5:0.4472, 10:0.4884, 20:0.5487
test err 1:0.2233, 3:0.3094, 5:0.3340, 10:0.3568, 20:0.3643
test ndcg 1:0.4506, 3:0.4558, 5:0.4590, 10:0.4942, 20:0.5567
test err 1:0.2207, 3:0.3125, 5:0.3370, 10:0.3583, 20:0.3662
test ndcg 1:0.4517, 3:0.4488, 5:0.4558, 10:0.4894, 20:0.5521
test err 1:0.2198, 3:0.3125, 5:0.3378, 10:0.3587, 20:0.3669
test ndcg 1:0.4759, 3:0.4526, 5:0.4581, 10:0.4927, 20:0.5525
test err 1:0.2310, 3:0.3158, 5:0.3427, 10:0.3636, 20:0.3712
test ndcg 1:0.4402, 3:0.4422, 5:0.4612, 10:0.4929, 20:0.5555
test err 1:0.2164, 3:0.3082, 5:0.3367, 10:0.3570, 20:0.3644
test ndcg 1:0.4552, 3:0.4628, 5:0.4732, 10:0.5116, 20:0.5738
test err 1:0.2155, 3:0.3126, 5:0.3389, 10:0.3599, 20:0.3673
test ndcg 1:0.4483, 3:0.4489, 5:0.4590, 10:0.4909, 20:0.5526
test err 1:0.2207, 3:0.3107, 5:0.3398, 10:0.3588, 20:0.3664
test ndcg 1:0.4793, 3:0.4494, 5:0.4497, 10:0.4865, 20:0.5474
test err 1:0.2353, 3:0.3166, 5:0.3403, 10:0.3618, 20:0.3696
test ndcg 1:0.3701, 3:0.3958, 5:0.4045, 10:0.4431, 20:0.5116
test err 1:0.1793, 3:0.2677, 5:0.2951, 10:0.3184, 20:0.3269
test ndcg 1:0.2632, 3:0.2695, 5:0.2799, 10:0.3124, 20:0.3891
test err 1:0.1233, 3:0.1973, 5:0.2219, 10:0.2448, 20:0.2567
test ndcg 1:0.2287, 3:0.2526, 5:0.2620, 10:0.2983, 20:0.3728
test err 1:0.1078, 3:0.1805, 5:0.2031, 10:0.2263, 20:0.2386
test ndcg 1:0.1207, 3:0.1957, 5:0.2285, 10:0.2775, 20:0.3602
test err 1:0.0629, 3:0.1348, 5:0.1670, 10:0.1930, 20:0.2056
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1356, 3:0.2017, 5:0.2298, 10:0.2791, 20:0.3602
test err 1:0.0690, 3:0.1405, 5:0.1717, 10:0.1976, 20:0.2101
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1632, 3:0.2182, 5:0.2343, 10:0.2796, 20:0.3600
test err 1:0.0793, 3:0.1537, 5:0.1786, 10:0.2035, 20:0.2158
test ndcg 1:0.1356, 3:0.2021, 5:0.2314, 10:0.2800, 20:0.3632
test err 1:0.0655, 3:0.1383, 5:0.1697, 10:0.1957, 20:0.2082
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2798, 20:0.3614
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1939, 20:0.2063
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1287, 3:0.1994, 5:0.2302, 10:0.2795, 20:0.3615
test err 1:0.0638, 3:0.1370, 5:0.1690, 10:0.1949, 20:0.2073
test ndcg 1:0.1552, 3:0.2183, 5:0.2481, 10:0.2932, 20:0.3726
test err 1:0.0767, 3:0.1527, 5:0.1829, 10:0.2077, 20:0.2199
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1862, 3:0.2259, 5:0.2505, 10:0.2946, 20:0.3724
test err 1:0.0879, 3:0.1595, 5:0.1877, 10:0.2142, 20:0.2258
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.2988, 3:0.2914, 5:0.3089, 10:0.3442, 20:0.4351
test err 1:0.1379, 3:0.2054, 5:0.2326, 10:0.2566, 20:0.2693
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.2724, 3:0.2659, 5:0.2648, 10:0.2852, 20:0.3447
test err 1:0.1250, 3:0.1864, 5:0.2073, 10:0.2273, 20:0.2389
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3612
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
test ndcg 1:0.1276, 3:0.1984, 5:0.2295, 10:0.2790, 20:0.3610
test err 1:0.0629, 3:0.1356, 5:0.1677, 10:0.1937, 20:0.2062
