**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=3, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4632, 3:0.4782, 5:0.4882, 10:0.5179, 20:0.5813
test err 1:0.2284, 3:0.3212, 5:0.3472, 10:0.3672, 20:0.3752
test ndcg 1:0.4770, 3:0.4786, 5:0.4889, 10:0.5288, 20:0.5891
test err 1:0.2216, 3:0.3168, 5:0.3454, 10:0.3666, 20:0.3737
test ndcg 1:0.4782, 3:0.4847, 5:0.4914, 10:0.5269, 20:0.5857
test err 1:0.2190, 3:0.3145, 5:0.3426, 10:0.3638, 20:0.3709
test ndcg 1:0.4598, 3:0.4678, 5:0.4789, 10:0.5196, 20:0.5841
test err 1:0.2155, 3:0.3117, 5:0.3384, 10:0.3599, 20:0.3673
test ndcg 1:0.4793, 3:0.4836, 5:0.4903, 10:0.5288, 20:0.5867
test err 1:0.2302, 3:0.3284, 5:0.3530, 10:0.3743, 20:0.3813
test ndcg 1:0.5023, 3:0.5041, 5:0.5105, 10:0.5442, 20:0.5973
test err 1:0.2422, 3:0.3366, 5:0.3623, 10:0.3831, 20:0.3895
test ndcg 1:0.4747, 3:0.4795, 5:0.4833, 10:0.5219, 20:0.5836
test err 1:0.2336, 3:0.3277, 5:0.3522, 10:0.3734, 20:0.3807
test ndcg 1:0.5069, 3:0.5067, 5:0.5202, 10:0.5414, 20:0.5998
test err 1:0.2422, 3:0.3395, 5:0.3665, 10:0.3859, 20:0.3924
test ndcg 1:0.4874, 3:0.4769, 5:0.4917, 10:0.5215, 20:0.5848
test err 1:0.2345, 3:0.3233, 5:0.3515, 10:0.3722, 20:0.3795
test ndcg 1:0.5023, 3:0.4965, 5:0.5079, 10:0.5440, 20:0.5987
test err 1:0.2371, 3:0.3308, 5:0.3570, 10:0.3790, 20:0.3857
test ndcg 1:0.4862, 3:0.4888, 5:0.4982, 10:0.5351, 20:0.5961
test err 1:0.2371, 3:0.3321, 5:0.3582, 10:0.3785, 20:0.3858
test ndcg 1:0.4770, 3:0.4836, 5:0.5004, 10:0.5260, 20:0.5863
test err 1:0.2267, 3:0.3233, 5:0.3520, 10:0.3722, 20:0.3790
test ndcg 1:0.4713, 3:0.4834, 5:0.4941, 10:0.5240, 20:0.5873
test err 1:0.2241, 3:0.3223, 5:0.3496, 10:0.3695, 20:0.3771
test ndcg 1:0.5023, 3:0.5017, 5:0.5129, 10:0.5405, 20:0.5983
test err 1:0.2422, 3:0.3355, 5:0.3632, 10:0.3828, 20:0.3901
test ndcg 1:0.5046, 3:0.5006, 5:0.4953, 10:0.5270, 20:0.5905
test err 1:0.2457, 3:0.3390, 5:0.3617, 10:0.3822, 20:0.3905
test ndcg 1:0.5184, 3:0.5039, 5:0.5129, 10:0.5446, 20:0.6024
test err 1:0.2526, 3:0.3413, 5:0.3673, 10:0.3888, 20:0.3958
test ndcg 1:0.5253, 3:0.5123, 5:0.5198, 10:0.5485, 20:0.6053
test err 1:0.2509, 3:0.3419, 5:0.3691, 10:0.3891, 20:0.3961
