**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4609, 3:0.4511, 5:0.4492, 10:0.4844, 20:0.5572
test err 1:0.2198, 3:0.3062, 5:0.3297, 10:0.3522, 20:0.3610
test ndcg 1:0.4713, 3:0.4623, 5:0.4690, 10:0.4958, 20:0.5601
test err 1:0.2259, 3:0.3139, 5:0.3411, 10:0.3619, 20:0.3701
test ndcg 1:0.4414, 3:0.4542, 5:0.4599, 10:0.5000, 20:0.5628
test err 1:0.2000, 3:0.2971, 5:0.3256, 10:0.3466, 20:0.3544
test ndcg 1:0.4839, 3:0.4750, 5:0.4822, 10:0.5060, 20:0.5670
test err 1:0.2336, 3:0.3231, 5:0.3504, 10:0.3692, 20:0.3773
test ndcg 1:0.4954, 3:0.4987, 5:0.5024, 10:0.5299, 20:0.5870
test err 1:0.2302, 3:0.3297, 5:0.3537, 10:0.3745, 20:0.3817
test ndcg 1:0.5000, 3:0.5033, 5:0.5035, 10:0.5318, 20:0.5878
test err 1:0.2405, 3:0.3345, 5:0.3598, 10:0.3795, 20:0.3872
test ndcg 1:0.4805, 3:0.4953, 5:0.5008, 10:0.5357, 20:0.5946
test err 1:0.2207, 3:0.3254, 5:0.3511, 10:0.3731, 20:0.3793
test ndcg 1:0.4391, 3:0.4361, 5:0.4471, 10:0.4828, 20:0.5435
test err 1:0.2138, 3:0.3007, 5:0.3261, 10:0.3478, 20:0.3550
test ndcg 1:0.4793, 3:0.4997, 5:0.4992, 10:0.5319, 20:0.5887
test err 1:0.2336, 3:0.3332, 5:0.3573, 10:0.3783, 20:0.3854
test ndcg 1:0.5069, 3:0.5048, 5:0.5070, 10:0.5451, 20:0.5980
test err 1:0.2422, 3:0.3351, 5:0.3608, 10:0.3821, 20:0.3890
test ndcg 1:0.5000, 3:0.5061, 5:0.5126, 10:0.5418, 20:0.5934
test err 1:0.2371, 3:0.3362, 5:0.3629, 10:0.3821, 20:0.3887
test ndcg 1:0.5023, 3:0.4958, 5:0.5058, 10:0.5337, 20:0.5909
test err 1:0.2388, 3:0.3337, 5:0.3602, 10:0.3798, 20:0.3870
test ndcg 1:0.4942, 3:0.5063, 5:0.5142, 10:0.5438, 20:0.5991
test err 1:0.2345, 3:0.3330, 5:0.3606, 10:0.3798, 20:0.3864
test ndcg 1:0.4644, 3:0.4742, 5:0.4795, 10:0.5073, 20:0.5657
test err 1:0.2293, 3:0.3219, 5:0.3464, 10:0.3666, 20:0.3741
test ndcg 1:0.4954, 3:0.5018, 5:0.5062, 10:0.5393, 20:0.5934
test err 1:0.2422, 3:0.3351, 5:0.3608, 10:0.3816, 20:0.3884
test ndcg 1:0.4977, 3:0.5034, 5:0.5112, 10:0.5467, 20:0.6031
test err 1:0.2388, 3:0.3337, 5:0.3592, 10:0.3810, 20:0.3878
test ndcg 1:0.5092, 3:0.5015, 5:0.5071, 10:0.5443, 20:0.5993
test err 1:0.2422, 3:0.3327, 5:0.3596, 10:0.3808, 20:0.3875
test ndcg 1:0.4954, 3:0.5170, 5:0.5182, 10:0.5478, 20:0.6015
test err 1:0.2371, 3:0.3393, 5:0.3616, 10:0.3826, 20:0.3891
test ndcg 1:0.4908, 3:0.5022, 5:0.5059, 10:0.5310, 20:0.5942
test err 1:0.2405, 3:0.3377, 5:0.3609, 10:0.3813, 20:0.3882
test ndcg 1:0.5080, 3:0.5005, 5:0.5174, 10:0.5489, 20:0.6018
test err 1:0.2431, 3:0.3338, 5:0.3636, 10:0.3831, 20:0.3895
test ndcg 1:0.4885, 3:0.5163, 5:0.5140, 10:0.5450, 20:0.5977
test err 1:0.2371, 3:0.3397, 5:0.3634, 10:0.3834, 20:0.3897
test ndcg 1:0.4954, 3:0.5039, 5:0.5171, 10:0.5450, 20:0.6020
test err 1:0.2336, 3:0.3303, 5:0.3602, 10:0.3789, 20:0.3855
test ndcg 1:0.4954, 3:0.5196, 5:0.5248, 10:0.5516, 20:0.6022
test err 1:0.2371, 3:0.3422, 5:0.3677, 10:0.3862, 20:0.3924
test ndcg 1:0.4920, 3:0.5112, 5:0.5174, 10:0.5385, 20:0.5929
test err 1:0.2362, 3:0.3407, 5:0.3663, 10:0.3837, 20:0.3904
test ndcg 1:0.4805, 3:0.4809, 5:0.5048, 10:0.5364, 20:0.5954
test err 1:0.2293, 3:0.3215, 5:0.3537, 10:0.3735, 20:0.3803
test ndcg 1:0.4897, 3:0.4978, 5:0.5103, 10:0.5438, 20:0.5984
test err 1:0.2293, 3:0.3289, 5:0.3562, 10:0.3764, 20:0.3829
test ndcg 1:0.5000, 3:0.5085, 5:0.5188, 10:0.5482, 20:0.6006
test err 1:0.2371, 3:0.3341, 5:0.3623, 10:0.3825, 20:0.3885
test ndcg 1:0.4851, 3:0.5014, 5:0.5104, 10:0.5370, 20:0.5935
test err 1:0.2276, 3:0.3330, 5:0.3593, 10:0.3770, 20:0.3839
test ndcg 1:0.4770, 3:0.4960, 5:0.5048, 10:0.5327, 20:0.5870
test err 1:0.2353, 3:0.3315, 5:0.3596, 10:0.3778, 20:0.3846
