test ndcg 1:0.4038, 3:0.4761, 5:0.5409, 7:0.5637, 10:0.6200
test err 1:0.2260, 3:0.3599, 5:0.3933, 7:0.3998, 10:0.4055
test ndcg 1:0.4167, 3:0.4866, 5:0.5229, 7:0.5652, 10:0.6188
test err 1:0.2356, 3:0.3659, 5:0.3881, 7:0.3974, 10:0.4043
test ndcg 1:0.4359, 3:0.4662, 5:0.5299, 7:0.5826, 10:0.6241
test err 1:0.2404, 3:0.3490, 5:0.3888, 7:0.3994, 10:0.4039
test ndcg 1:0.4359, 3:0.4752, 5:0.5297, 7:0.5789, 10:0.6226
test err 1:0.2500, 3:0.3657, 5:0.3959, 7:0.4058, 10:0.4109
test ndcg 1:0.4423, 3:0.4595, 5:0.5121, 7:0.5564, 10:0.6178
test err 1:0.2548, 3:0.3449, 5:0.3841, 7:0.3932, 10:0.4008
test ndcg 1:0.3910, 3:0.4425, 5:0.4871, 7:0.5585, 10:0.5985
test err 1:0.2067, 3:0.3229, 5:0.3540, 7:0.3680, 10:0.3727
test ndcg 1:0.4615, 3:0.5014, 5:0.5525, 7:0.6008, 10:0.6482
test err 1:0.2692, 3:0.3785, 5:0.4099, 7:0.4182, 10:0.4244
test ndcg 1:0.3910, 3:0.4485, 5:0.5096, 7:0.5709, 10:0.6051
test err 1:0.2163, 3:0.3386, 5:0.3712, 7:0.3830, 10:0.3868
test ndcg 1:0.4231, 3:0.4664, 5:0.5419, 7:0.5880, 10:0.6286
test err 1:0.2404, 3:0.3591, 5:0.3947, 7:0.4022, 10:0.4082
test ndcg 1:0.4423, 3:0.4776, 5:0.5363, 7:0.5866, 10:0.6347
test err 1:0.2548, 3:0.3662, 5:0.3964, 7:0.4058, 10:0.4121
test ndcg 1:0.4487, 3:0.4566, 5:0.5086, 7:0.5640, 10:0.6151
test err 1:0.2500, 3:0.3515, 5:0.3854, 7:0.3938, 10:0.4014
test ndcg 1:0.4615, 3:0.4794, 5:0.5304, 7:0.5766, 10:0.6321
test err 1:0.2692, 3:0.3738, 5:0.4011, 7:0.4110, 10:0.4189
test ndcg 1:0.4551, 3:0.4724, 5:0.5273, 7:0.5637, 10:0.6229
test err 1:0.2644, 3:0.3674, 5:0.3928, 7:0.4006, 10:0.4106
test ndcg 1:0.4359, 3:0.4571, 5:0.5205, 7:0.5891, 10:0.6205
test err 1:0.2500, 3:0.3568, 5:0.3879, 7:0.4010, 10:0.4047
test ndcg 1:0.4231, 3:0.4914, 5:0.5408, 7:0.5898, 10:0.6335
test err 1:0.2500, 3:0.3776, 5:0.4034, 7:0.4137, 10:0.4201
test ndcg 1:0.4615, 3:0.4891, 5:0.5357, 7:0.5942, 10:0.6345
test err 1:0.2692, 3:0.3883, 5:0.4103, 7:0.4219, 10:0.4284
test ndcg 1:0.4487, 3:0.4622, 5:0.5352, 7:0.5771, 10:0.6243
test err 1:0.2596, 3:0.3640, 5:0.3975, 7:0.4047, 10:0.4111
test ndcg 1:0.4487, 3:0.4740, 5:0.5454, 7:0.5840, 10:0.6315
test err 1:0.2596, 3:0.3710, 5:0.4014, 7:0.4101, 10:0.4178
test ndcg 1:0.4167, 3:0.4472, 5:0.5214, 7:0.5674, 10:0.6147
test err 1:0.2260, 3:0.3454, 5:0.3789, 7:0.3857, 10:0.3917
test ndcg 1:0.5064, 3:0.5054, 5:0.5607, 7:0.6029, 10:0.6510
test err 1:0.3029, 3:0.4045, 5:0.4319, 7:0.4392, 10:0.4470
test ndcg 1:0.4423, 3:0.4292, 5:0.5112, 7:0.5683, 10:0.6102
test err 1:0.2548, 3:0.3473, 5:0.3839, 7:0.3928, 10:0.3987
test ndcg 1:0.4487, 3:0.4518, 5:0.5212, 7:0.5729, 10:0.6173
test err 1:0.2500, 3:0.3605, 5:0.3894, 7:0.4008, 10:0.4074
test ndcg 1:0.4103, 3:0.4520, 5:0.5218, 7:0.5683, 10:0.6155
test err 1:0.2404, 3:0.3548, 5:0.3901, 7:0.3984, 10:0.4047
test ndcg 1:0.4487, 3:0.4654, 5:0.5331, 7:0.5761, 10:0.6078
test err 1:0.2596, 3:0.3785, 5:0.4048, 7:0.4138, 10:0.4186
test ndcg 1:0.4359, 3:0.4746, 5:0.5373, 7:0.5909, 10:0.6213
test err 1:0.2500, 3:0.3758, 5:0.4025, 7:0.4138, 10:0.4176
test ndcg 1:0.4872, 3:0.4775, 5:0.5336, 7:0.6018, 10:0.6319
test err 1:0.2788, 3:0.3866, 5:0.4128, 7:0.4250, 10:0.4284
test ndcg 1:0.4615, 3:0.4650, 5:0.5278, 7:0.5893, 10:0.6252
test err 1:0.2692, 3:0.3756, 5:0.4046, 7:0.4151, 10:0.4186
test ndcg 1:0.5192, 3:0.5000, 5:0.5340, 7:0.5971, 10:0.6424
test err 1:0.3029, 3:0.4046, 5:0.4266, 7:0.4396, 10:0.4456
test ndcg 1:0.5128, 3:0.4791, 5:0.5261, 7:0.6002, 10:0.6421
test err 1:0.2981, 3:0.3963, 5:0.4218, 7:0.4352, 10:0.4408
test ndcg 1:0.5128, 3:0.4784, 5:0.5379, 7:0.5961, 10:0.6314
test err 1:0.2981, 3:0.3914, 5:0.4155, 7:0.4287, 10:0.4343
test ndcg 1:0.5385, 3:0.5005, 5:0.5463, 7:0.5922, 10:0.6449
test err 1:0.3269, 3:0.4111, 5:0.4357, 7:0.4444, 10:0.4538
test ndcg 1:0.5192, 3:0.4771, 5:0.5341, 7:0.5752, 10:0.6304
test err 1:0.3125, 3:0.3970, 5:0.4246, 7:0.4310, 10:0.4392
test ndcg 1:0.5256, 3:0.4906, 5:0.5344, 7:0.5874, 10:0.6408
test err 1:0.3173, 3:0.4109, 5:0.4343, 7:0.4439, 10:0.4516
test ndcg 1:0.4423, 3:0.4457, 5:0.4993, 7:0.5558, 10:0.6106
test err 1:0.2548, 3:0.3571, 5:0.3853, 7:0.3958, 10:0.4045
test ndcg 1:0.5000, 3:0.4726, 5:0.5241, 7:0.5918, 10:0.6300
test err 1:0.2885, 3:0.3843, 5:0.4121, 7:0.4228, 10:0.4284
test ndcg 1:0.4551, 3:0.4617, 5:0.5149, 7:0.5777, 10:0.6217
test err 1:0.2644, 3:0.3688, 5:0.3995, 7:0.4084, 10:0.4143
