test ndcg 1:0.4759, 3:0.4850, 5:0.5051, 7:0.5206, 10:0.5346
test err 1:0.2259, 3:0.3267, 5:0.3543, 7:0.3656, 10:0.3742
test ndcg 1:0.5161, 3:0.5053, 5:0.5097, 7:0.5259, 10:0.5433
test err 1:0.2474, 3:0.3382, 5:0.3644, 7:0.3771, 10:0.3853
test ndcg 1:0.5034, 3:0.5075, 5:0.5177, 7:0.5284, 10:0.5425
test err 1:0.2414, 3:0.3388, 5:0.3659, 7:0.3779, 10:0.3851
test ndcg 1:0.4897, 3:0.5030, 5:0.5141, 7:0.5229, 10:0.5426
test err 1:0.2328, 3:0.3349, 5:0.3600, 7:0.3708, 10:0.3791
test ndcg 1:0.4885, 3:0.4770, 5:0.4859, 7:0.5066, 10:0.5258
test err 1:0.2198, 3:0.3146, 5:0.3427, 7:0.3552, 10:0.3640
test ndcg 1:0.5161, 3:0.5193, 5:0.5250, 7:0.5358, 10:0.5527
test err 1:0.2474, 3:0.3448, 5:0.3711, 7:0.3823, 10:0.3914
test ndcg 1:0.5034, 3:0.5015, 5:0.5149, 7:0.5277, 10:0.5419
test err 1:0.2362, 3:0.3319, 5:0.3577, 7:0.3707, 10:0.3781
test ndcg 1:0.4885, 3:0.5055, 5:0.5109, 7:0.5248, 10:0.5476
test err 1:0.2353, 3:0.3357, 5:0.3612, 7:0.3738, 10:0.3833
test ndcg 1:0.5057, 3:0.5154, 5:0.5189, 7:0.5322, 10:0.5478
test err 1:0.2379, 3:0.3396, 5:0.3642, 7:0.3758, 10:0.3846
test ndcg 1:0.5126, 3:0.5094, 5:0.5180, 7:0.5336, 10:0.5487
test err 1:0.2466, 3:0.3426, 5:0.3685, 7:0.3814, 10:0.3891
test ndcg 1:0.5069, 3:0.5142, 5:0.5228, 7:0.5340, 10:0.5507
test err 1:0.2422, 3:0.3429, 5:0.3685, 7:0.3815, 10:0.3892
test ndcg 1:0.4943, 3:0.5118, 5:0.5156, 7:0.5265, 10:0.5444
