test ndcg 1:0.4287, 3:0.4417, 5:0.4544, 7:0.4651, 10:0.4920
test err 1:0.1908, 3:0.2876, 5:0.3166, 7:0.3286, 10:0.3378
test ndcg 1:0.4535, 3:0.4512, 5:0.4644, 7:0.4815, 10:0.5034
test err 1:0.2058, 3:0.2995, 5:0.3290, 7:0.3413, 10:0.3503
test ndcg 1:0.4323, 3:0.4440, 5:0.4515, 7:0.4723, 10:0.4977
test err 1:0.1899, 3:0.2907, 5:0.3174, 7:0.3308, 10:0.3394
test ndcg 1:0.4429, 3:0.4401, 5:0.4573, 7:0.4706, 10:0.4929
test err 1:0.2032, 3:0.2941, 5:0.3243, 7:0.3366, 10:0.3457
test ndcg 1:0.4111, 3:0.4248, 5:0.4364, 7:0.4554, 10:0.4807
test err 1:0.1776, 3:0.2716, 5:0.3021, 7:0.3158, 10:0.3245
