test ndcg 1:0.3927, 3:0.4060, 5:0.4164, 7:0.4293, 10:0.4632
test err 1:0.1866, 3:0.2748, 5:0.3006, 7:0.3115, 10:0.3210
test ndcg 1:0.4041, 3:0.4143, 5:0.4318, 7:0.4511, 10:0.4719
test err 1:0.2021, 3:0.2934, 5:0.3197, 7:0.3314, 10:0.3380
test ndcg 1:0.4167, 3:0.4264, 5:0.4406, 7:0.4589, 10:0.4820
test err 1:0.2063, 3:0.3004, 5:0.3269, 7:0.3375, 10:0.3449
test ndcg 1:0.4121, 3:0.4168, 5:0.4249, 7:0.4428, 10:0.4688
test err 1:0.2063, 3:0.2965, 5:0.3208, 7:0.3332, 10:0.3411
test ndcg 1:0.4075, 3:0.4229, 5:0.4324, 7:0.4506, 10:0.4756
test err 1:0.2029, 3:0.2950, 5:0.3211, 7:0.3330, 10:0.3409
test ndcg 1:0.4224, 3:0.4206, 5:0.4434, 7:0.4553, 10:0.4781
test err 1:0.2055, 3:0.2974, 5:0.3244, 7:0.3354, 10:0.3427
test ndcg 1:0.4441, 3:0.4257, 5:0.4366, 7:0.4592, 10:0.4812
test err 1:0.2200, 3:0.3031, 5:0.3280, 7:0.3410, 10:0.3482
test ndcg 1:0.4132, 3:0.4145, 5:0.4331, 7:0.4496, 10:0.4746
test err 1:0.2021, 3:0.2909, 5:0.3173, 7:0.3294, 10:0.3377
test ndcg 1:0.4144, 3:0.4092, 5:0.4323, 7:0.4427, 10:0.4711
test err 1:0.1961, 3:0.2854, 5:0.3135, 7:0.3226, 10:0.3311
test ndcg 1:0.3973, 3:0.4133, 5:0.4282, 7:0.4507, 10:0.4700
test err 1:0.2021, 3:0.2939, 5:0.3202, 7:0.3319, 10:0.3390
test ndcg 1:0.3995, 3:0.4184, 5:0.4367, 7:0.4503, 10:0.4781
test err 1:0.2003, 3:0.2967, 5:0.3221, 7:0.3319, 10:0.3407
test ndcg 1:0.3916, 3:0.4079, 5:0.4341, 7:0.4484, 10:0.4699
test err 1:0.1909, 3:0.2836, 5:0.3127, 7:0.3232, 10:0.3305
test ndcg 1:0.3995, 3:0.4063, 5:0.4223, 7:0.4363, 10:0.4637
test err 1:0.2021, 3:0.2919, 5:0.3185, 7:0.3281, 10:0.3365
test ndcg 1:0.4326, 3:0.4126, 5:0.4328, 7:0.4507, 10:0.4743
test err 1:0.2166, 3:0.3003, 5:0.3257, 7:0.3376, 10:0.3452
test ndcg 1:0.4304, 3:0.4207, 5:0.4330, 7:0.4478, 10:0.4761
test err 1:0.2046, 3:0.2923, 5:0.3177, 7:0.3283, 10:0.3375
test ndcg 1:0.4338, 3:0.4272, 5:0.4389, 7:0.4552, 10:0.4833
test err 1:0.2158, 3:0.3024, 5:0.3275, 7:0.3394, 10:0.3471
test ndcg 1:0.3961, 3:0.4041, 5:0.4210, 7:0.4415, 10:0.4664
test err 1:0.1978, 3:0.2904, 5:0.3151, 7:0.3272, 10:0.3346
test ndcg 1:0.4201, 3:0.4160, 5:0.4331, 7:0.4536, 10:0.4785
test err 1:0.2106, 3:0.2980, 5:0.3245, 7:0.3360, 10:0.3439
test ndcg 1:0.4041, 3:0.4189, 5:0.4289, 7:0.4444, 10:0.4731
test err 1:0.2021, 3:0.2981, 5:0.3218, 7:0.3314, 10:0.3405
test ndcg 1:0.4087, 3:0.4084, 5:0.4259, 7:0.4390, 10:0.4631
