test ndcg 1:0.4817, 3:0.4567, 5:0.4660, 7:0.4816, 10:0.5006
test ndcg 1:0.4523, 3:0.4406, 5:0.4633, 7:0.4769, 10:0.4958
test ndcg 1:0.4535, 3:0.4452, 5:0.4530, 7:0.4692, 10:0.4987
test ndcg 1:0.4334, 3:0.4339, 5:0.4470, 7:0.4637, 10:0.4886
test ndcg 1:0.4499, 3:0.4340, 5:0.4447, 7:0.4598, 10:0.4819
test ndcg 1:0.3922, 3:0.4010, 5:0.4156, 7:0.4316, 10:0.4528
test ndcg 1:0.3592, 3:0.3803, 5:0.3934, 7:0.4119, 10:0.4369
test ndcg 1:0.3569, 3:0.3655, 5:0.3774, 7:0.4009, 10:0.4291
test ndcg 1:0.4582, 3:0.4427, 5:0.4518, 7:0.4631, 10:0.4906
test ndcg 1:0.4735, 3:0.4704, 5:0.4831, 7:0.4924, 10:0.5105
test ndcg 1:0.4653, 3:0.4489, 5:0.4689, 7:0.4812, 10:0.5016
test ndcg 1:0.4617, 3:0.4372, 5:0.4495, 7:0.4687, 10:0.4938
test ndcg 1:0.4064, 3:0.3915, 5:0.4016, 7:0.4165, 10:0.4462
test ndcg 1:0.3958, 3:0.3994, 5:0.4141, 7:0.4285, 10:0.4523
test ndcg 1:0.3946, 3:0.3909, 5:0.4073, 7:0.4287, 10:0.4556
test ndcg 1:0.3133, 3:0.3421, 5:0.3653, 7:0.3820, 10:0.4011
test ndcg 1:0.3239, 3:0.3593, 5:0.3714, 7:0.3968, 10:0.4142
test ndcg 1:0.3581, 3:0.3754, 5:0.3886, 7:0.4036, 10:0.4233
test ndcg 1:0.3875, 3:0.4023, 5:0.4180, 7:0.4368, 10:0.4653
test ndcg 1:0.4264, 3:0.4409, 5:0.4488, 7:0.4610, 10:0.4833
test ndcg 1:0.3934, 3:0.3983, 5:0.4194, 7:0.4410, 10:0.4671
test ndcg 1:0.4158, 3:0.4107, 5:0.4276, 7:0.4465, 10:0.4735
test ndcg 1:0.4688, 3:0.4548, 5:0.4655, 7:0.4824, 10:0.5020
test ndcg 1:0.4535, 3:0.4556, 5:0.4616, 7:0.4795, 10:0.5060
test ndcg 1:0.3910, 3:0.3924, 5:0.4099, 7:0.4332, 10:0.4612
test ndcg 1:0.4546, 3:0.4432, 5:0.4623, 7:0.4786, 10:0.5058
test ndcg 1:0.4382, 3:0.4481, 5:0.4621, 7:0.4775, 10:0.4997
test ndcg 1:0.4464, 3:0.4366, 5:0.4567, 7:0.4704, 10:0.4904
test ndcg 1:0.4629, 3:0.4677, 5:0.4856, 7:0.4935, 10:0.5002
test ndcg 1:0.4546, 3:0.4596, 5:0.4721, 7:0.4848, 10:0.5046
test ndcg 1:0.4747, 3:0.4576, 5:0.4729, 7:0.4844, 10:0.5057
test ndcg 1:0.4770, 3:0.4570, 5:0.4732, 7:0.4887, 10:0.5074
test ndcg 1:0.4546, 3:0.4756, 5:0.4835, 7:0.4900, 10:0.5124
test ndcg 1:0.4476, 3:0.4522, 5:0.4627, 7:0.4734, 10:0.4908
test ndcg 1:0.4499, 3:0.4439, 5:0.4477, 7:0.4595, 10:0.4818
test ndcg 1:0.4252, 3:0.4211, 5:0.4342, 7:0.4461, 10:0.4699
test ndcg 1:0.4546, 3:0.4484, 5:0.4644, 7:0.4771, 10:0.4993
test ndcg 1:0.4476, 3:0.4476, 5:0.4701, 7:0.4795, 10:0.5005
test ndcg 1:0.4558, 3:0.4542, 5:0.4638, 7:0.4736, 10:0.4940
test ndcg 1:0.4311, 3:0.4097, 5:0.4187, 7:0.4358, 10:0.4572
test ndcg 1:0.3628, 3:0.3729, 5:0.3896, 7:0.4100, 10:0.4415
test ndcg 1:0.3640, 3:0.3737, 5:0.3908, 7:0.4032, 10:0.4360
test ndcg 1:0.4605, 3:0.4489, 5:0.4635, 7:0.4746, 10:0.4960
test ndcg 1:0.3969, 3:0.4056, 5:0.4234, 7:0.4387, 10:0.4673
test ndcg 1:0.4535, 3:0.4571, 5:0.4723, 7:0.4853, 10:0.5091
test ndcg 1:0.4723, 3:0.4644, 5:0.4737, 7:0.4782, 10:0.5043
test ndcg 1:0.4393, 3:0.4443, 5:0.4606, 7:0.4723, 10:0.4954
test ndcg 1:0.4688, 3:0.4577, 5:0.4694, 7:0.4833, 10:0.5019
test ndcg 1:0.4546, 3:0.4564, 5:0.4789, 7:0.4903, 10:0.5062
test ndcg 1:0.4276, 3:0.4364, 5:0.4533, 7:0.4717, 10:0.4945
test ndcg 1:0.3887, 3:0.3976, 5:0.4037, 7:0.4201, 10:0.4479
test ndcg 1:0.4382, 3:0.4378, 5:0.4501, 7:0.4606, 10:0.4829
test ndcg 1:0.4111, 3:0.4281, 5:0.4421, 7:0.4626, 10:0.4879
test ndcg 1:0.3428, 3:0.3747, 5:0.3894, 7:0.4045, 10:0.4232
test ndcg 1:0.4134, 3:0.4268, 5:0.4432, 7:0.4577, 10:0.4855
test ndcg 1:0.3899, 3:0.4354, 5:0.4592, 7:0.4716, 10:0.4951
test ndcg 1:0.3993, 3:0.4332, 5:0.4561, 7:0.4670, 10:0.4870
test ndcg 1:0.4311, 3:0.4407, 5:0.4504, 7:0.4564, 10:0.4774
test ndcg 1:0.4240, 3:0.4453, 5:0.4635, 7:0.4769, 10:0.4923
test ndcg 1:0.4346, 3:0.4522, 5:0.4677, 7:0.4814, 10:0.4991
test ndcg 1:0.4240, 3:0.4505, 5:0.4616, 7:0.4765, 10:0.4942
test ndcg 1:0.4429, 3:0.4493, 5:0.4612, 7:0.4759, 10:0.4933
test ndcg 1:0.3899, 3:0.4142, 5:0.4218, 7:0.4469, 10:0.4699
test ndcg 1:0.4452, 3:0.4426, 5:0.4588, 7:0.4636, 10:0.4821
test ndcg 1:0.4158, 3:0.4198, 5:0.4309, 7:0.4563, 10:0.4839
test ndcg 1:0.4134, 3:0.4214, 5:0.4436, 7:0.4636, 10:0.4878
test ndcg 1:0.4099, 3:0.4184, 5:0.4392, 7:0.4583, 10:0.4860
test ndcg 1:0.4358, 3:0.4166, 5:0.4250, 7:0.4421, 10:0.4692
test ndcg 1:0.4181, 3:0.4129, 5:0.4303, 7:0.4454, 10:0.4708
test ndcg 1:0.4594, 3:0.4590, 5:0.4746, 7:0.4870, 10:0.5054
