test ndcg 1:0.5652, 3:0.5584, 5:0.5800, 7:0.6204, 10:0.6524
test ndcg 1:0.5556, 3:0.5444, 5:0.5793, 7:0.6128, 10:0.6412
test ndcg 1:0.5169, 3:0.5502, 5:0.5845, 7:0.6082, 10:0.6485
test ndcg 1:0.5121, 3:0.5291, 5:0.5735, 7:0.6108, 10:0.6437
test ndcg 1:0.5556, 3:0.5443, 5:0.5788, 7:0.5983, 10:0.6384
test ndcg 1:0.4928, 3:0.5200, 5:0.5599, 7:0.5930, 10:0.6397
test ndcg 1:0.5266, 3:0.5391, 5:0.5679, 7:0.6002, 10:0.6382
test ndcg 1:0.5266, 3:0.5390, 5:0.5702, 7:0.6159, 10:0.6415
test ndcg 1:0.5604, 3:0.5511, 5:0.5802, 7:0.6159, 10:0.6547
test ndcg 1:0.5411, 3:0.5273, 5:0.5804, 7:0.6104, 10:0.6537
test ndcg 1:0.5362, 3:0.5337, 5:0.5687, 7:0.6068, 10:0.6458
test ndcg 1:0.5314, 3:0.5297, 5:0.5681, 7:0.6075, 10:0.6391
test ndcg 1:0.5266, 3:0.5373, 5:0.5741, 7:0.5972, 10:0.6347
test ndcg 1:0.5024, 3:0.5365, 5:0.5590, 7:0.5943, 10:0.6311
test ndcg 1:0.5459, 3:0.5448, 5:0.5864, 7:0.6112, 10:0.6537
test ndcg 1:0.5459, 3:0.5697, 5:0.6013, 7:0.6193, 10:0.6570
test ndcg 1:0.4444, 3:0.5103, 5:0.5440, 7:0.5863, 10:0.6232
test ndcg 1:0.4734, 3:0.5186, 5:0.5481, 7:0.5842, 10:0.6290
test ndcg 1:0.5362, 3:0.5529, 5:0.5888, 7:0.5993, 10:0.6455
test ndcg 1:0.5024, 3:0.5514, 5:0.5840, 7:0.6034, 10:0.6497
test ndcg 1:0.5072, 3:0.5529, 5:0.5761, 7:0.6045, 10:0.6526
test ndcg 1:0.5072, 3:0.5547, 5:0.5766, 7:0.6042, 10:0.6541
test ndcg 1:0.4976, 3:0.5113, 5:0.5448, 7:0.5810, 10:0.6200
test ndcg 1:0.5700, 3:0.5525, 5:0.5778, 7:0.6168, 10:0.6518
test ndcg 1:0.3768, 3:0.4669, 5:0.5272, 7:0.5486, 10:0.5875
test ndcg 1:0.4299, 3:0.4892, 5:0.5203, 7:0.5637, 10:0.6104
test ndcg 1:0.5072, 3:0.5295, 5:0.5596, 7:0.5974, 10:0.6326
test ndcg 1:0.5072, 3:0.5487, 5:0.5640, 7:0.6046, 10:0.6413
test ndcg 1:0.4976, 3:0.5302, 5:0.5509, 7:0.5934, 10:0.6342
test ndcg 1:0.5314, 3:0.5513, 5:0.5708, 7:0.6063, 10:0.6361
test ndcg 1:0.5121, 3:0.5492, 5:0.5819, 7:0.6113, 10:0.6450
test ndcg 1:0.5411, 3:0.5470, 5:0.5721, 7:0.6070, 10:0.6440
test ndcg 1:0.4928, 3:0.5377, 5:0.5547, 7:0.5932, 10:0.6293
test ndcg 1:0.5362, 3:0.5591, 5:0.5780, 7:0.6217, 10:0.6542
test ndcg 1:0.5121, 3:0.5526, 5:0.5699, 7:0.6028, 10:0.6488
