test ndcg 1:0.4090, 3:0.4248, 5:0.4370, 7:0.4526, 10:0.4767
test ndcg 1:0.4497, 3:0.4562, 5:0.4543, 7:0.4661, 10:0.4947
test ndcg 1:0.3085, 3:0.3176, 5:0.3325, 7:0.3486, 10:0.3692
test ndcg 1:0.4938, 3:0.4764, 5:0.4781, 7:0.4894, 10:0.5110
test ndcg 1:0.4701, 3:0.4664, 5:0.4648, 7:0.4756, 10:0.4959
test ndcg 1:0.4339, 3:0.4421, 5:0.4479, 7:0.4611, 10:0.4867
test ndcg 1:0.3390, 3:0.3460, 5:0.3584, 7:0.3798, 10:0.4081
test ndcg 1:0.2904, 3:0.3236, 5:0.3411, 7:0.3563, 10:0.3853
test ndcg 1:0.2757, 3:0.3084, 5:0.3229, 7:0.3461, 10:0.3736
test ndcg 1:0.2780, 3:0.3077, 5:0.3235, 7:0.3383, 10:0.3643
test ndcg 1:0.2972, 3:0.3143, 5:0.3306, 7:0.3585, 10:0.3912
test ndcg 1:0.3367, 3:0.3375, 5:0.3495, 7:0.3693, 10:0.3929
test ndcg 1:0.3073, 3:0.3367, 5:0.3431, 7:0.3609, 10:0.3830
test ndcg 1:0.3785, 3:0.3752, 5:0.3855, 7:0.4058, 10:0.4342
test ndcg 1:0.4271, 3:0.4392, 5:0.4593, 7:0.4675, 10:0.4966
test ndcg 1:0.4746, 3:0.4554, 5:0.4668, 7:0.4770, 10:0.4968
test ndcg 1:0.4655, 3:0.4702, 5:0.4725, 7:0.4803, 10:0.4982
test ndcg 1:0.4362, 3:0.4373, 5:0.4498, 7:0.4623, 10:0.4879
test ndcg 1:0.3989, 3:0.4111, 5:0.4238, 7:0.4420, 10:0.4706
test ndcg 1:0.4282, 3:0.4193, 5:0.4298, 7:0.4478, 10:0.4713
test ndcg 1:0.3989, 3:0.4068, 5:0.4058, 7:0.4180, 10:0.4464
test ndcg 1:0.4429, 3:0.4573, 5:0.4716, 7:0.4809, 10:0.4993
test ndcg 1:0.4305, 3:0.4375, 5:0.4448, 7:0.4568, 10:0.4754
test ndcg 1:0.3492, 3:0.3499, 5:0.3667, 7:0.3798, 10:0.4152
test ndcg 1:0.3672, 3:0.3642, 5:0.3767, 7:0.3954, 10:0.4295
test ndcg 1:0.3661, 3:0.3737, 5:0.3816, 7:0.3993, 10:0.4257
test ndcg 1:0.3548, 3:0.3639, 5:0.3726, 7:0.3926, 10:0.4214
test ndcg 1:0.3785, 3:0.3944, 5:0.4068, 7:0.4201, 10:0.4491
test ndcg 1:0.3819, 3:0.3951, 5:0.4105, 7:0.4237, 10:0.4462
test ndcg 1:0.4023, 3:0.4273, 5:0.4397, 7:0.4502, 10:0.4705
test ndcg 1:0.4102, 3:0.4339, 5:0.4437, 7:0.4568, 10:0.4789
test ndcg 1:0.4079, 3:0.4192, 5:0.4286, 7:0.4476, 10:0.4685
test ndcg 1:0.4034, 3:0.4202, 5:0.4304, 7:0.4449, 10:0.4637
test ndcg 1:0.4237, 3:0.4314, 5:0.4467, 7:0.4594, 10:0.4825
test ndcg 1:0.3921, 3:0.4096, 5:0.4325, 7:0.4455, 10:0.4706
test ndcg 1:0.3684, 3:0.3748, 5:0.3901, 7:0.4147, 10:0.4451
test ndcg 1:0.3977, 3:0.4107, 5:0.4299, 7:0.4488, 10:0.4770
test ndcg 1:0.4124, 3:0.4336, 5:0.4449, 7:0.4585, 10:0.4769
test ndcg 1:0.3537, 3:0.3680, 5:0.3945, 7:0.4152, 10:0.4432
test ndcg 1:0.4045, 3:0.4256, 5:0.4387, 7:0.4521, 10:0.4778
test ndcg 1:0.4203, 3:0.4268, 5:0.4397, 7:0.4572, 10:0.4783
test ndcg 1:0.3955, 3:0.4163, 5:0.4281, 7:0.4428, 10:0.4713
test ndcg 1:0.4011, 3:0.4205, 5:0.4263, 7:0.4491, 10:0.4725
test ndcg 1:0.4362, 3:0.4423, 5:0.4467, 7:0.4640, 10:0.4887
test ndcg 1:0.4328, 3:0.4553, 5:0.4632, 7:0.4741, 10:0.4932
test ndcg 1:0.4305, 3:0.4487, 5:0.4614, 7:0.4755, 10:0.4966
test ndcg 1:0.4429, 3:0.4498, 5:0.4541, 7:0.4721, 10:0.4958
test ndcg 1:0.4328, 3:0.4490, 5:0.4581, 7:0.4738, 10:0.4982
test ndcg 1:0.4373, 3:0.4516, 5:0.4556, 7:0.4715, 10:0.4895
test ndcg 1:0.4282, 3:0.4539, 5:0.4595, 7:0.4756, 10:0.4939
test ndcg 1:0.4215, 3:0.4510, 5:0.4516, 7:0.4656, 10:0.4960
test ndcg 1:0.4531, 3:0.4590, 5:0.4672, 7:0.4863, 10:0.5059
test ndcg 1:0.4463, 3:0.4586, 5:0.4655, 7:0.4855, 10:0.5044
test ndcg 1:0.4486, 3:0.4559, 5:0.4642, 7:0.4822, 10:0.5026
test ndcg 1:0.4271, 3:0.4510, 5:0.4576, 7:0.4739, 10:0.4919
