test ndcg 1:0.4583, 3:0.4648, 5:0.4968, 7:0.5457, 10:0.5937
test err 1:0.2634, 3:0.3602, 5:0.3840, 7:0.3945, 10:0.4018
test ndcg 1:0.4524, 3:0.4549, 5:0.5006, 7:0.5494, 10:0.6030
test err 1:0.2589, 3:0.3478, 5:0.3790, 7:0.3891, 10:0.3970
test ndcg 1:0.4762, 3:0.4767, 5:0.5116, 7:0.5553, 10:0.6037
test err 1:0.2679, 3:0.3624, 5:0.3897, 7:0.3984, 10:0.4045
test ndcg 1:0.4762, 3:0.4853, 5:0.5088, 7:0.5654, 10:0.6084
test err 1:0.2679, 3:0.3644, 5:0.3887, 7:0.4015, 10:0.4062
test ndcg 1:0.4762, 3:0.4744, 5:0.5069, 7:0.5635, 10:0.6057
test err 1:0.2679, 3:0.3593, 5:0.3847, 7:0.3965, 10:0.4017
test ndcg 1:0.4821, 3:0.4862, 5:0.5048, 7:0.5627, 10:0.6103
test err 1:0.2723, 3:0.3728, 5:0.3924, 7:0.4056, 10:0.4113
test ndcg 1:0.4821, 3:0.4769, 5:0.4992, 7:0.5513, 10:0.6083
test err 1:0.2634, 3:0.3597, 5:0.3812, 7:0.3939, 10:0.4006
test ndcg 1:0.5119, 3:0.4862, 5:0.5031, 7:0.5586, 10:0.6173
test err 1:0.2857, 3:0.3753, 5:0.3959, 7:0.4101, 10:0.4174
test ndcg 1:0.4643, 3:0.4674, 5:0.4935, 7:0.5482, 10:0.6080
test err 1:0.2589, 3:0.3556, 5:0.3782, 7:0.3908, 10:0.3985
test ndcg 1:0.4940, 3:0.5057, 5:0.5209, 7:0.5697, 10:0.6198
test err 1:0.2812, 3:0.3767, 5:0.3981, 7:0.4100, 10:0.4160
test ndcg 1:0.5119, 3:0.4907, 5:0.5123, 7:0.5681, 10:0.6215
test err 1:0.2857, 3:0.3695, 5:0.3966, 7:0.4093, 10:0.4153
test ndcg 1:0.5059, 3:0.5077, 5:0.5268, 7:0.5736, 10:0.6273
test err 1:0.2902, 3:0.3837, 5:0.4073, 7:0.4184, 10:0.4247
test ndcg 1:0.5000, 3:0.4750, 5:0.5038, 7:0.5533, 10:0.6162
test err 1:0.2768, 3:0.3656, 5:0.3901, 7:0.4013, 10:0.4092
test ndcg 1:0.5179, 3:0.4801, 5:0.5066, 7:0.5576, 10:0.6190
test err 1:0.2902, 3:0.3732, 5:0.3968, 7:0.4082, 10:0.4161
