**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=200, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=3, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3782, 3:0.4764, 5:0.5375, 10:0.6115, 20:0.2703
test err 1:0.2260, 3:0.3577, 5:0.3927, 10:0.4040, 20:0.1926
test ndcg 1:0.4679, 3:0.5247, 5:0.5695, 10:0.6522, 20:0.2808
test err 1:0.2644, 3:0.3897, 5:0.4191, 10:0.4304, 20:0.2139
test ndcg 1:0.4295, 3:0.5089, 5:0.5435, 10:0.6304, 20:0.2707
test err 1:0.2452, 3:0.3687, 5:0.3984, 10:0.4112, 20:0.2042
test ndcg 1:0.4423, 3:0.5072, 5:0.5546, 10:0.6411, 20:0.2732
test err 1:0.2548, 3:0.3705, 5:0.4044, 10:0.4176, 20:0.2020
test ndcg 1:0.4038, 3:0.4693, 5:0.5160, 10:0.6124, 20:0.2623
test err 1:0.2260, 3:0.3423, 5:0.3733, 10:0.3898, 20:0.1851
test ndcg 1:0.3910, 3:0.4553, 5:0.5185, 10:0.6085, 20:0.2618
test err 1:0.2163, 3:0.3364, 5:0.3693, 10:0.3853, 20:0.1869
test ndcg 1:0.4231, 3:0.5012, 5:0.5361, 10:0.6279, 20:0.2661
test err 1:0.2404, 3:0.3657, 5:0.3910, 10:0.4077, 20:0.1945
test ndcg 1:0.3974, 3:0.4629, 5:0.5156, 10:0.6193, 20:0.2629
test err 1:0.2212, 3:0.3400, 5:0.3721, 10:0.3888, 20:0.1855
test ndcg 1:0.4423, 3:0.4968, 5:0.5528, 10:0.6333, 20:0.2696
test err 1:0.2548, 3:0.3724, 5:0.3998, 10:0.4150, 20:0.1925
test ndcg 1:0.4231, 3:0.4787, 5:0.5384, 10:0.6300, 20:0.2710
test err 1:0.2404, 3:0.3655, 5:0.3933, 10:0.4082, 20:0.1951
