**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.93, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, page=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.5128, 3:0.4976, 5:0.5500, 10:0.6435, 20:0.2820
test err 1:0.3077, 3:0.4030, 5:0.4311, 10:0.4469, 20:0.2200
test ndcg 1:0.5256, 3:0.5045, 5:0.5442, 10:0.6414, 20:0.2748
test err 1:0.3173, 3:0.4080, 5:0.4309, 10:0.4493, 20:0.2108
test ndcg 1:0.4744, 3:0.4746, 5:0.5231, 10:0.6272, 20:0.2686
test err 1:0.2788, 3:0.3763, 5:0.4024, 10:0.4207, 20:0.1944
test ndcg 1:0.5000, 3:0.4967, 5:0.5407, 10:0.6391, 20:0.2813
test err 1:0.3077, 3:0.4031, 5:0.4263, 10:0.4448, 20:0.2185
test ndcg 1:0.5000, 3:0.4950, 5:0.5404, 10:0.6430, 20:0.2788
test err 1:0.3077, 3:0.4042, 5:0.4262, 10:0.4450, 20:0.2171
test ndcg 1:0.5064, 3:0.4916, 5:0.5467, 10:0.6371, 20:0.2796
test err 1:0.3029, 3:0.3946, 5:0.4233, 10:0.4400, 20:0.2152
test ndcg 1:0.4167, 3:0.4829, 5:0.5341, 10:0.6270, 20:0.2797
test err 1:0.2452, 3:0.3711, 5:0.3958, 10:0.4129, 20:0.1980
test ndcg 1:0.4615, 3:0.4871, 5:0.5379, 10:0.6305, 20:0.2781
test err 1:0.2692, 3:0.3840, 5:0.4084, 10:0.4254, 20:0.2038
test ndcg 1:0.5128, 3:0.4913, 5:0.5496, 10:0.6498, 20:0.2844
test err 1:0.3077, 3:0.4017, 5:0.4332, 10:0.4497, 20:0.2209
test ndcg 1:0.5192, 3:0.5030, 5:0.5384, 10:0.6433, 20:0.2853
test err 1:0.3125, 3:0.4078, 5:0.4287, 10:0.4486, 20:0.2195
test ndcg 1:0.5128, 3:0.4901, 5:0.5376, 10:0.6427, 20:0.2831
test err 1:0.3077, 3:0.3991, 5:0.4263, 10:0.4444, 20:0.2169
test ndcg 1:0.4808, 3:0.4854, 5:0.5340, 10:0.6400, 20:0.2739
test err 1:0.2933, 3:0.3960, 5:0.4231, 10:0.4411, 20:0.2073
