**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.5, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2820, 3:0.3956, 5:0.4501, 10:0.5157, 20:0.2144
test err 1:0.1442, 3:0.2838, 5:0.3155, 10:0.3252, 20:0.1382
test ndcg 1:0.3590, 3:0.4027, 5:0.4886, 10:0.5799, 20:0.2482
test err 1:0.2212, 3:0.3346, 5:0.3681, 10:0.3851, 20:0.1775
test ndcg 1:0.4231, 3:0.4923, 5:0.5279, 10:0.6237, 20:0.2745
test err 1:0.2500, 3:0.3779, 5:0.4010, 10:0.4165, 20:0.2108
test ndcg 1:0.3846, 3:0.4719, 5:0.5134, 10:0.6139, 20:0.2727
test err 1:0.2308, 3:0.3632, 5:0.3901, 10:0.4069, 20:0.1990
test ndcg 1:0.4103, 3:0.4809, 5:0.5261, 10:0.6145, 20:0.2779
test err 1:0.2404, 3:0.3578, 5:0.3820, 10:0.4011, 20:0.1934
test ndcg 1:0.4423, 3:0.4928, 5:0.5397, 10:0.6262, 20:0.2829
test err 1:0.2548, 3:0.3720, 5:0.3977, 10:0.4138, 20:0.2123
test ndcg 1:0.4103, 3:0.4805, 5:0.5317, 10:0.6178, 20:0.2649
test err 1:0.2404, 3:0.3644, 5:0.3936, 10:0.4081, 20:0.1973
test ndcg 1:0.4295, 3:0.4700, 5:0.5174, 10:0.6209, 20:0.2687
test err 1:0.2452, 3:0.3623, 5:0.3892, 10:0.4073, 20:0.2007
test ndcg 1:0.4423, 3:0.4765, 5:0.5199, 10:0.6273, 20:0.2754
test err 1:0.2548, 3:0.3632, 5:0.3941, 10:0.4131, 20:0.2052
test ndcg 1:0.4551, 3:0.4924, 5:0.5300, 10:0.6310, 20:0.2748
test err 1:0.2644, 3:0.3659, 5:0.3947, 10:0.4132, 20:0.2031
test ndcg 1:0.3974, 3:0.4690, 5:0.5150, 10:0.6228, 20:0.2721
test err 1:0.2212, 3:0.3556, 5:0.3805, 10:0.3977, 20:0.1967
test ndcg 1:0.4936, 3:0.4665, 5:0.5114, 10:0.6095, 20:0.2662
test err 1:0.2837, 3:0.3701, 5:0.3997, 10:0.4169, 20:0.2072
test ndcg 1:0.4423, 3:0.4792, 5:0.5075, 10:0.6191, 20:0.2669
test err 1:0.2548, 3:0.3772, 5:0.4015, 10:0.4190, 20:0.2044
test ndcg 1:0.4744, 3:0.4576, 5:0.5052, 10:0.6153, 20:0.2623
test err 1:0.2788, 3:0.3747, 5:0.4046, 10:0.4227, 20:0.2009
test ndcg 1:0.4744, 3:0.4783, 5:0.5080, 10:0.6043, 20:0.2502
test err 1:0.2692, 3:0.3734, 5:0.3967, 10:0.4137, 20:0.1893
test ndcg 1:0.4359, 3:0.5103, 5:0.5538, 10:0.6166, 20:0.2679
test err 1:0.2500, 3:0.3793, 5:0.4050, 10:0.4160, 20:0.1949
test ndcg 1:0.4231, 3:0.4758, 5:0.5290, 10:0.6124, 20:0.2601
test err 1:0.2404, 3:0.3625, 5:0.3948, 10:0.4074, 20:0.1906
test ndcg 1:0.4487, 3:0.4510, 5:0.5120, 10:0.6173, 20:0.2632
test err 1:0.2500, 3:0.3583, 5:0.3889, 10:0.4047, 20:0.1976
test ndcg 1:0.4423, 3:0.4818, 5:0.5374, 10:0.6274, 20:0.2891
test err 1:0.2548, 3:0.3622, 5:0.3994, 10:0.4130, 20:0.2155
test ndcg 1:0.3526, 3:0.3946, 5:0.4649, 10:0.5707, 20:0.2459
test err 1:0.1971, 3:0.3005, 5:0.3424, 10:0.3579, 20:0.1688
test ndcg 1:0.4231, 3:0.4739, 5:0.5233, 10:0.6157, 20:0.2807
test err 1:0.2500, 3:0.3714, 5:0.4002, 10:0.4133, 20:0.2112
test ndcg 1:0.4615, 3:0.4933, 5:0.5492, 10:0.6332, 20:0.2901
test err 1:0.2692, 3:0.3788, 5:0.4103, 10:0.4234, 20:0.2230
test ndcg 1:0.4423, 3:0.4757, 5:0.5446, 10:0.6277, 20:0.2843
test err 1:0.2548, 3:0.3689, 5:0.4018, 10:0.4148, 20:0.2109
test ndcg 1:0.3846, 3:0.4324, 5:0.5007, 10:0.5900, 20:0.2564
test err 1:0.2115, 3:0.3342, 5:0.3682, 10:0.3848, 20:0.1875
test ndcg 1:0.3974, 3:0.4245, 5:0.4851, 10:0.5970, 20:0.2582
test err 1:0.2115, 3:0.3232, 5:0.3532, 10:0.3749, 20:0.1805
test ndcg 1:0.3718, 3:0.4072, 5:0.4660, 10:0.5615, 20:0.2442
test err 1:0.2019, 3:0.3158, 5:0.3459, 10:0.3646, 20:0.1750
test ndcg 1:0.4359, 3:0.4361, 5:0.4987, 10:0.5973, 20:0.2571
test err 1:0.2500, 3:0.3512, 5:0.3857, 10:0.4013, 20:0.1982
test ndcg 1:0.4615, 3:0.4930, 5:0.5461, 10:0.6213, 20:0.2862
test err 1:0.2692, 3:0.3879, 5:0.4142, 10:0.4261, 20:0.2230
test ndcg 1:0.4359, 3:0.4693, 5:0.5147, 10:0.5958, 20:0.2594
test err 1:0.2500, 3:0.3699, 5:0.3942, 10:0.4070, 20:0.2046
test ndcg 1:0.4487, 3:0.4879, 5:0.5276, 10:0.6067, 20:0.2666
test err 1:0.2596, 3:0.3844, 5:0.4060, 10:0.4190, 20:0.2081
test ndcg 1:0.4487, 3:0.4825, 5:0.5362, 10:0.6229, 20:0.2811
test err 1:0.2692, 3:0.3867, 5:0.4134, 10:0.4288, 20:0.2169
test ndcg 1:0.4487, 3:0.4836, 5:0.5407, 10:0.6152, 20:0.2599
test err 1:0.2692, 3:0.3910, 5:0.4167, 10:0.4291, 20:0.1994
test ndcg 1:0.4487, 3:0.4876, 5:0.5258, 10:0.6203, 20:0.2712
test err 1:0.2596, 3:0.3850, 5:0.4078, 10:0.4221, 20:0.2105
test ndcg 1:0.4295, 3:0.4400, 5:0.4986, 10:0.6125, 20:0.2555
test err 1:0.2356, 3:0.3422, 5:0.3794, 10:0.3950, 20:0.1881
test ndcg 1:0.4551, 3:0.4823, 5:0.5506, 10:0.6403, 20:0.2834
test err 1:0.2644, 3:0.3756, 5:0.4104, 10:0.4239, 20:0.2184
test ndcg 1:0.4295, 3:0.4649, 5:0.5349, 10:0.6300, 20:0.2819
test err 1:0.2644, 3:0.3813, 5:0.4123, 10:0.4263, 20:0.2196
test ndcg 1:0.4359, 3:0.4753, 5:0.5137, 10:0.6031, 20:0.2671
test err 1:0.2596, 3:0.3795, 5:0.4025, 10:0.4170, 20:0.2063
test ndcg 1:0.4808, 3:0.4963, 5:0.5409, 10:0.6401, 20:0.2717
test err 1:0.2933, 3:0.4010, 5:0.4265, 10:0.4424, 20:0.2073
test ndcg 1:0.4423, 3:0.5006, 5:0.5466, 10:0.6348, 20:0.2818
test err 1:0.2644, 3:0.3908, 5:0.4172, 10:0.4301, 20:0.2178
test ndcg 1:0.4808, 3:0.5126, 5:0.5527, 10:0.6258, 20:0.2659
test err 1:0.2837, 3:0.3996, 5:0.4216, 10:0.4349, 20:0.2035
test ndcg 1:0.4423, 3:0.4883, 5:0.5337, 10:0.6195, 20:0.2680
test err 1:0.2548, 3:0.3825, 5:0.4053, 10:0.4189, 20:0.2010
test ndcg 1:0.4744, 3:0.5051, 5:0.5457, 10:0.6284, 20:0.2693
test err 1:0.2788, 3:0.4001, 5:0.4213, 10:0.4368, 20:0.2024
test ndcg 1:0.4423, 3:0.4893, 5:0.5432, 10:0.6299, 20:0.2803
test err 1:0.2644, 3:0.3915, 5:0.4163, 10:0.4313, 20:0.2174
test ndcg 1:0.4551, 3:0.4777, 5:0.5136, 10:0.6127, 20:0.2665
test err 1:0.2644, 3:0.3772, 5:0.4019, 10:0.4173, 20:0.2090
test ndcg 1:0.4808, 3:0.4742, 5:0.5355, 10:0.6228, 20:0.2726
test err 1:0.2837, 3:0.3792, 5:0.4121, 10:0.4264, 20:0.2068
test ndcg 1:0.4936, 3:0.5287, 5:0.5474, 10:0.6421, 20:0.2827
test err 1:0.2933, 3:0.4089, 5:0.4287, 10:0.4442, 20:0.2170
test ndcg 1:0.4744, 3:0.5069, 5:0.5470, 10:0.6389, 20:0.2776
test err 1:0.2788, 3:0.3963, 5:0.4219, 10:0.4369, 20:0.2077
test ndcg 1:0.4679, 3:0.4948, 5:0.5343, 10:0.6293, 20:0.2767
test err 1:0.2837, 3:0.3948, 5:0.4201, 10:0.4356, 20:0.2121
test ndcg 1:0.4359, 3:0.4728, 5:0.5222, 10:0.6149, 20:0.2686
test err 1:0.2692, 3:0.3852, 5:0.4101, 10:0.4270, 20:0.2017
test ndcg 1:0.4808, 3:0.4673, 5:0.5228, 10:0.6127, 20:0.2653
test err 1:0.2933, 3:0.3943, 5:0.4214, 10:0.4363, 20:0.2025
****************************************************************************************************
finish! Fold 1 ndcg 1:0.4936	3:0.5287	5:0.5474	10:0.6421	20:0.2827
finish! Fold 1 err 1:0.2933	3:0.4089	5:0.4287	10:0.4442	20:0.2170
**************************************************Fold-2**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.5, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3533, 3:0.3577, 5:0.3842, 10:0.4451, 20:0.2838
test err 1:0.2450, 3:0.3141, 5:0.3383, 10:0.3557, 20:0.2074
test ndcg 1:0.3133, 3:0.3373, 5:0.3662, 10:0.4383, 20:0.2833
test err 1:0.2150, 3:0.2924, 5:0.3190, 10:0.3381, 20:0.1987
test ndcg 1:0.2867, 3:0.3317, 5:0.3676, 10:0.4574, 20:0.3001
test err 1:0.1950, 3:0.2811, 5:0.3115, 10:0.3337, 20:0.2009
test ndcg 1:0.2667, 3:0.3289, 5:0.3769, 10:0.4687, 20:0.3126
test err 1:0.1800, 3:0.2800, 5:0.3123, 10:0.3326, 20:0.2071
test ndcg 1:0.3600, 3:0.3591, 5:0.4008, 10:0.4973, 20:0.3269
