**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.1, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4552, 3:0.4444, 5:0.4435, 10:0.4855, 20:0.5596
test err 1:0.2155, 3:0.2999, 5:0.3275, 10:0.3502, 20:0.3584
test ndcg 1:0.4448, 3:0.4524, 5:0.4625, 10:0.5025, 20:0.5697
test err 1:0.2043, 3:0.2971, 5:0.3245, 10:0.3472, 20:0.3550
test ndcg 1:0.3632, 3:0.3865, 5:0.4028, 10:0.4391, 20:0.5207
test err 1:0.1707, 3:0.2648, 5:0.2927, 10:0.3151, 20:0.3242
test ndcg 1:0.3943, 3:0.3892, 5:0.4083, 10:0.4567, 20:0.5322
test err 1:0.1836, 3:0.2685, 5:0.2996, 10:0.3236, 20:0.3322
test ndcg 1:0.4690, 3:0.4324, 5:0.4414, 10:0.4795, 20:0.5407
test err 1:0.2207, 3:0.2952, 5:0.3231, 10:0.3470, 20:0.3544
test ndcg 1:0.4897, 3:0.4599, 5:0.4654, 10:0.5040, 20:0.5672
test err 1:0.2328, 3:0.3080, 5:0.3360, 10:0.3608, 20:0.3682
test ndcg 1:0.4805, 3:0.4494, 5:0.4534, 10:0.4942, 20:0.5588
test err 1:0.2241, 3:0.3030, 5:0.3301, 10:0.3542, 20:0.3617
test ndcg 1:0.3736, 3:0.3849, 5:0.4050, 10:0.4486, 20:0.5252
test err 1:0.1784, 3:0.2638, 5:0.2931, 10:0.3175, 20:0.3266
test ndcg 1:0.4103, 3:0.4289, 5:0.4409, 10:0.4706, 20:0.5417
test err 1:0.1991, 3:0.2950, 5:0.3204, 10:0.3408, 20:0.3500
test ndcg 1:0.4621, 3:0.4451, 5:0.4572, 10:0.4878, 20:0.5551
test err 1:0.2172, 3:0.3046, 5:0.3324, 10:0.3524, 20:0.3614
test ndcg 1:0.4276, 3:0.4283, 5:0.4382, 10:0.4760, 20:0.5419
