**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.3, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3782, 3:0.4618, 5:0.4885, 10:0.5692, 20:0.2276
test err 1:0.2163, 3:0.3341, 5:0.3579, 10:0.3714, 20:0.1514
test ndcg 1:0.3077, 3:0.4321, 5:0.4829, 10:0.5723, 20:0.2374
test err 1:0.1731, 3:0.3193, 5:0.3486, 10:0.3643, 20:0.1567
test ndcg 1:0.3846, 3:0.4535, 5:0.5176, 10:0.6109, 20:0.2650
test err 1:0.2308, 3:0.3533, 5:0.3831, 10:0.4000, 20:0.1940
test ndcg 1:0.4038, 3:0.4875, 5:0.5257, 10:0.6151, 20:0.2676
test err 1:0.2356, 3:0.3635, 5:0.3894, 10:0.4025, 20:0.1934
test ndcg 1:0.4167, 3:0.5081, 5:0.5345, 10:0.6264, 20:0.2646
test err 1:0.2548, 3:0.3788, 5:0.3992, 10:0.4141, 20:0.1970
test ndcg 1:0.4359, 3:0.4379, 5:0.5170, 10:0.6054, 20:0.2634
test err 1:0.2596, 3:0.3576, 5:0.3940, 10:0.4089, 20:0.1904
test ndcg 1:0.4038, 3:0.4834, 5:0.5298, 10:0.6133, 20:0.2605
test err 1:0.2260, 3:0.3535, 5:0.3868, 10:0.3990, 20:0.1874
test ndcg 1:0.4551, 3:0.5002, 5:0.5407, 10:0.6246, 20:0.2634
test err 1:0.2548, 3:0.3714, 5:0.4025, 10:0.4149, 20:0.1962
test ndcg 1:0.4487, 3:0.4871, 5:0.5436, 10:0.6257, 20:0.2704
test err 1:0.2500, 3:0.3655, 5:0.4006, 10:0.4117, 20:0.2009
test ndcg 1:0.4744, 3:0.4875, 5:0.5327, 10:0.6273, 20:0.2671
test err 1:0.2692, 3:0.3659, 5:0.4009, 10:0.4157, 20:0.2019
test ndcg 1:0.4551, 3:0.4943, 5:0.5351, 10:0.6225, 20:0.2668
test err 1:0.2548, 3:0.3691, 5:0.3975, 10:0.4105, 20:0.1975
test ndcg 1:0.4679, 3:0.5018, 5:0.5348, 10:0.6298, 20:0.2657
test err 1:0.2644, 3:0.3765, 5:0.4039, 10:0.4189, 20:0.2031
test ndcg 1:0.4615, 3:0.5096, 5:0.5359, 10:0.6313, 20:0.2693
test err 1:0.2596, 3:0.3773, 5:0.4008, 10:0.4160, 20:0.2025
test ndcg 1:0.4359, 3:0.5030, 5:0.5343, 10:0.6277, 20:0.2786
test err 1:0.2596, 3:0.3747, 5:0.4012, 10:0.4163, 20:0.2059
test ndcg 1:0.4487, 3:0.4599, 5:0.5270, 10:0.6250, 20:0.2638
test err 1:0.2500, 3:0.3537, 5:0.3914, 10:0.4054, 20:0.1942
test ndcg 1:0.4423, 3:0.4978, 5:0.5412, 10:0.6276, 20:0.2805
test err 1:0.2548, 3:0.3785, 5:0.4031, 10:0.4167, 20:0.2092
test ndcg 1:0.3397, 3:0.3904, 5:0.4530, 10:0.5597, 20:0.2409
test err 1:0.1971, 3:0.3055, 5:0.3374, 10:0.3563, 20:0.1657
test ndcg 1:0.4167, 3:0.4404, 5:0.4890, 10:0.5954, 20:0.2562
test err 1:0.2356, 3:0.3332, 5:0.3649, 10:0.3846, 20:0.1796
test ndcg 1:0.4295, 3:0.4786, 5:0.5418, 10:0.6312, 20:0.2754
test err 1:0.2548, 3:0.3629, 5:0.3996, 10:0.4130, 20:0.2058
test ndcg 1:0.4167, 3:0.4602, 5:0.5345, 10:0.6171, 20:0.2716
test err 1:0.2452, 3:0.3600, 5:0.3951, 10:0.4081, 20:0.2002
test ndcg 1:0.4423, 3:0.4751, 5:0.5533, 10:0.6213, 20:0.2804
test err 1:0.2644, 3:0.3760, 5:0.4092, 10:0.4185, 20:0.2088
test ndcg 1:0.4038, 3:0.4750, 5:0.5323, 10:0.6197, 20:0.2703
test err 1:0.2356, 3:0.3618, 5:0.3906, 10:0.4044, 20:0.1954
test ndcg 1:0.4231, 3:0.4429, 5:0.4910, 10:0.6042, 20:0.2643
test err 1:0.2308, 3:0.3368, 5:0.3677, 10:0.3885, 20:0.1862
test ndcg 1:0.4038, 3:0.4510, 5:0.5038, 10:0.5969, 20:0.2656
test err 1:0.2260, 3:0.3323, 5:0.3682, 10:0.3848, 20:0.1862
test ndcg 1:0.4231, 3:0.4685, 5:0.5280, 10:0.6244, 20:0.2742
test err 1:0.2404, 3:0.3638, 5:0.3918, 10:0.4084, 20:0.1998
test ndcg 1:0.4295, 3:0.4903, 5:0.5511, 10:0.6326, 20:0.2797
test err 1:0.2548, 3:0.3814, 5:0.4043, 10:0.4213, 20:0.2022
test ndcg 1:0.3077, 3:0.3853, 5:0.4338, 10:0.5509, 20:0.2216
test err 1:0.1827, 3:0.2926, 5:0.3212, 10:0.3439, 20:0.1471
test ndcg 1:0.4551, 3:0.4757, 5:0.5476, 10:0.6314, 20:0.2696
test err 1:0.2644, 3:0.3744, 5:0.4068, 10:0.4213, 20:0.1938
test ndcg 1:0.4295, 3:0.4640, 5:0.5406, 10:0.6319, 20:0.2779
