**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.2, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2564, 3:0.3230, 5:0.3833, 10:0.4507, 20:0.1609
test err 1:0.1442, 3:0.2450, 5:0.2816, 10:0.2951, 20:0.1110
test ndcg 1:0.4359, 3:0.4404, 5:0.5001, 10:0.5954, 20:0.2532
test err 1:0.2404, 3:0.3346, 5:0.3624, 10:0.3844, 20:0.1769
test ndcg 1:0.4103, 3:0.4493, 5:0.5132, 10:0.6102, 20:0.2617
test err 1:0.2404, 3:0.3484, 5:0.3825, 10:0.3992, 20:0.1832
test ndcg 1:0.3846, 3:0.4353, 5:0.4843, 10:0.5827, 20:0.2492
test err 1:0.2308, 3:0.3462, 5:0.3710, 10:0.3921, 20:0.1767
test ndcg 1:0.4103, 3:0.4560, 5:0.5009, 10:0.5816, 20:0.2575
test err 1:0.2404, 3:0.3544, 5:0.3814, 10:0.3993, 20:0.1818
test ndcg 1:0.4231, 3:0.4409, 5:0.5081, 10:0.6066, 20:0.2660
test err 1:0.2500, 3:0.3544, 5:0.3864, 10:0.4042, 20:0.1919
test ndcg 1:0.4359, 3:0.4631, 5:0.5100, 10:0.6048, 20:0.2664
test err 1:0.2596, 3:0.3661, 5:0.3937, 10:0.4117, 20:0.1938
test ndcg 1:0.4038, 3:0.4193, 5:0.4704, 10:0.5901, 20:0.2561
test err 1:0.2452, 3:0.3345, 5:0.3664, 10:0.3904, 20:0.1789
test ndcg 1:0.4167, 3:0.4547, 5:0.5089, 10:0.6136, 20:0.2716
test err 1:0.2452, 3:0.3473, 5:0.3816, 10:0.3999, 20:0.1961
test ndcg 1:0.3846, 3:0.4170, 5:0.4522, 10:0.5299, 20:0.2284
test err 1:0.2212, 3:0.3236, 5:0.3485, 10:0.3660, 20:0.1624
test ndcg 1:0.4295, 3:0.4675, 5:0.4961, 10:0.5939, 20:0.2564
test err 1:0.2452, 3:0.3525, 5:0.3794, 10:0.3955, 20:0.1799
test ndcg 1:0.4487, 3:0.4832, 5:0.5048, 10:0.6179, 20:0.2714
test err 1:0.2500, 3:0.3565, 5:0.3860, 10:0.4057, 20:0.1856
test ndcg 1:0.3910, 3:0.4475, 5:0.5057, 10:0.6015, 20:0.2643
test err 1:0.2260, 3:0.3407, 5:0.3778, 10:0.3918, 20:0.1820
test ndcg 1:0.4038, 3:0.4702, 5:0.5008, 10:0.6074, 20:0.2608
