**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.2, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3851, 3:0.3821, 5:0.3858, 10:0.4155, 20:0.4887
test err 1:0.1853, 3:0.2656, 5:0.2922, 10:0.3127, 20:0.3226
test ndcg 1:0.4391, 3:0.4100, 5:0.4164, 10:0.4437, 20:0.5151
test err 1:0.2103, 3:0.2866, 5:0.3122, 10:0.3334, 20:0.3432
test ndcg 1:0.4391, 3:0.4295, 5:0.4303, 10:0.4520, 20:0.5277
test err 1:0.2103, 3:0.2932, 5:0.3190, 10:0.3383, 20:0.3481
test ndcg 1:0.4632, 3:0.4252, 5:0.4372, 10:0.4638, 20:0.5333
test err 1:0.2147, 3:0.2923, 5:0.3205, 10:0.3427, 20:0.3512
test ndcg 1:0.4678, 3:0.4398, 5:0.4488, 10:0.4724, 20:0.5430
test err 1:0.2216, 3:0.3011, 5:0.3277, 10:0.3486, 20:0.3574
test ndcg 1:0.4667, 3:0.4560, 5:0.4537, 10:0.4839, 20:0.5471
test err 1:0.2241, 3:0.3086, 5:0.3338, 10:0.3544, 20:0.3627
test ndcg 1:0.4345, 3:0.4147, 5:0.4197, 10:0.4569, 20:0.5247
test err 1:0.2052, 3:0.2837, 5:0.3115, 10:0.3334, 20:0.3421
test ndcg 1:0.4805, 3:0.4720, 5:0.4786, 10:0.5044, 20:0.5724
test err 1:0.2310, 3:0.3169, 5:0.3443, 10:0.3641, 20:0.3727
test ndcg 1:0.4977, 3:0.4755, 5:0.4793, 10:0.5102, 20:0.5717
test err 1:0.2405, 3:0.3249, 5:0.3515, 10:0.3728, 20:0.3805
test ndcg 1:0.4954, 3:0.4697, 5:0.4830, 10:0.5119, 20:0.5755
test err 1:0.2405, 3:0.3219, 5:0.3527, 10:0.3723, 20:0.3803
test ndcg 1:0.4747, 3:0.4581, 5:0.4694, 10:0.4964, 20:0.5596
test err 1:0.2319, 3:0.3150, 5:0.3438, 10:0.3625, 20:0.3711
test ndcg 1:0.4575, 3:0.4333, 5:0.4469, 10:0.4771, 20:0.5529
test err 1:0.2138, 3:0.3009, 5:0.3284, 10:0.3493, 20:0.3580
test ndcg 1:0.4540, 3:0.4555, 5:0.4686, 10:0.5064, 20:0.5714
test err 1:0.2164, 3:0.3107, 5:0.3376, 10:0.3594, 20:0.3671
test ndcg 1:0.4908, 3:0.4897, 5:0.4963, 10:0.5240, 20:0.5872
