**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.2, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4529, 3:0.4335, 5:0.4533, 10:0.4805, 20:0.5555
test err 1:0.2172, 3:0.3001, 5:0.3291, 10:0.3494, 20:0.3580
test ndcg 1:0.3759, 3:0.3927, 5:0.4113, 10:0.4387, 20:0.5049
test err 1:0.1698, 3:0.2572, 5:0.2874, 10:0.3079, 20:0.3169
test ndcg 1:0.4230, 3:0.4293, 5:0.4525, 10:0.4944, 20:0.5519
test err 1:0.1966, 3:0.2885, 5:0.3200, 10:0.3420, 20:0.3491
test ndcg 1:0.4184, 3:0.4427, 5:0.4467, 10:0.4853, 20:0.5475
test err 1:0.2000, 3:0.2984, 5:0.3239, 10:0.3455, 20:0.3533
test ndcg 1:0.4092, 3:0.4297, 5:0.4378, 10:0.4725, 20:0.5345
test err 1:0.1948, 3:0.2933, 5:0.3193, 10:0.3402, 20:0.3478
test ndcg 1:0.4816, 3:0.4572, 5:0.4609, 10:0.4971, 20:0.5593
test err 1:0.2284, 3:0.3156, 5:0.3412, 10:0.3629, 20:0.3711
test ndcg 1:0.4483, 3:0.4385, 5:0.4396, 10:0.4725, 20:0.5399
test err 1:0.2155, 3:0.3038, 5:0.3273, 10:0.3486, 20:0.3581
test ndcg 1:0.4414, 3:0.4432, 5:0.4452, 10:0.4824, 20:0.5471
test err 1:0.2121, 3:0.3029, 5:0.3287, 10:0.3500, 20:0.3584
test ndcg 1:0.4149, 3:0.4133, 5:0.4264, 10:0.4716, 20:0.5322
test err 1:0.1991, 3:0.2868, 5:0.3146, 10:0.3363, 20:0.3438
test ndcg 1:0.4092, 3:0.4157, 5:0.4301, 10:0.4630, 20:0.5291
test err 1:0.1879, 3:0.2796, 5:0.3090, 10:0.3303, 20:0.3383
test ndcg 1:0.2448, 3:0.2888, 5:0.2965, 10:0.3282, 20:0.3844
test err 1:0.1060, 3:0.1882, 5:0.2155, 10:0.2371, 20:0.2460
test ndcg 1:0.3759, 3:0.3989, 5:0.4099, 10:0.4385, 20:0.5101
test err 1:0.1716, 3:0.2667, 5:0.2959, 10:0.3167, 20:0.3254
test ndcg 1:0.4172, 3:0.4399, 5:0.4520, 10:0.4895, 20:0.5531
test err 1:0.1974, 3:0.2941, 5:0.3213, 10:0.3419, 20:0.3502
test ndcg 1:0.4471, 3:0.4387, 5:0.4588, 10:0.4923, 20:0.5541
test err 1:0.2043, 3:0.2923, 5:0.3237, 10:0.3452, 20:0.3525
test ndcg 1:0.4391, 3:0.4341, 5:0.4577, 10:0.4892, 20:0.5580
test err 1:0.2034, 3:0.2922, 5:0.3235, 10:0.3455, 20:0.3533
test ndcg 1:0.4391, 3:0.4361, 5:0.4575, 10:0.4991, 20:0.5628
test err 1:0.2017, 3:0.2916, 5:0.3227, 10:0.3453, 20:0.3525
test ndcg 1:0.4115, 3:0.4302, 5:0.4446, 10:0.4819, 20:0.5442
test err 1:0.1948, 3:0.2876, 5:0.3168, 10:0.3383, 20:0.3463
test ndcg 1:0.4575, 3:0.4493, 5:0.4711, 10:0.5127, 20:0.5736
test err 1:0.2103, 3:0.2978, 5:0.3311, 10:0.3532, 20:0.3598
test ndcg 1:0.4563, 3:0.4543, 5:0.4713, 10:0.5133, 20:0.5730
test err 1:0.2112, 3:0.3010, 5:0.3325, 10:0.3552, 20:0.3619
test ndcg 1:0.4851, 3:0.4699, 5:0.4818, 10:0.5162, 20:0.5758
test err 1:0.2379, 3:0.3204, 5:0.3475, 10:0.3694, 20:0.3769
test ndcg 1:0.4402, 3:0.4566, 5:0.4740, 10:0.5135, 20:0.5760
test err 1:0.2009, 3:0.3013, 5:0.3300, 10:0.3517, 20:0.3588
test ndcg 1:0.4828, 3:0.4860, 5:0.5019, 10:0.5270, 20:0.5863
test err 1:0.2310, 3:0.3254, 5:0.3529, 10:0.3730, 20:0.3802
test ndcg 1:0.4920, 3:0.4790, 5:0.4912, 10:0.5270, 20:0.5867
test err 1:0.2397, 3:0.3253, 5:0.3540, 10:0.3748, 20:0.3823
test ndcg 1:0.4506, 3:0.4751, 5:0.4865, 10:0.5175, 20:0.5833
test err 1:0.2086, 3:0.3099, 5:0.3375, 10:0.3592, 20:0.3663
test ndcg 1:0.4632, 3:0.4722, 5:0.4787, 10:0.5174, 20:0.5757
test err 1:0.2233, 3:0.3168, 5:0.3424, 10:0.3636, 20:0.3713
test ndcg 1:0.4632, 3:0.4665, 5:0.4686, 10:0.4936, 20:0.5596
test err 1:0.2267, 3:0.3179, 5:0.3435, 10:0.3626, 20:0.3711
test ndcg 1:0.4759, 3:0.4777, 5:0.4890, 10:0.5177, 20:0.5781
test err 1:0.2345, 3:0.3261, 5:0.3528, 10:0.3717, 20:0.3798
test ndcg 1:0.4851, 3:0.4818, 5:0.4954, 10:0.5202, 20:0.5836
test err 1:0.2310, 3:0.3241, 5:0.3521, 10:0.3705, 20:0.3783
test ndcg 1:0.4965, 3:0.4994, 5:0.5116, 10:0.5328, 20:0.5941
test err 1:0.2414, 3:0.3367, 5:0.3641, 10:0.3821, 20:0.3899
test ndcg 1:0.4471, 3:0.4562, 5:0.4718, 10:0.5017, 20:0.5689
test err 1:0.2078, 3:0.2976, 5:0.3282, 10:0.3497, 20:0.3574
test ndcg 1:0.5103, 3:0.4905, 5:0.5009, 10:0.5282, 20:0.5899
test err 1:0.2379, 3:0.3301, 5:0.3564, 10:0.3772, 20:0.3841
test ndcg 1:0.4897, 3:0.4747, 5:0.4860, 10:0.5166, 20:0.5814
test err 1:0.2362, 3:0.3224, 5:0.3506, 10:0.3712, 20:0.3790
test ndcg 1:0.4575, 3:0.4551, 5:0.4743, 10:0.5082, 20:0.5760
test err 1:0.2207, 3:0.3098, 5:0.3403, 10:0.3606, 20:0.3682
test ndcg 1:0.4851, 3:0.4758, 5:0.4883, 10:0.5198, 20:0.5839
test err 1:0.2328, 3:0.3203, 5:0.3492, 10:0.3697, 20:0.3771
test ndcg 1:0.4724, 3:0.4671, 5:0.4843, 10:0.5187, 20:0.5814
test err 1:0.2216, 3:0.3124, 5:0.3443, 10:0.3651, 20:0.3717
test ndcg 1:0.4667, 3:0.4736, 5:0.4868, 10:0.5176, 20:0.5831
test err 1:0.2259, 3:0.3182, 5:0.3473, 10:0.3676, 20:0.3748
test ndcg 1:0.4851, 3:0.4750, 5:0.4759, 10:0.5081, 20:0.5725
test err 1:0.2345, 3:0.3220, 5:0.3479, 10:0.3682, 20:0.3766
test ndcg 1:0.4839, 3:0.4744, 5:0.4810, 10:0.5110, 20:0.5756
test err 1:0.2336, 3:0.3189, 5:0.3457, 10:0.3667, 20:0.3748
test ndcg 1:0.4931, 3:0.4759, 5:0.4888, 10:0.5175, 20:0.5834
test err 1:0.2336, 3:0.3199, 5:0.3502, 10:0.3717, 20:0.3789
test ndcg 1:0.4828, 3:0.4786, 5:0.4898, 10:0.5215, 20:0.5843
test err 1:0.2172, 3:0.3158, 5:0.3429, 10:0.3643, 20:0.3714
test ndcg 1:0.4885, 3:0.4809, 5:0.4887, 10:0.5165, 20:0.5756
test err 1:0.2371, 3:0.3247, 5:0.3532, 10:0.3728, 20:0.3803
test ndcg 1:0.4552, 3:0.4634, 5:0.4721, 10:0.5003, 20:0.5652
test err 1:0.2190, 3:0.3108, 5:0.3379, 10:0.3572, 20:0.3657
test ndcg 1:0.4839, 3:0.4881, 5:0.5003, 10:0.5295, 20:0.5899
test err 1:0.2353, 3:0.3279, 5:0.3560, 10:0.3764, 20:0.3834
test ndcg 1:0.4965, 3:0.4940, 5:0.4996, 10:0.5336, 20:0.5924
test err 1:0.2414, 3:0.3337, 5:0.3593, 10:0.3796, 20:0.3869
test ndcg 1:0.4839, 3:0.4780, 5:0.4962, 10:0.5218, 20:0.5771
test err 1:0.2353, 3:0.3255, 5:0.3560, 10:0.3753, 20:0.3823
test ndcg 1:0.4897, 3:0.4896, 5:0.4921, 10:0.5244, 20:0.5804
test err 1:0.2379, 3:0.3335, 5:0.3568, 10:0.3778, 20:0.3851
test ndcg 1:0.4965, 3:0.4933, 5:0.5012, 10:0.5279, 20:0.5881
test err 1:0.2397, 3:0.3308, 5:0.3581, 10:0.3777, 20:0.3856
test ndcg 1:0.5034, 3:0.5041, 5:0.5029, 10:0.5432, 20:0.5980
test err 1:0.2414, 3:0.3380, 5:0.3609, 10:0.3828, 20:0.3896
test ndcg 1:0.4667, 3:0.4562, 5:0.4651, 10:0.4902, 20:0.5588
test err 1:0.2276, 3:0.3145, 5:0.3405, 10:0.3600, 20:0.3691
test ndcg 1:0.4793, 3:0.4759, 5:0.4816, 10:0.5115, 20:0.5781
test err 1:0.2353, 3:0.3238, 5:0.3515, 10:0.3697, 20:0.3781
****************************************************************************************************
finish! Fold 1 ndcg 1:0.5034	3:0.5041	5:0.5029	10:0.5432	20:0.5980
finish! Fold 1 err 1:0.2414	3:0.3380	5:0.3609	10:0.3828	20:0.3896
finish! mean ndcg 1:0.5034	3:0.5041	5:0.5029	10:0.5432	20:0.5980
finish! mean err 1:0.2414	3:0.3380	5:0.3609	10:0.3828	20:0.3896
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.2, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
