**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.5, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4747, 3:0.4528, 5:0.4654, 10:0.5005, 20:0.5644
test err 1:0.2233, 3:0.3026, 5:0.3335, 10:0.3547, 20:0.3626
test ndcg 1:0.4046, 3:0.4049, 5:0.4182, 10:0.4592, 20:0.5375
test err 1:0.1845, 3:0.2716, 5:0.3004, 10:0.3239, 20:0.3330
test ndcg 1:0.4437, 3:0.4537, 5:0.4701, 10:0.5049, 20:0.5716
test err 1:0.2069, 3:0.3027, 5:0.3319, 10:0.3524, 20:0.3603
test ndcg 1:0.4931, 3:0.4617, 5:0.4812, 10:0.5103, 20:0.5750
test err 1:0.2371, 3:0.3136, 5:0.3457, 10:0.3663, 20:0.3740
test ndcg 1:0.4954, 3:0.4686, 5:0.4784, 10:0.5104, 20:0.5714
test err 1:0.2422, 3:0.3182, 5:0.3472, 10:0.3681, 20:0.3761
test ndcg 1:0.4655, 3:0.4546, 5:0.4660, 10:0.4878, 20:0.5609
test err 1:0.2216, 3:0.3052, 5:0.3355, 10:0.3544, 20:0.3638
test ndcg 1:0.5046, 3:0.4843, 5:0.4967, 10:0.5179, 20:0.5833
test err 1:0.2422, 3:0.3270, 5:0.3567, 10:0.3746, 20:0.3827
test ndcg 1:0.4908, 3:0.4776, 5:0.4875, 10:0.5095, 20:0.5729
test err 1:0.2371, 3:0.3239, 5:0.3512, 10:0.3706, 20:0.3785
test ndcg 1:0.4816, 3:0.4853, 5:0.4976, 10:0.5200, 20:0.5812
test err 1:0.2319, 3:0.3268, 5:0.3539, 10:0.3729, 20:0.3804
