**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4423, 3:0.4608, 5:0.5287, 10:0.6307, 20:0.2784
test err 1:0.2548, 3:0.3688, 5:0.3998, 10:0.4151, 20:0.2111
test ndcg 1:0.3910, 3:0.4229, 5:0.5135, 10:0.6153, 20:0.2658
test err 1:0.2260, 3:0.3396, 5:0.3808, 10:0.3948, 20:0.1838
test ndcg 1:0.4487, 3:0.4604, 5:0.5072, 10:0.6264, 20:0.2664
test err 1:0.2596, 3:0.3614, 5:0.3930, 10:0.4112, 20:0.1926
test ndcg 1:0.4295, 3:0.4803, 5:0.5276, 10:0.6149, 20:0.2605
test err 1:0.2452, 3:0.3688, 5:0.3937, 10:0.4089, 20:0.1920
test ndcg 1:0.4103, 3:0.4852, 5:0.5374, 10:0.6364, 20:0.2800
test err 1:0.2308, 3:0.3659, 5:0.3965, 10:0.4096, 20:0.2088
test ndcg 1:0.4423, 3:0.4684, 5:0.5098, 10:0.6225, 20:0.2698
test err 1:0.2452, 3:0.3617, 5:0.3875, 10:0.4057, 20:0.2042
test ndcg 1:0.4103, 3:0.4501, 5:0.5155, 10:0.6243, 20:0.2745
test err 1:0.2308, 3:0.3461, 5:0.3816, 10:0.4001, 20:0.2044
test ndcg 1:0.4551, 3:0.4644, 5:0.5314, 10:0.6354, 20:0.2758
test err 1:0.2644, 3:0.3744, 5:0.4042, 10:0.4201, 20:0.2050
test ndcg 1:0.4487, 3:0.4438, 5:0.4777, 10:0.6099, 20:0.2481
test err 1:0.2500, 3:0.3565, 5:0.3806, 10:0.4031, 20:0.1811
test ndcg 1:0.4231, 3:0.4365, 5:0.4743, 10:0.5834, 20:0.2439
test err 1:0.2308, 3:0.3407, 5:0.3644, 10:0.3851, 20:0.1797
test ndcg 1:0.4295, 3:0.4239, 5:0.4854, 10:0.5936, 20:0.2457
test err 1:0.2356, 3:0.3445, 5:0.3733, 10:0.3909, 20:0.1831
test ndcg 1:0.4744, 3:0.4917, 5:0.5485, 10:0.6433, 20:0.2819
test err 1:0.2788, 3:0.3855, 5:0.4158, 10:0.4305, 20:0.2144
test ndcg 1:0.4487, 3:0.4772, 5:0.5321, 10:0.6355, 20:0.2749
test err 1:0.2596, 3:0.3745, 5:0.4040, 10:0.4203, 20:0.2099
test ndcg 1:0.4231, 3:0.4435, 5:0.5050, 10:0.6152, 20:0.2595
test err 1:0.2404, 3:0.3487, 5:0.3790, 10:0.3970, 20:0.1919
test ndcg 1:0.4487, 3:0.4631, 5:0.5266, 10:0.6181, 20:0.2603
test err 1:0.2692, 3:0.3770, 5:0.4061, 10:0.4220, 20:0.1965
test ndcg 1:0.4487, 3:0.4807, 5:0.5346, 10:0.6267, 20:0.2825
test err 1:0.2692, 3:0.3785, 5:0.4080, 10:0.4219, 20:0.2180
****************************************************************************************************
finish! Fold 1 ndcg 1:0.4551	3:0.5199	5:0.5554	10:0.6485	20:0.2805
finish! Fold 1 err 1:0.2548	3:0.3821	5:0.4077	10:0.4209	20:0.2084
**************************************************Fold-2**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3800, 3:0.3957, 5:0.4122, 10:0.4974, 20:0.3220
test err 1:0.2550, 3:0.3439, 5:0.3634, 10:0.3864, 20:0.2392
test ndcg 1:0.3467, 3:0.3627, 5:0.3852, 10:0.4664, 20:0.3087
test err 1:0.2300, 3:0.3146, 5:0.3350, 10:0.3583, 20:0.2134
test ndcg 1:0.3067, 3:0.3365, 5:0.3787, 10:0.4638, 20:0.3078
test err 1:0.2000, 3:0.2889, 5:0.3126, 10:0.3330, 20:0.1951
test ndcg 1:0.3000, 3:0.3246, 5:0.3778, 10:0.4583, 20:0.3031
test err 1:0.1950, 3:0.2834, 5:0.3137, 10:0.3330, 20:0.2016
test ndcg 1:0.2600, 3:0.3217, 5:0.3760, 10:0.4657, 20:0.3043
test err 1:0.1750, 3:0.2758, 5:0.3012, 10:0.3259, 20:0.1922
test ndcg 1:0.3133, 3:0.3232, 5:0.3830, 10:0.4576, 20:0.3064
test err 1:0.2150, 3:0.2894, 5:0.3234, 10:0.3437, 20:0.2143
test ndcg 1:0.3400, 3:0.3933, 5:0.4284, 10:0.5140, 20:0.3412
test err 1:0.2250, 3:0.3495, 5:0.3740, 10:0.3899, 20:0.2572
test ndcg 1:0.3600, 3:0.4180, 5:0.4404, 10:0.5122, 20:0.3450
test err 1:0.2400, 3:0.3648, 5:0.3831, 10:0.3970, 20:0.2638
test ndcg 1:0.3133, 3:0.3480, 5:0.3971, 10:0.4945, 20:0.3290
test err 1:0.2050, 3:0.2948, 5:0.3307, 10:0.3522, 20:0.2218
test ndcg 1:0.3333, 3:0.3576, 5:0.4221, 10:0.5020, 20:0.3384
test err 1:0.2100, 3:0.3035, 5:0.3465, 10:0.3608, 20:0.2308
test ndcg 1:0.3067, 3:0.3414, 5:0.4185, 10:0.4977, 20:0.3259
test err 1:0.2000, 3:0.2923, 5:0.3353, 10:0.3515, 20:0.2135
test ndcg 1:0.3133, 3:0.3687, 5:0.4125, 10:0.4961, 20:0.3441
test err 1:0.1950, 3:0.3153, 5:0.3419, 10:0.3593, 20:0.2391
test ndcg 1:0.3000, 3:0.3183, 5:0.4019, 10:0.4841, 20:0.3257
test err 1:0.1850, 3:0.2829, 5:0.3311, 10:0.3465, 20:0.2143
test ndcg 1:0.3067, 3:0.3709, 5:0.4262, 10:0.4966, 20:0.3350
test err 1:0.2100, 3:0.3244, 5:0.3562, 10:0.3699, 20:0.2501
test ndcg 1:0.3000, 3:0.3783, 5:0.4333, 10:0.4967, 20:0.3350
test err 1:0.2050, 3:0.3275, 5:0.3591, 10:0.3724, 20:0.2480
test ndcg 1:0.3000, 3:0.3507, 5:0.4052, 10:0.4882, 20:0.3221
test err 1:0.1950, 3:0.2960, 5:0.3307, 10:0.3489, 20:0.2117
test ndcg 1:0.3333, 3:0.3977, 5:0.4287, 10:0.5007, 20:0.3378
test err 1:0.2100, 3:0.3456, 5:0.3649, 10:0.3786, 20:0.2425
test ndcg 1:0.3133, 3:0.3885, 5:0.4332, 10:0.4994, 20:0.3335
test err 1:0.2050, 3:0.3361, 5:0.3588, 10:0.3743, 20:0.2403
test ndcg 1:0.3000, 3:0.3679, 5:0.4372, 10:0.4993, 20:0.3445
test err 1:0.1750, 3:0.3091, 5:0.3416, 10:0.3552, 20:0.2334
test ndcg 1:0.3067, 3:0.3572, 5:0.4390, 10:0.5031, 20:0.3435
test err 1:0.1900, 3:0.3053, 5:0.3457, 10:0.3594, 20:0.2333
test ndcg 1:0.3200, 3:0.3809, 5:0.4358, 10:0.5041, 20:0.3434
test err 1:0.2100, 3:0.3322, 5:0.3621, 10:0.3768, 20:0.2504
test ndcg 1:0.2733, 3:0.3735, 5:0.4254, 10:0.4983, 20:0.3395
test err 1:0.1750, 3:0.3160, 5:0.3434, 10:0.3585, 20:0.2318
test ndcg 1:0.2867, 3:0.3307, 5:0.4017, 10:0.4812, 20:0.3243
test err 1:0.1750, 3:0.2809, 5:0.3197, 10:0.3362, 20:0.2086
test ndcg 1:0.3267, 3:0.3820, 5:0.4157, 10:0.5010, 20:0.3342
test err 1:0.2050, 3:0.3209, 5:0.3495, 10:0.3656, 20:0.2259
test ndcg 1:0.2533, 3:0.3666, 5:0.4074, 10:0.4916, 20:0.3345
test err 1:0.1500, 3:0.3003, 5:0.3261, 10:0.3417, 20:0.2185
test ndcg 1:0.3067, 3:0.3750, 5:0.4050, 10:0.4963, 20:0.3349
test err 1:0.1800, 3:0.3118, 5:0.3351, 10:0.3532, 20:0.2263
test ndcg 1:0.2867, 3:0.3428, 5:0.3999, 10:0.4785, 20:0.3384
