**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.3, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3851, 3:0.4045, 5:0.4163, 10:0.4475, 20:0.5028
test err 1:0.1784, 3:0.2696, 5:0.2970, 10:0.3185, 20:0.3258
test ndcg 1:0.4034, 3:0.4038, 5:0.4159, 10:0.4454, 20:0.5148
test err 1:0.1957, 3:0.2820, 5:0.3115, 10:0.3310, 20:0.3391
test ndcg 1:0.4529, 3:0.4280, 5:0.4387, 10:0.4730, 20:0.5398
test err 1:0.2190, 3:0.2957, 5:0.3233, 10:0.3460, 20:0.3540
test ndcg 1:0.4379, 3:0.4200, 5:0.4299, 10:0.4637, 20:0.5246
test err 1:0.2060, 3:0.2890, 5:0.3176, 10:0.3378, 20:0.3450
test ndcg 1:0.4230, 3:0.4384, 5:0.4417, 10:0.4701, 20:0.5327
test err 1:0.2052, 3:0.3001, 5:0.3275, 10:0.3463, 20:0.3539
test ndcg 1:0.4805, 3:0.4666, 5:0.4725, 10:0.5016, 20:0.5582
test err 1:0.2345, 3:0.3232, 5:0.3493, 10:0.3682, 20:0.3760
test ndcg 1:0.4816, 3:0.4604, 5:0.4744, 10:0.5047, 20:0.5662
test err 1:0.2371, 3:0.3156, 5:0.3464, 10:0.3661, 20:0.3738
test ndcg 1:0.4471, 3:0.4270, 5:0.4445, 10:0.4828, 20:0.5504
test err 1:0.2147, 3:0.2960, 5:0.3268, 10:0.3480, 20:0.3559
test ndcg 1:0.4207, 3:0.4360, 5:0.4633, 10:0.4989, 20:0.5662
test err 1:0.2155, 3:0.3026, 5:0.3343, 10:0.3550, 20:0.3627
test ndcg 1:0.4862, 3:0.4947, 5:0.5010, 10:0.5268, 20:0.5893
test err 1:0.2216, 3:0.3232, 5:0.3491, 10:0.3686, 20:0.3765
test ndcg 1:0.4552, 3:0.4501, 5:0.4707, 10:0.5003, 20:0.5613
test err 1:0.2259, 3:0.3144, 5:0.3439, 10:0.3644, 20:0.3717
test ndcg 1:0.4862, 3:0.4686, 5:0.4793, 10:0.5108, 20:0.5759
test err 1:0.2371, 3:0.3246, 5:0.3509, 10:0.3713, 20:0.3793
test ndcg 1:0.4655, 3:0.4681, 5:0.4680, 10:0.5030, 20:0.5680
test err 1:0.2233, 3:0.3181, 5:0.3412, 10:0.3624, 20:0.3704
test ndcg 1:0.4920, 3:0.4787, 5:0.4788, 10:0.5213, 20:0.5814
test err 1:0.2345, 3:0.3271, 5:0.3495, 10:0.3728, 20:0.3801
test ndcg 1:0.4954, 3:0.4888, 5:0.4959, 10:0.5278, 20:0.5887
test err 1:0.2422, 3:0.3351, 5:0.3596, 10:0.3796, 20:0.3874
test ndcg 1:0.4874, 3:0.4798, 5:0.4849, 10:0.5185, 20:0.5799
test err 1:0.2397, 3:0.3291, 5:0.3553, 10:0.3756, 20:0.3831
test ndcg 1:0.4644, 3:0.4839, 5:0.4942, 10:0.5205, 20:0.5858
test err 1:0.2207, 3:0.3233, 5:0.3503, 10:0.3698, 20:0.3776
test ndcg 1:0.4598, 3:0.4652, 5:0.4657, 10:0.5020, 20:0.5661
test err 1:0.2241, 3:0.3172, 5:0.3395, 10:0.3619, 20:0.3701
test ndcg 1:0.4609, 3:0.4635, 5:0.4787, 10:0.5068, 20:0.5720
test err 1:0.2233, 3:0.3130, 5:0.3424, 10:0.3626, 20:0.3709
test ndcg 1:0.4736, 3:0.4745, 5:0.4899, 10:0.5227, 20:0.5897
test err 1:0.2172, 3:0.3105, 5:0.3377, 10:0.3591, 20:0.3673
test ndcg 1:0.4356, 3:0.4460, 5:0.4682, 10:0.4976, 20:0.5665
test err 1:0.1991, 3:0.2920, 5:0.3219, 10:0.3432, 20:0.3513
test ndcg 1:0.4724, 3:0.4508, 5:0.4648, 10:0.4947, 20:0.5626
test err 1:0.2284, 3:0.3137, 5:0.3399, 10:0.3612, 20:0.3694
test ndcg 1:0.4747, 3:0.4553, 5:0.4763, 10:0.5017, 20:0.5695
test err 1:0.2302, 3:0.3136, 5:0.3440, 10:0.3638, 20:0.3718
test ndcg 1:0.4897, 3:0.4814, 5:0.4951, 10:0.5204, 20:0.5868
test err 1:0.2345, 3:0.3247, 5:0.3525, 10:0.3728, 20:0.3805
test ndcg 1:0.4920, 3:0.4822, 5:0.4811, 10:0.5126, 20:0.5765
test err 1:0.2414, 3:0.3282, 5:0.3524, 10:0.3739, 20:0.3813
test ndcg 1:0.4942, 3:0.4857, 5:0.4922, 10:0.5269, 20:0.5892
test err 1:0.2414, 3:0.3321, 5:0.3571, 10:0.3783, 20:0.3858
test ndcg 1:0.4988, 3:0.4968, 5:0.5030, 10:0.5314, 20:0.5922
