**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4425, 3:0.4329, 5:0.4518, 10:0.4903, 20:0.5618
test err 1:0.2060, 3:0.2900, 5:0.3205, 10:0.3432, 20:0.3515
test ndcg 1:0.4345, 3:0.4254, 5:0.4395, 10:0.4822, 20:0.5492
test err 1:0.2086, 3:0.2952, 5:0.3230, 10:0.3462, 20:0.3543
test ndcg 1:0.4759, 3:0.4657, 5:0.4769, 10:0.5037, 20:0.5716
test err 1:0.2328, 3:0.3209, 5:0.3472, 10:0.3672, 20:0.3758
test ndcg 1:0.4494, 3:0.4310, 5:0.4353, 10:0.4753, 20:0.5447
test err 1:0.2112, 3:0.2936, 5:0.3208, 10:0.3439, 20:0.3527
test ndcg 1:0.4782, 3:0.4735, 5:0.4824, 10:0.5117, 20:0.5765
test err 1:0.2293, 3:0.3184, 5:0.3469, 10:0.3664, 20:0.3744
test ndcg 1:0.4931, 3:0.4680, 5:0.4859, 10:0.5198, 20:0.5765
test err 1:0.2405, 3:0.3223, 5:0.3525, 10:0.3740, 20:0.3811
test ndcg 1:0.4483, 3:0.4693, 5:0.4848, 10:0.5192, 20:0.5841
test err 1:0.2138, 3:0.3122, 5:0.3420, 10:0.3618, 20:0.3692
test ndcg 1:0.4736, 3:0.4728, 5:0.4836, 10:0.5178, 20:0.5807
test err 1:0.2310, 3:0.3219, 5:0.3477, 10:0.3692, 20:0.3770
test ndcg 1:0.4770, 3:0.4697, 5:0.4810, 10:0.5132, 20:0.5768
test err 1:0.2302, 3:0.3198, 5:0.3461, 10:0.3683, 20:0.3757
test ndcg 1:0.4506, 3:0.4682, 5:0.4737, 10:0.4995, 20:0.5676
test err 1:0.2190, 3:0.3147, 5:0.3395, 10:0.3589, 20:0.3675
test ndcg 1:0.4494, 3:0.4458, 5:0.4554, 10:0.4852, 20:0.5511
test err 1:0.2233, 3:0.3091, 5:0.3359, 10:0.3561, 20:0.3641
test ndcg 1:0.4644, 3:0.4626, 5:0.4643, 10:0.5037, 20:0.5670
test err 1:0.2259, 3:0.3168, 5:0.3411, 10:0.3643, 20:0.3715
