test ndcg 1:0.4621, 3:0.4673, 5:0.4867, 7:0.5016, 10:0.5258
test ndcg 1:0.4379, 3:0.4515, 5:0.4708, 7:0.4886, 10:0.5139
test ndcg 1:0.4437, 3:0.4477, 5:0.4730, 7:0.4934, 10:0.5145
test ndcg 1:0.5046, 3:0.5119, 5:0.5154, 7:0.5287, 10:0.5441
test ndcg 1:0.4690, 3:0.4983, 5:0.5069, 7:0.5131, 10:0.5305
test ndcg 1:0.4644, 3:0.4834, 5:0.5011, 7:0.5149, 10:0.5345
test ndcg 1:0.4965, 3:0.5122, 5:0.5086, 7:0.5211, 10:0.5335
test ndcg 1:0.5172, 3:0.4996, 5:0.5070, 7:0.5185, 10:0.5382
test ndcg 1:0.4977, 3:0.4901, 5:0.5019, 7:0.5220, 10:0.5350
test ndcg 1:0.5034, 3:0.5013, 5:0.5149, 7:0.5241, 10:0.5444
test ndcg 1:0.4862, 3:0.4803, 5:0.5039, 7:0.5215, 10:0.5362
test ndcg 1:0.4828, 3:0.4946, 5:0.5135, 7:0.5241, 10:0.5433
test ndcg 1:0.5046, 3:0.4902, 5:0.5097, 7:0.5214, 10:0.5364
test ndcg 1:0.5000, 3:0.5157, 5:0.5203, 7:0.5280, 10:0.5502
test ndcg 1:0.4908, 3:0.4948, 5:0.5111, 7:0.5301, 10:0.5451
test ndcg 1:0.5034, 3:0.4980, 5:0.5125, 7:0.5252, 10:0.5423
test ndcg 1:0.5046, 3:0.4932, 5:0.5115, 7:0.5230, 10:0.5455
test ndcg 1:0.4920, 3:0.4863, 5:0.4956, 7:0.5153, 10:0.5330
test ndcg 1:0.5011, 3:0.5133, 5:0.5206, 7:0.5358, 10:0.5539
test ndcg 1:0.4931, 3:0.5017, 5:0.5132, 7:0.5249, 10:0.5413
test ndcg 1:0.4839, 3:0.4988, 5:0.5120, 7:0.5261, 10:0.5402
test ndcg 1:0.5023, 3:0.5041, 5:0.5159, 7:0.5253, 10:0.5399
test ndcg 1:0.4920, 3:0.4946, 5:0.5064, 7:0.5172, 10:0.5369
test ndcg 1:0.4828, 3:0.4988, 5:0.5063, 7:0.5149, 10:0.5274
test ndcg 1:0.4851, 3:0.4988, 5:0.5100, 7:0.5234, 10:0.5403
test ndcg 1:0.4977, 3:0.4868, 5:0.5032, 7:0.5181, 10:0.5419
test ndcg 1:0.4828, 3:0.4930, 5:0.5092, 7:0.5239, 10:0.5416
test ndcg 1:0.5126, 3:0.5057, 5:0.5109, 7:0.5288, 10:0.5499
test ndcg 1:0.4471, 3:0.4746, 5:0.4934, 7:0.5078, 10:0.5254
test ndcg 1:0.4885, 3:0.4920, 5:0.5083, 7:0.5317, 10:0.5451
test ndcg 1:0.5034, 3:0.5090, 5:0.5190, 7:0.5320, 10:0.5476
test ndcg 1:0.4805, 3:0.4843, 5:0.5004, 7:0.5117, 10:0.5278
test ndcg 1:0.4839, 3:0.4856, 5:0.5076, 7:0.5250, 10:0.5411
test ndcg 1:0.5011, 3:0.4994, 5:0.5115, 7:0.5302, 10:0.5443
test ndcg 1:0.4862, 3:0.4930, 5:0.5068, 7:0.5253, 10:0.5411
