**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=2, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4483, 3:0.4603, 5:0.4758, 10:0.5134, 20:0.5787
test err 1:0.2103, 3:0.3039, 5:0.3323, 10:0.3531, 20:0.3613
test ndcg 1:0.4770, 3:0.4628, 5:0.4775, 10:0.5159, 20:0.5755
test err 1:0.2336, 3:0.3195, 5:0.3482, 10:0.3702, 20:0.3775
test ndcg 1:0.4632, 3:0.4687, 5:0.4804, 10:0.5110, 20:0.5737
test err 1:0.2267, 3:0.3166, 5:0.3448, 10:0.3663, 20:0.3738
test ndcg 1:0.4701, 3:0.4747, 5:0.4844, 10:0.5208, 20:0.5788
test err 1:0.2284, 3:0.3227, 5:0.3490, 10:0.3713, 20:0.3787
test ndcg 1:0.4851, 3:0.4891, 5:0.5038, 10:0.5325, 20:0.5904
test err 1:0.2362, 3:0.3303, 5:0.3586, 10:0.3792, 20:0.3859
test ndcg 1:0.4816, 3:0.5022, 5:0.5103, 10:0.5399, 20:0.5961
test err 1:0.2233, 3:0.3263, 5:0.3558, 10:0.3751, 20:0.3813
test ndcg 1:0.4874, 3:0.5034, 5:0.5122, 10:0.5389, 20:0.5979
test err 1:0.2293, 3:0.3319, 5:0.3574, 10:0.3777, 20:0.3842
test ndcg 1:0.4805, 3:0.4890, 5:0.4951, 10:0.5303, 20:0.5827
test err 1:0.2293, 3:0.3256, 5:0.3532, 10:0.3744, 20:0.3806
test ndcg 1:0.4678, 3:0.4997, 5:0.5099, 10:0.5316, 20:0.5893
test err 1:0.2233, 3:0.3263, 5:0.3543, 10:0.3739, 20:0.3805
test ndcg 1:0.4988, 3:0.5020, 5:0.5133, 10:0.5346, 20:0.5928
test err 1:0.2397, 3:0.3361, 5:0.3640, 10:0.3823, 20:0.3896
test ndcg 1:0.4667, 3:0.4652, 5:0.4796, 10:0.5121, 20:0.5734
test err 1:0.2276, 3:0.3159, 5:0.3459, 10:0.3662, 20:0.3739
test ndcg 1:0.4816, 3:0.5163, 5:0.5130, 10:0.5407, 20:0.5973
test err 1:0.2181, 3:0.3284, 5:0.3539, 10:0.3741, 20:0.3802
test ndcg 1:0.5034, 3:0.4983, 5:0.5108, 10:0.5432, 20:0.5976
test err 1:0.2379, 3:0.3300, 5:0.3592, 10:0.3801, 20:0.3865
test ndcg 1:0.5092, 3:0.5101, 5:0.5154, 10:0.5424, 20:0.5974
test err 1:0.2474, 3:0.3411, 5:0.3668, 10:0.3872, 20:0.3942
test ndcg 1:0.5000, 3:0.4966, 5:0.5092, 10:0.5349, 20:0.5923
test err 1:0.2388, 3:0.3299, 5:0.3587, 10:0.3782, 20:0.3852
test ndcg 1:0.5023, 3:0.5023, 5:0.5118, 10:0.5357, 20:0.5884
test err 1:0.2388, 3:0.3342, 5:0.3615, 10:0.3800, 20:0.3872
test ndcg 1:0.4908, 3:0.4972, 5:0.5151, 10:0.5358, 20:0.5959
test err 1:0.2353, 3:0.3321, 5:0.3605, 10:0.3792, 20:0.3863
test ndcg 1:0.4920, 3:0.5015, 5:0.5042, 10:0.5340, 20:0.5904
test err 1:0.2345, 3:0.3337, 5:0.3587, 10:0.3777, 20:0.3848
test ndcg 1:0.4954, 3:0.5073, 5:0.5106, 10:0.5376, 20:0.5976
test err 1:0.2302, 3:0.3337, 5:0.3614, 10:0.3794, 20:0.3863
test ndcg 1:0.4931, 3:0.4884, 5:0.4978, 10:0.5321, 20:0.5913
test err 1:0.2422, 3:0.3325, 5:0.3603, 10:0.3803, 20:0.3871
test ndcg 1:0.4908, 3:0.4994, 5:0.5085, 10:0.5424, 20:0.6054
test err 1:0.2302, 3:0.3321, 5:0.3568, 10:0.3794, 20:0.3856
test ndcg 1:0.5034, 3:0.5113, 5:0.5191, 10:0.5479, 20:0.6059
test err 1:0.2414, 3:0.3388, 5:0.3658, 10:0.3852, 20:0.3916
test ndcg 1:0.4575, 3:0.4801, 5:0.4921, 10:0.5186, 20:0.5794
test err 1:0.2259, 3:0.3241, 5:0.3509, 10:0.3693, 20:0.3765
test ndcg 1:0.4897, 3:0.4887, 5:0.4893, 10:0.5187, 20:0.5789
test err 1:0.2414, 3:0.3341, 5:0.3584, 10:0.3781, 20:0.3858
test ndcg 1:0.4954, 3:0.4959, 5:0.5130, 10:0.5343, 20:0.5947
test err 1:0.2388, 3:0.3335, 5:0.3617, 10:0.3806, 20:0.3878
test ndcg 1:0.5046, 3:0.5016, 5:0.5101, 10:0.5361, 20:0.5941
test err 1:0.2474, 3:0.3382, 5:0.3655, 10:0.3852, 20:0.3916
test ndcg 1:0.4897, 3:0.5077, 5:0.5161, 10:0.5418, 20:0.5990
test err 1:0.2379, 3:0.3357, 5:0.3637, 10:0.3817, 20:0.3882
test ndcg 1:0.4874, 3:0.5035, 5:0.5222, 10:0.5425, 20:0.5986
test err 1:0.2345, 3:0.3350, 5:0.3647, 10:0.3822, 20:0.3888
test ndcg 1:0.4920, 3:0.4986, 5:0.5091, 10:0.5376, 20:0.5921
test err 1:0.2414, 3:0.3355, 5:0.3614, 10:0.3828, 20:0.3889
test ndcg 1:0.5057, 3:0.5066, 5:0.5137, 10:0.5524, 20:0.6066
test err 1:0.2345, 3:0.3340, 5:0.3583, 10:0.3826, 20:0.3880
test ndcg 1:0.5322, 3:0.5144, 5:0.5187, 10:0.5475, 20:0.6065
test err 1:0.2612, 3:0.3491, 5:0.3749, 10:0.3952, 20:0.4016
test ndcg 1:0.5310, 3:0.5185, 5:0.5264, 10:0.5569, 20:0.6106
test err 1:0.2517, 3:0.3480, 5:0.3728, 10:0.3943, 20:0.3999
test ndcg 1:0.4931, 3:0.4929, 5:0.5101, 10:0.5387, 20:0.5944
test err 1:0.2422, 3:0.3344, 5:0.3624, 10:0.3824, 20:0.3885
test ndcg 1:0.4920, 3:0.5001, 5:0.5051, 10:0.5386, 20:0.6022
test err 1:0.2293, 3:0.3320, 5:0.3579, 10:0.3785, 20:0.3850
test ndcg 1:0.4977, 3:0.5090, 5:0.5110, 10:0.5337, 20:0.5934
test err 1:0.2371, 3:0.3380, 5:0.3617, 10:0.3809, 20:0.3881
test ndcg 1:0.4678, 3:0.4784, 5:0.4881, 10:0.5228, 20:0.5924
test err 1:0.2112, 3:0.3135, 5:0.3414, 10:0.3625, 20:0.3696
test ndcg 1:0.5034, 3:0.5059, 5:0.5150, 10:0.5438, 20:0.5995
test err 1:0.2414, 3:0.3365, 5:0.3638, 10:0.3837, 20:0.3902
test ndcg 1:0.5103, 3:0.5149, 5:0.5225, 10:0.5501, 20:0.6041
test err 1:0.2483, 3:0.3427, 5:0.3708, 10:0.3895, 20:0.3956
test ndcg 1:0.4954, 3:0.5180, 5:0.5178, 10:0.5458, 20:0.5996
test err 1:0.2422, 3:0.3432, 5:0.3676, 10:0.3868, 20:0.3933
test ndcg 1:0.5092, 3:0.4989, 5:0.5169, 10:0.5400, 20:0.5985
test err 1:0.2509, 3:0.3387, 5:0.3690, 10:0.3868, 20:0.3933
test ndcg 1:0.4908, 3:0.5071, 5:0.5143, 10:0.5485, 20:0.6010
