**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4092, 3:0.4128, 5:0.4252, 10:0.4732, 20:0.5466
test err 1:0.1931, 3:0.2809, 5:0.3099, 10:0.3332, 20:0.3413
test ndcg 1:0.4552, 3:0.4694, 5:0.4822, 10:0.5078, 20:0.5744
test err 1:0.2172, 3:0.3112, 5:0.3411, 10:0.3606, 20:0.3684
test ndcg 1:0.4713, 3:0.4682, 5:0.4808, 10:0.5168, 20:0.5808
test err 1:0.2310, 3:0.3186, 5:0.3468, 10:0.3687, 20:0.3761
test ndcg 1:0.4874, 3:0.4878, 5:0.5016, 10:0.5380, 20:0.5923
test err 1:0.2345, 3:0.3307, 5:0.3568, 10:0.3789, 20:0.3854
test ndcg 1:0.4828, 3:0.4988, 5:0.5127, 10:0.5413, 20:0.5970
test err 1:0.2207, 3:0.3244, 5:0.3528, 10:0.3725, 20:0.3790
test ndcg 1:0.4988, 3:0.5174, 5:0.5152, 10:0.5465, 20:0.6016
test err 1:0.2328, 3:0.3349, 5:0.3599, 10:0.3801, 20:0.3867
test ndcg 1:0.4954, 3:0.5003, 5:0.5059, 10:0.5451, 20:0.5967
test err 1:0.2422, 3:0.3386, 5:0.3620, 10:0.3847, 20:0.3906
test ndcg 1:0.5069, 3:0.5039, 5:0.5088, 10:0.5389, 20:0.5949
test err 1:0.2440, 3:0.3349, 5:0.3614, 10:0.3823, 20:0.3892
test ndcg 1:0.4943, 3:0.4916, 5:0.5025, 10:0.5337, 20:0.5922
test err 1:0.2431, 3:0.3343, 5:0.3610, 10:0.3822, 20:0.3895
test ndcg 1:0.4816, 3:0.4914, 5:0.5104, 10:0.5381, 20:0.5968
test err 1:0.2319, 3:0.3268, 5:0.3591, 10:0.3786, 20:0.3849
test ndcg 1:0.5138, 3:0.5157, 5:0.5164, 10:0.5525, 20:0.6031
test err 1:0.2440, 3:0.3421, 5:0.3667, 10:0.3884, 20:0.3946
test ndcg 1:0.5069, 3:0.5068, 5:0.5109, 10:0.5386, 20:0.5984
test err 1:0.2457, 3:0.3386, 5:0.3660, 10:0.3854, 20:0.3925
test ndcg 1:0.5103, 3:0.5015, 5:0.5128, 10:0.5374, 20:0.5982
test err 1:0.2448, 3:0.3380, 5:0.3655, 10:0.3855, 20:0.3922
test ndcg 1:0.4965, 3:0.5012, 5:0.5138, 10:0.5322, 20:0.5887
test err 1:0.2431, 3:0.3365, 5:0.3658, 10:0.3842, 20:0.3911
test ndcg 1:0.4851, 3:0.4939, 5:0.5038, 10:0.5313, 20:0.5908
test err 1:0.2345, 3:0.3292, 5:0.3564, 10:0.3752, 20:0.3828
test ndcg 1:0.4805, 3:0.5066, 5:0.5076, 10:0.5337, 20:0.5919
test err 1:0.2328, 3:0.3355, 5:0.3594, 10:0.3785, 20:0.3860
test ndcg 1:0.5046, 3:0.5137, 5:0.5216, 10:0.5439, 20:0.6001
test err 1:0.2422, 3:0.3422, 5:0.3687, 10:0.3864, 20:0.3939
test ndcg 1:0.4897, 3:0.5097, 5:0.5219, 10:0.5380, 20:0.5930
test err 1:0.2379, 3:0.3400, 5:0.3667, 10:0.3845, 20:0.3914
test ndcg 1:0.4931, 3:0.5086, 5:0.5222, 10:0.5401, 20:0.5945
test err 1:0.2336, 3:0.3367, 5:0.3647, 10:0.3822, 20:0.3889
test ndcg 1:0.5057, 3:0.5133, 5:0.5206, 10:0.5509, 20:0.6061
test err 1:0.2379, 3:0.3403, 5:0.3654, 10:0.3857, 20:0.3921
test ndcg 1:0.4977, 3:0.5081, 5:0.5157, 10:0.5385, 20:0.5949
test err 1:0.2474, 3:0.3437, 5:0.3694, 10:0.3881, 20:0.3950
test ndcg 1:0.4862, 3:0.5076, 5:0.5121, 10:0.5355, 20:0.5909
test err 1:0.2371, 3:0.3389, 5:0.3653, 10:0.3837, 20:0.3904
