test ndcg 1:0.3793, 3:0.4046, 5:0.4170, 7:0.4300, 10:0.4547
test err 1:0.1625, 3:0.2561, 5:0.2835, 7:0.2965, 10:0.3063
test ndcg 1:0.3922, 3:0.4107, 5:0.4280, 7:0.4455, 10:0.4767
test err 1:0.1687, 3:0.2624, 5:0.2931, 7:0.3068, 10:0.3173
test ndcg 1:0.4653, 3:0.4674, 5:0.4639, 7:0.4805, 10:0.5035
test err 1:0.2041, 3:0.3000, 5:0.3243, 7:0.3384, 10:0.3482
test ndcg 1:0.4040, 3:0.4215, 5:0.4291, 7:0.4376, 10:0.4655
test err 1:0.1723, 3:0.2658, 5:0.2921, 7:0.3046, 10:0.3149
test ndcg 1:0.4382, 3:0.4447, 5:0.4559, 7:0.4702, 10:0.4982
test err 1:0.1943, 3:0.2870, 5:0.3160, 7:0.3282, 10:0.3381
test ndcg 1:0.4382, 3:0.4335, 5:0.4443, 7:0.4631, 10:0.4857
test err 1:0.1837, 3:0.2715, 5:0.3009, 7:0.3152, 10:0.3247
test ndcg 1:0.4299, 3:0.4453, 5:0.4476, 7:0.4677, 10:0.4868
test err 1:0.1899, 3:0.2854, 5:0.3104, 7:0.3249, 10:0.3337
test ndcg 1:0.4782, 3:0.4696, 5:0.4731, 7:0.4863, 10:0.5076
test err 1:0.2138, 3:0.3061, 5:0.3323, 7:0.3458, 10:0.3555
test ndcg 1:0.4523, 3:0.4503, 5:0.4640, 7:0.4801, 10:0.4996
test err 1:0.2067, 3:0.2991, 5:0.3270, 7:0.3402, 10:0.3488
test ndcg 1:0.4299, 3:0.4355, 5:0.4577, 7:0.4709, 10:0.4918
test err 1:0.2005, 3:0.2900, 5:0.3210, 7:0.3336, 10:0.3424
test ndcg 1:0.4440, 3:0.4413, 5:0.4614, 7:0.4767, 10:0.4964
test err 1:0.2041, 3:0.2939, 5:0.3247, 7:0.3376, 10:0.3465
test ndcg 1:0.4700, 3:0.4597, 5:0.4637, 7:0.4813, 10:0.5038
test err 1:0.2147, 3:0.3037, 5:0.3314, 7:0.3445, 10:0.3535
test ndcg 1:0.4276, 3:0.4278, 5:0.4493, 7:0.4596, 10:0.4915
test err 1:0.1952, 3:0.2839, 5:0.3151, 7:0.3268, 10:0.3379
test ndcg 1:0.4370, 3:0.4376, 5:0.4486, 7:0.4654, 10:0.4869
test err 1:0.2058, 3:0.2962, 5:0.3232, 7:0.3362, 10:0.3457
test ndcg 1:0.4417, 3:0.4398, 5:0.4540, 7:0.4685, 10:0.4943
test err 1:0.2058, 3:0.2961, 5:0.3248, 7:0.3367, 10:0.3468
test ndcg 1:0.4334, 3:0.4501, 5:0.4665, 7:0.4777, 10:0.4962
test err 1:0.1943, 3:0.2930, 5:0.3225, 7:0.3341, 10:0.3432
test ndcg 1:0.4122, 3:0.4105, 5:0.4345, 7:0.4498, 10:0.4751
test err 1:0.1749, 3:0.2649, 5:0.2970, 7:0.3112, 10:0.3208
test ndcg 1:0.3863, 3:0.4087, 5:0.4231, 7:0.4428, 10:0.4635
test err 1:0.1625, 3:0.2590, 5:0.2870, 7:0.3035, 10:0.3118
test ndcg 1:0.4252, 3:0.4234, 5:0.4341, 7:0.4539, 10:0.4776
test err 1:0.1793, 3:0.2703, 5:0.2974, 7:0.3126, 10:0.3222
test ndcg 1:0.3781, 3:0.3957, 5:0.4072, 7:0.4331, 10:0.4526
test err 1:0.1617, 3:0.2523, 5:0.2805, 7:0.2976, 10:0.3056
test ndcg 1:0.4122, 3:0.4006, 5:0.4176, 7:0.4352, 10:0.4564
test err 1:0.1731, 3:0.2568, 5:0.2862, 7:0.3020, 10:0.3107
test ndcg 1:0.4016, 3:0.4033, 5:0.4135, 7:0.4351, 10:0.4557
test err 1:0.1687, 3:0.2541, 5:0.2819, 7:0.2992, 10:0.3077
test ndcg 1:0.3781, 3:0.3821, 5:0.3939, 7:0.4101, 10:0.4321
test err 1:0.1634, 3:0.2464, 5:0.2723, 7:0.2869, 10:0.2969
test ndcg 1:0.4099, 3:0.4135, 5:0.4268, 7:0.4363, 10:0.4651
test err 1:0.1784, 3:0.2670, 5:0.2961, 7:0.3085, 10:0.3190
test ndcg 1:0.4134, 3:0.4355, 5:0.4552, 7:0.4677, 10:0.4886
test err 1:0.1758, 3:0.2776, 5:0.3088, 7:0.3210, 10:0.3296
test ndcg 1:0.3734, 3:0.3721, 5:0.3915, 7:0.4052, 10:0.4259
test err 1:0.1564, 3:0.2318, 5:0.2623, 7:0.2759, 10:0.2857
test ndcg 1:0.4535, 3:0.4588, 5:0.4773, 7:0.4899, 10:0.5097
test err 1:0.2023, 3:0.2978, 5:0.3277, 7:0.3401, 10:0.3480
test ndcg 1:0.4382, 3:0.4341, 5:0.4437, 7:0.4586, 10:0.4824
test err 1:0.1837, 3:0.2768, 5:0.3041, 7:0.3169, 10:0.3262
test ndcg 1:0.4193, 3:0.4164, 5:0.4361, 7:0.4557, 10:0.4800
test err 1:0.1802, 3:0.2676, 5:0.2991, 7:0.3131, 10:0.3221
test ndcg 1:0.4464, 3:0.4429, 5:0.4585, 7:0.4737, 10:0.5014
test err 1:0.1970, 3:0.2872, 5:0.3187, 7:0.3312, 10:0.3401
test ndcg 1:0.4582, 3:0.4536, 5:0.4654, 7:0.4791, 10:0.4985
test err 1:0.2058, 3:0.2997, 5:0.3292, 7:0.3410, 10:0.3492
test ndcg 1:0.4464, 3:0.4551, 5:0.4589, 7:0.4749, 10:0.4992
test err 1:0.1970, 3:0.2915, 5:0.3181, 7:0.3313, 10:0.3405
test ndcg 1:0.4464, 3:0.4597, 5:0.4758, 7:0.4864, 10:0.5073
test err 1:0.1952, 3:0.2919, 5:0.3229, 7:0.3347, 10:0.3439
test ndcg 1:0.4252, 3:0.4434, 5:0.4600, 7:0.4763, 10:0.4968
test err 1:0.1882, 3:0.2844, 5:0.3149, 7:0.3285, 10:0.3367
test ndcg 1:0.4817, 3:0.4722, 5:0.4859, 7:0.4930, 10:0.5148
test err 1:0.2129, 3:0.3039, 5:0.3337, 7:0.3446, 10:0.3533
test ndcg 1:0.4346, 3:0.4409, 5:0.4601, 7:0.4765, 10:0.5000
test err 1:0.1935, 3:0.2839, 5:0.3163, 7:0.3292, 10:0.3390
test ndcg 1:0.4700, 3:0.4740, 5:0.4803, 7:0.4942, 10:0.5136
test err 1:0.2094, 3:0.3037, 5:0.3312, 7:0.3448, 10:0.3527
test ndcg 1:0.4676, 3:0.4728, 5:0.4821, 7:0.4932, 10:0.5125
test err 1:0.2094, 3:0.3016, 5:0.3321, 7:0.3450, 10:0.3530
test ndcg 1:0.4558, 3:0.4545, 5:0.4696, 7:0.4913, 10:0.5047
test err 1:0.2023, 3:0.2926, 5:0.3238, 7:0.3386, 10:0.3467
test ndcg 1:0.4546, 3:0.4556, 5:0.4698, 7:0.4838, 10:0.5057
test err 1:0.1996, 3:0.2934, 5:0.3240, 7:0.3362, 10:0.3448
test ndcg 1:0.4594, 3:0.4658, 5:0.4783, 7:0.4860, 10:0.5074
test err 1:0.2049, 3:0.2995, 5:0.3294, 7:0.3411, 10:0.3497
test ndcg 1:0.4700, 3:0.4687, 5:0.4785, 7:0.4909, 10:0.5108
test err 1:0.2094, 3:0.3004, 5:0.3295, 7:0.3427, 10:0.3512
test ndcg 1:0.4688, 3:0.4688, 5:0.4783, 7:0.4967, 10:0.5162
test err 1:0.2085, 3:0.3011, 5:0.3311, 7:0.3446, 10:0.3526
test ndcg 1:0.4747, 3:0.4772, 5:0.4812, 7:0.4914, 10:0.5116
test err 1:0.2041, 3:0.3027, 5:0.3297, 7:0.3413, 10:0.3501
test ndcg 1:0.4853, 3:0.4684, 5:0.4763, 7:0.4903, 10:0.5133
test err 1:0.2173, 3:0.3080, 5:0.3362, 7:0.3490, 10:0.3577
test ndcg 1:0.4700, 3:0.4666, 5:0.4831, 7:0.4918, 10:0.5129
test err 1:0.2041, 3:0.3013, 5:0.3326, 7:0.3433, 10:0.3518
test ndcg 1:0.4641, 3:0.4700, 5:0.4883, 7:0.4971, 10:0.5151
