test ndcg 1:0.4205, 3:0.4253, 5:0.4361, 7:0.4530, 10:0.4850
test err 1:0.1793, 3:0.2765, 5:0.3037, 7:0.3172, 10:0.3274
test ndcg 1:0.4806, 3:0.4612, 5:0.4682, 7:0.4849, 10:0.5054
test err 1:0.2155, 3:0.3061, 5:0.3341, 7:0.3477, 10:0.3562
test ndcg 1:0.4405, 3:0.4417, 5:0.4562, 7:0.4708, 10:0.4902
test err 1:0.1908, 3:0.2851, 5:0.3143, 7:0.3275, 10:0.3358
test ndcg 1:0.4546, 3:0.4603, 5:0.4762, 7:0.4817, 10:0.5014
test err 1:0.1996, 3:0.2971, 5:0.3275, 7:0.3381, 10:0.3466
test ndcg 1:0.4570, 3:0.4690, 5:0.4761, 7:0.4893, 10:0.5097
test err 1:0.2067, 3:0.3057, 5:0.3333, 7:0.3456, 10:0.3537
test ndcg 1:0.4546, 3:0.4567, 5:0.4648, 7:0.4779, 10:0.5097
test err 1:0.1979, 3:0.2933, 5:0.3216, 7:0.3350, 10:0.3448
test ndcg 1:0.4264, 3:0.4494, 5:0.4582, 7:0.4735, 10:0.5035
test err 1:0.1873, 3:0.2879, 5:0.3155, 7:0.3289, 10:0.3384
test ndcg 1:0.4228, 3:0.4149, 5:0.4268, 7:0.4446, 10:0.4712
test err 1:0.1829, 3:0.2690, 5:0.2990, 7:0.3116, 10:0.3216
test ndcg 1:0.4488, 3:0.4358, 5:0.4449, 7:0.4610, 10:0.4854
test err 1:0.1882, 3:0.2796, 5:0.3074, 7:0.3206, 10:0.3296
test ndcg 1:0.4511, 3:0.4663, 5:0.4819, 7:0.4912, 10:0.5037
test err 1:0.2094, 3:0.3086, 5:0.3376, 7:0.3490, 10:0.3566
test ndcg 1:0.4252, 3:0.4267, 5:0.4378, 7:0.4526, 10:0.4758
test err 1:0.1758, 3:0.2721, 5:0.3009, 7:0.3139, 10:0.3225
test ndcg 1:0.4664, 3:0.4635, 5:0.4696, 7:0.4818, 10:0.5069
test err 1:0.2085, 3:0.3023, 5:0.3313, 7:0.3438, 10:0.3525
test ndcg 1:0.4700, 3:0.4667, 5:0.4799, 7:0.4874, 10:0.5020
test err 1:0.2094, 3:0.3027, 5:0.3341, 7:0.3461, 10:0.3530
test ndcg 1:0.4393, 3:0.4670, 5:0.4837, 7:0.4916, 10:0.5112
test err 1:0.2005, 3:0.3011, 5:0.3321, 7:0.3434, 10:0.3512
test ndcg 1:0.4947, 3:0.4716, 5:0.4820, 7:0.4920, 10:0.5123
test err 1:0.2208, 3:0.3102, 5:0.3407, 7:0.3530, 10:0.3610
test ndcg 1:0.4558, 3:0.4733, 5:0.4814, 7:0.4927, 10:0.5139
test err 1:0.2147, 3:0.3119, 5:0.3402, 7:0.3520, 10:0.3602
test ndcg 1:0.4747, 3:0.4701, 5:0.4751, 7:0.4877, 10:0.5101
test err 1:0.2164, 3:0.3053, 5:0.3337, 7:0.3471, 10:0.3558
test ndcg 1:0.4511, 3:0.4599, 5:0.4762, 7:0.4849, 10:0.4991
