**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.1, dropout=0.1, epoch=200, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3526, 3:0.4409, 5:0.4809, 10:0.5722, 20:0.2543
test err 1:0.2067, 3:0.3419, 5:0.3667, 10:0.3834, 20:0.1755
test ndcg 1:0.3846, 3:0.4555, 5:0.5092, 10:0.5989, 20:0.2579
test err 1:0.2308, 3:0.3461, 5:0.3797, 10:0.3933, 20:0.1762
test ndcg 1:0.4038, 3:0.4246, 5:0.4870, 10:0.5841, 20:0.2536
test err 1:0.2452, 3:0.3388, 5:0.3779, 10:0.3941, 20:0.1793
test ndcg 1:0.3846, 3:0.4434, 5:0.4991, 10:0.5800, 20:0.2530
test err 1:0.2308, 3:0.3412, 5:0.3777, 10:0.3895, 20:0.1723
test ndcg 1:0.4038, 3:0.4539, 5:0.5038, 10:0.6115, 20:0.2606
test err 1:0.2356, 3:0.3515, 5:0.3817, 10:0.3997, 20:0.1792
test ndcg 1:0.3718, 3:0.4303, 5:0.4809, 10:0.5878, 20:0.2473
test err 1:0.2212, 3:0.3335, 5:0.3661, 10:0.3842, 20:0.1710
test ndcg 1:0.3910, 3:0.4306, 5:0.4853, 10:0.5785, 20:0.2520
test err 1:0.2260, 3:0.3357, 5:0.3674, 10:0.3858, 20:0.1736
test ndcg 1:0.3846, 3:0.4274, 5:0.4637, 10:0.5606, 20:0.2447
test err 1:0.2308, 3:0.3386, 5:0.3662, 10:0.3856, 20:0.1712
test ndcg 1:0.3846, 3:0.4078, 5:0.4645, 10:0.5612, 20:0.2497
test err 1:0.2308, 3:0.3326, 5:0.3660, 10:0.3836, 20:0.1752
test ndcg 1:0.3846, 3:0.4143, 5:0.4757, 10:0.5704, 20:0.2499
test err 1:0.2308, 3:0.3409, 5:0.3723, 10:0.3892, 20:0.1798
test ndcg 1:0.3654, 3:0.4200, 5:0.4799, 10:0.5690, 20:0.2472
test err 1:0.2260, 3:0.3424, 5:0.3728, 10:0.3899, 20:0.1795
test ndcg 1:0.4103, 3:0.4455, 5:0.4961, 10:0.5941, 20:0.2535
test err 1:0.2404, 3:0.3508, 5:0.3782, 10:0.3975, 20:0.1834
test ndcg 1:0.4103, 3:0.4622, 5:0.5221, 10:0.5850, 20:0.2555
test err 1:0.2404, 3:0.3576, 5:0.3925, 10:0.4025, 20:0.1803
test ndcg 1:0.3910, 3:0.4469, 5:0.5174, 10:0.5830, 20:0.2620
test err 1:0.2356, 3:0.3536, 5:0.3901, 10:0.4004, 20:0.1850
test ndcg 1:0.3590, 3:0.4464, 5:0.4886, 10:0.5785, 20:0.2466
test err 1:0.2212, 3:0.3419, 5:0.3713, 10:0.3873, 20:0.1762
test ndcg 1:0.3269, 3:0.4127, 5:0.4780, 10:0.5681, 20:0.2497
test err 1:0.1971, 3:0.3144, 5:0.3501, 10:0.3658, 20:0.1674
test ndcg 1:0.3782, 3:0.4682, 5:0.4916, 10:0.5803, 20:0.2556
test err 1:0.2260, 3:0.3465, 5:0.3698, 10:0.3875, 20:0.1786
test ndcg 1:0.4359, 3:0.4872, 5:0.5331, 10:0.6112, 20:0.2634
test err 1:0.2500, 3:0.3606, 5:0.3964, 10:0.4091, 20:0.1887
test ndcg 1:0.3846, 3:0.4957, 5:0.5245, 10:0.5967, 20:0.2617
test err 1:0.2212, 3:0.3604, 5:0.3849, 10:0.3969, 20:0.1843
test ndcg 1:0.3590, 3:0.4565, 5:0.4986, 10:0.5756, 20:0.2498
test err 1:0.2115, 3:0.3411, 5:0.3700, 10:0.3846, 20:0.1756
test ndcg 1:0.3974, 3:0.4823, 5:0.5326, 10:0.5934, 20:0.2649
test err 1:0.2308, 3:0.3649, 5:0.3921, 10:0.4038, 20:0.1873
test ndcg 1:0.3654, 3:0.4782, 5:0.5257, 10:0.5950, 20:0.2598
test err 1:0.2067, 3:0.3473, 5:0.3762, 10:0.3878, 20:0.1768
test ndcg 1:0.4103, 3:0.4942, 5:0.5417, 10:0.6159, 20:0.2622
test err 1:0.2500, 3:0.3703, 5:0.4028, 10:0.4146, 20:0.1898
test ndcg 1:0.3590, 3:0.4540, 5:0.5038, 10:0.6024, 20:0.2519
test err 1:0.2019, 3:0.3331, 5:0.3614, 10:0.3794, 20:0.1693
test ndcg 1:0.4038, 3:0.4705, 5:0.5124, 10:0.6024, 20:0.2588
test err 1:0.2452, 3:0.3671, 5:0.3903, 10:0.4061, 20:0.1897
test ndcg 1:0.4295, 3:0.4778, 5:0.5346, 10:0.6179, 20:0.2700
test err 1:0.2548, 3:0.3659, 5:0.3987, 10:0.4127, 20:0.1951
test ndcg 1:0.4103, 3:0.5040, 5:0.5373, 10:0.6232, 20:0.2624
test err 1:0.2404, 3:0.3766, 5:0.4012, 10:0.4144, 20:0.1901
test ndcg 1:0.4167, 3:0.4678, 5:0.5175, 10:0.6251, 20:0.2659
test err 1:0.2356, 3:0.3455, 5:0.3829, 10:0.3989, 20:0.1892
test ndcg 1:0.4551, 3:0.4867, 5:0.5362, 10:0.6164, 20:0.2688
test err 1:0.2644, 3:0.3706, 5:0.4046, 10:0.4173, 20:0.1951
test ndcg 1:0.4103, 3:0.4622, 5:0.5214, 10:0.6118, 20:0.2567
test err 1:0.2308, 3:0.3429, 5:0.3752, 10:0.3894, 20:0.1811
