**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/mnt/disk/zf/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.6, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='PagewiseRank', n_head=1, num_epoches=100, num_layers=1, page=5, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2575, 3:0.2765, 5:0.2996, 10:0.3364, 20:0.4086
test err 1:0.1241, 3:0.1935, 5:0.2243, 10:0.2464, 20:0.2580
test ndcg 1:0.1402, 3:0.2020, 5:0.2337, 10:0.2840, 20:0.3662
test err 1:0.0621, 3:0.1326, 5:0.1594, 10:0.1847, 20:0.1979
test ndcg 1:0.1931, 3:0.2518, 5:0.2818, 10:0.3263, 20:0.4031
test err 1:0.0879, 3:0.1709, 5:0.2012, 10:0.2240, 20:0.2354
test ndcg 1:0.3299, 3:0.3333, 5:0.3425, 10:0.3794, 20:0.4572
test err 1:0.1474, 3:0.2315, 5:0.2577, 10:0.2788, 20:0.2901
test ndcg 1:0.3437, 3:0.3329, 5:0.3455, 10:0.3836, 20:0.4605
test err 1:0.1543, 3:0.2314, 5:0.2588, 10:0.2808, 20:0.2919
test ndcg 1:0.3552, 3:0.3464, 5:0.3530, 10:0.3944, 20:0.4682
test err 1:0.1647, 3:0.2455, 5:0.2696, 10:0.2920, 20:0.3025
test ndcg 1:0.2322, 3:0.2558, 5:0.2731, 10:0.3079, 20:0.3828
test err 1:0.1103, 3:0.1742, 5:0.2008, 10:0.2248, 20:0.2366
test ndcg 1:0.3092, 3:0.3032, 5:0.3049, 10:0.3475, 20:0.4376
test err 1:0.1457, 3:0.2184, 5:0.2416, 10:0.2661, 20:0.2784
test ndcg 1:0.3333, 3:0.3245, 5:0.3251, 10:0.3602, 20:0.4459
test err 1:0.1569, 3:0.2352, 5:0.2562, 10:0.2796, 20:0.2913
test ndcg 1:0.2977, 3:0.3014, 5:0.3106, 10:0.3515, 20:0.4388
test err 1:0.1405, 3:0.2185, 5:0.2429, 10:0.2665, 20:0.2781
test ndcg 1:0.2988, 3:0.3021, 5:0.3039, 10:0.3454, 20:0.4378
test err 1:0.1362, 3:0.2145, 5:0.2376, 10:0.2620, 20:0.2742
test ndcg 1:0.3264, 3:0.3105, 5:0.3122, 10:0.3454, 20:0.4371
test err 1:0.1517, 3:0.2244, 5:0.2478, 10:0.2701, 20:0.2825
test ndcg 1:0.3057, 3:0.3073, 5:0.3150, 10:0.3567, 20:0.4453
test err 1:0.1448, 3:0.2216, 5:0.2455, 10:0.2697, 20:0.2812
test ndcg 1:0.2885, 3:0.3211, 5:0.3379, 10:0.3903, 20:0.4629
test err 1:0.1336, 3:0.2233, 5:0.2536, 10:0.2772, 20:0.2861
test ndcg 1:0.1494, 3:0.1748, 5:0.2027, 10:0.2445, 20:0.3282
test err 1:0.0655, 3:0.1150, 5:0.1428, 10:0.1662, 20:0.1801
test ndcg 1:0.2529, 3:0.2941, 5:0.2940, 10:0.3278, 20:0.4054
test err 1:0.1190, 3:0.2008, 5:0.2236, 10:0.2457, 20:0.2576
test ndcg 1:0.2965, 3:0.3071, 5:0.3114, 10:0.3304, 20:0.4115
test err 1:0.1397, 3:0.2199, 5:0.2426, 10:0.2615, 20:0.2738
test ndcg 1:0.3126, 3:0.3333, 5:0.3283, 10:0.3404, 20:0.4097
test err 1:0.1534, 3:0.2389, 5:0.2589, 10:0.2761, 20:0.2873
test ndcg 1:0.3092, 3:0.3238, 5:0.3189, 10:0.3319, 20:0.3941
test err 1:0.1491, 3:0.2331, 5:0.2527, 10:0.2706, 20:0.2807
test ndcg 1:0.3092, 3:0.3257, 5:0.3234, 10:0.3392, 20:0.4096
test err 1:0.1440, 3:0.2297, 5:0.2516, 10:0.2694, 20:0.2807
test ndcg 1:0.2621, 3:0.2742, 5:0.2743, 10:0.2936, 20:0.3568
test err 1:0.1224, 3:0.1978, 5:0.2201, 10:0.2391, 20:0.2490
test ndcg 1:0.2368, 3:0.2454, 5:0.2479, 10:0.2691, 20:0.3398
test err 1:0.1069, 3:0.1770, 5:0.1985, 10:0.2173, 20:0.2289
test ndcg 1:0.1437, 3:0.1894, 5:0.2068, 10:0.2561, 20:0.3342
test err 1:0.0681, 3:0.1305, 5:0.1540, 10:0.1784, 20:0.1913
test ndcg 1:0.3241, 3:0.3056, 5:0.3071, 10:0.3398, 20:0.4267
test err 1:0.1569, 3:0.2265, 5:0.2482, 10:0.2721, 20:0.2831
test ndcg 1:0.3161, 3:0.3269, 5:0.3230, 10:0.3467, 20:0.4301
test err 1:0.1457, 3:0.2279, 5:0.2499, 10:0.2695, 20:0.2812
test ndcg 1:0.2965, 3:0.3272, 5:0.3264, 10:0.3458, 20:0.4304
test err 1:0.1362, 3:0.2266, 5:0.2494, 10:0.2674, 20:0.2793
test ndcg 1:0.2954, 3:0.2959, 5:0.3156, 10:0.3570, 20:0.4324
test err 1:0.1353, 3:0.2083, 5:0.2378, 10:0.2616, 20:0.2717
test ndcg 1:0.3034, 3:0.3445, 5:0.3620, 10:0.3965, 20:0.4696
test err 1:0.1397, 3:0.2322, 5:0.2620, 10:0.2832, 20:0.2932
test ndcg 1:0.3069, 3:0.3370, 5:0.3442, 10:0.3861, 20:0.4644
test err 1:0.1371, 3:0.2274, 5:0.2540, 10:0.2780, 20:0.2879
test ndcg 1:0.3034, 3:0.3278, 5:0.3352, 10:0.3691, 20:0.4506
test err 1:0.1379, 3:0.2301, 5:0.2542, 10:0.2743, 20:0.2859
test ndcg 1:0.3483, 3:0.3434, 5:0.3393, 10:0.3680, 20:0.4508
test err 1:0.1698, 3:0.2452, 5:0.2671, 10:0.2880, 20:0.2994
test ndcg 1:0.2678, 3:0.2907, 5:0.2995, 10:0.3306, 20:0.4024
test err 1:0.1233, 3:0.2037, 5:0.2269, 10:0.2481, 20:0.2588
test ndcg 1:0.2816, 3:0.3050, 5:0.3099, 10:0.3359, 20:0.4140
test err 1:0.1319, 3:0.2134, 5:0.2361, 10:0.2567, 20:0.2684
test ndcg 1:0.3425, 3:0.3438, 5:0.3445, 10:0.3773, 20:0.4553
test err 1:0.1655, 3:0.2467, 5:0.2696, 10:0.2906, 20:0.3012
test ndcg 1:0.3287, 3:0.3310, 5:0.3395, 10:0.3659, 20:0.4458
test err 1:0.1569, 3:0.2363, 5:0.2615, 10:0.2811, 20:0.2924
test ndcg 1:0.3287, 3:0.3289, 5:0.3324, 10:0.3643, 20:0.4431
test err 1:0.1586, 3:0.2358, 5:0.2596, 10:0.2810, 20:0.2919
test ndcg 1:0.3138, 3:0.3277, 5:0.3341, 10:0.3654, 20:0.4418
test err 1:0.1474, 3:0.2311, 5:0.2575, 10:0.2778, 20:0.2883
test ndcg 1:0.3069, 3:0.3214, 5:0.3337, 10:0.3636, 20:0.4439
test err 1:0.1440, 3:0.2265, 5:0.2539, 10:0.2741, 20:0.2856
test ndcg 1:0.3023, 3:0.3144, 5:0.3311, 10:0.3656, 20:0.4460
test err 1:0.1371, 3:0.2209, 5:0.2490, 10:0.2698, 20:0.2808
test ndcg 1:0.2977, 3:0.3112, 5:0.3263, 10:0.3651, 20:0.4371
test err 1:0.1353, 3:0.2178, 5:0.2458, 10:0.2676, 20:0.2775
test ndcg 1:0.2851, 3:0.3067, 5:0.3217, 10:0.3618, 20:0.4330
test err 1:0.1310, 3:0.2145, 5:0.2423, 10:0.2644, 20:0.2738
test ndcg 1:0.2943, 3:0.3142, 5:0.3270, 10:0.3601, 20:0.4322
test err 1:0.1362, 3:0.2206, 5:0.2470, 10:0.2682, 20:0.2783
test ndcg 1:0.2828, 3:0.3088, 5:0.3216, 10:0.3605, 20:0.4353
test err 1:0.1293, 3:0.2154, 5:0.2426, 10:0.2651, 20:0.2747
test ndcg 1:0.2828, 3:0.3041, 5:0.3179, 10:0.3521, 20:0.4312
test err 1:0.1293, 3:0.2135, 5:0.2411, 10:0.2631, 20:0.2731
test ndcg 1:0.2874, 3:0.2969, 5:0.3035, 10:0.3479, 20:0.4275
test err 1:0.1293, 3:0.2081, 5:0.2346, 10:0.2585, 20:0.2688
test ndcg 1:0.1839, 3:0.2300, 5:0.2535, 10:0.3048, 20:0.3839
test err 1:0.0828, 3:0.1581, 5:0.1849, 10:0.2106, 20:0.2225
test ndcg 1:0.2138, 3:0.2597, 5:0.2791, 10:0.3245, 20:0.4035
test err 1:0.0931, 3:0.1728, 5:0.2008, 10:0.2257, 20:0.2363
test ndcg 1:0.2069, 3:0.2333, 5:0.2550, 10:0.3005, 20:0.3774
test err 1:0.0983, 3:0.1648, 5:0.1928, 10:0.2166, 20:0.2289
test ndcg 1:0.2575, 3:0.2772, 5:0.2843, 10:0.3165, 20:0.3935
test err 1:0.1190, 3:0.1892, 5:0.2134, 10:0.2345, 20:0.2469
test ndcg 1:0.2356, 3:0.2422, 5:0.2491, 10:0.2838, 20:0.3628
test err 1:0.1060, 3:0.1694, 5:0.1891, 10:0.2138, 20:0.2263
test ndcg 1:0.1920, 3:0.2057, 5:0.2164, 10:0.2514, 20:0.3305
test err 1:0.0888, 3:0.1409, 5:0.1616, 10:0.1843, 20:0.1992
test ndcg 1:0.3195, 3:0.3256, 5:0.3289, 10:0.3596, 20:0.4315
test err 1:0.1397, 3:0.2170, 5:0.2406, 10:0.2636, 20:0.2739
test ndcg 1:0.3046, 3:0.3550, 5:0.3620, 10:0.3749, 20:0.4469
test err 1:0.1371, 3:0.2291, 5:0.2555, 10:0.2743, 20:0.2843
test ndcg 1:0.2575, 3:0.2599, 5:0.2742, 10:0.3146, 20:0.3915
test err 1:0.1224, 3:0.1813, 5:0.2080, 10:0.2296, 20:0.2420
test ndcg 1:0.2552, 3:0.2712, 5:0.2915, 10:0.3403, 20:0.4281
test err 1:0.1190, 3:0.1897, 5:0.2183, 10:0.2446, 20:0.2562
test ndcg 1:0.1885, 3:0.2212, 5:0.2437, 10:0.2893, 20:0.3682
test err 1:0.0828, 3:0.1497, 5:0.1779, 10:0.2039, 20:0.2153
test ndcg 1:0.3287, 3:0.3393, 5:0.3624, 10:0.4003, 20:0.4817
test err 1:0.1534, 3:0.2322, 5:0.2639, 10:0.2881, 20:0.2985
test ndcg 1:0.2885, 3:0.2974, 5:0.3136, 10:0.3444, 20:0.4180
test err 1:0.1250, 3:0.1961, 5:0.2244, 10:0.2467, 20:0.2574
test ndcg 1:0.2356, 3:0.2491, 5:0.2731, 10:0.3220, 20:0.4109
test err 1:0.1147, 3:0.1800, 5:0.2095, 10:0.2347, 20:0.2469
test ndcg 1:0.2839, 3:0.3015, 5:0.3274, 10:0.3766, 20:0.4534
test err 1:0.1388, 3:0.2189, 5:0.2488, 10:0.2726, 20:0.2827
test ndcg 1:0.1690, 3:0.2136, 5:0.2403, 10:0.3140, 20:0.4034
test err 1:0.0733, 3:0.1435, 5:0.1717, 10:0.2046, 20:0.2162
test ndcg 1:0.1494, 3:0.1917, 5:0.2120, 10:0.2784, 20:0.3623
test err 1:0.0707, 3:0.1307, 5:0.1550, 10:0.1873, 20:0.1994
test ndcg 1:0.1908, 3:0.2362, 5:0.2561, 10:0.3116, 20:0.3996
test err 1:0.0862, 3:0.1589, 5:0.1857, 10:0.2118, 20:0.2243
test ndcg 1:0.1678, 3:0.1969, 5:0.2284, 10:0.2726, 20:0.3529
test err 1:0.0707, 3:0.1286, 5:0.1585, 10:0.1849, 20:0.1970
test ndcg 1:0.2276, 3:0.2423, 5:0.2575, 10:0.3017, 20:0.3907
test err 1:0.1052, 3:0.1747, 5:0.1972, 10:0.2240, 20:0.2370
test ndcg 1:0.3138, 3:0.3037, 5:0.3126, 10:0.3428, 20:0.4193
test err 1:0.1474, 3:0.2176, 5:0.2408, 10:0.2632, 20:0.2752
****************************************************************************************************
finish! Fold 1 ndcg 1:0.4126	3:0.4266	5:0.4439	10:0.4707	20:0.5308
finish! Fold 1 err 1:0.1991	3:0.2938	5:0.3219	10:0.3416	20:0.3496
**************************************************Fold-2**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/mnt/disk/zf/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.6, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='PagewiseRank', n_head=1, num_epoches=100, num_layers=1, page=5, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2462, 3:0.2633, 5:0.2758, 10:0.3545, 20:0.4536
test err 1:0.0981, 3:0.1653, 5:0.1904, 10:0.2260, 20:0.2378
test ndcg 1:0.2603, 3:0.2602, 5:0.2703, 10:0.3491, 20:0.4492
test err 1:0.1051, 3:0.1655, 5:0.1918, 10:0.2285, 20:0.2409
test ndcg 1:0.0954, 3:0.1331, 5:0.1592, 10:0.2553, 20:0.3683
test err 1:0.0380, 3:0.0850, 5:0.1086, 10:0.1498, 20:0.1651
test ndcg 1:0.0895, 3:0.1163, 5:0.1479, 10:0.2420, 20:0.3649
test err 1:0.0371, 3:0.0776, 5:0.1021, 10:0.1437, 20:0.1592
test ndcg 1:0.3263, 3:0.3529, 5:0.3634, 10:0.3456, 20:0.4100
test err 1:0.1458, 3:0.2349, 5:0.2616, 10:0.2755, 20:0.2861
test ndcg 1:0.3475, 3:0.3583, 5:0.3667, 10:0.3551, 20:0.4229
test err 1:0.1599, 3:0.2423, 5:0.2689, 10:0.2837, 20:0.2946
test ndcg 1:0.3027, 3:0.3218, 5:0.3363, 10:0.3279, 20:0.4091
test err 1:0.1299, 3:0.2109, 5:0.2395, 10:0.2537, 20:0.2663
test ndcg 1:0.3015, 3:0.3018, 5:0.3181, 10:0.3164, 20:0.3889
test err 1:0.1360, 3:0.2070, 5:0.2351, 10:0.2507, 20:0.2625
test ndcg 1:0.2968, 3:0.2956, 5:0.3082, 10:0.3142, 20:0.3900
test err 1:0.1343, 3:0.2041, 5:0.2327, 10:0.2503, 20:0.2617
test ndcg 1:0.2780, 3:0.2801, 5:0.2918, 10:0.3338, 20:0.4202
test err 1:0.1290, 3:0.1942, 5:0.2233, 10:0.2480, 20:0.2594
test ndcg 1:0.2886, 3:0.3068, 5:0.3211, 10:0.3584, 20:0.4338
test err 1:0.1263, 3:0.2061, 5:0.2344, 10:0.2591, 20:0.2692
test ndcg 1:0.3074, 3:0.3378, 5:0.3562, 10:0.3808, 20:0.4549
test err 1:0.1334, 3:0.2200, 5:0.2490, 10:0.2716, 20:0.2821
test ndcg 1:0.3286, 3:0.3523, 5:0.3593, 10:0.3755, 20:0.4551
test err 1:0.1458, 3:0.2318, 5:0.2586, 10:0.2795, 20:0.2902
test ndcg 1:0.3227, 3:0.3230, 5:0.3437, 10:0.3645, 20:0.4435
test err 1:0.1519, 3:0.2262, 5:0.2554, 10:0.2766, 20:0.2875
test ndcg 1:0.0860, 3:0.1141, 5:0.1399, 10:0.2291, 20:0.3328
test err 1:0.0345, 3:0.0739, 5:0.0988, 10:0.1378, 20:0.1523
test ndcg 1:0.0919, 3:0.1187, 5:0.1496, 10:0.2286, 20:0.3388
test err 1:0.0371, 3:0.0768, 5:0.1039, 10:0.1403, 20:0.1561
test ndcg 1:0.0813, 3:0.1073, 5:0.1364, 10:0.2183, 20:0.3215
test err 1:0.0345, 3:0.0701, 5:0.0946, 10:0.1315, 20:0.1468
test ndcg 1:0.0895, 3:0.1272, 5:0.1623, 10:0.2379, 20:0.3280
test err 1:0.0389, 3:0.0846, 5:0.1121, 10:0.1451, 20:0.1588
test ndcg 1:0.0919, 3:0.1332, 5:0.1617, 10:0.2400, 20:0.3325
test err 1:0.0371, 3:0.0834, 5:0.1096, 10:0.1450, 20:0.1587
test ndcg 1:0.0930, 3:0.1454, 5:0.1839, 10:0.2520, 20:0.3466
test err 1:0.0398, 3:0.0944, 5:0.1240, 10:0.1548, 20:0.1686
test ndcg 1:0.0860, 3:0.1510, 5:0.1877, 10:0.2591, 20:0.3473
test err 1:0.0362, 3:0.0965, 5:0.1236, 10:0.1560, 20:0.1692
test ndcg 1:0.0930, 3:0.1568, 5:0.1889, 10:0.2578, 20:0.3447
test err 1:0.0398, 3:0.0992, 5:0.1251, 10:0.1563, 20:0.1697
test ndcg 1:0.0989, 3:0.1646, 5:0.1966, 10:0.2604, 20:0.3529
test err 1:0.0389, 3:0.1007, 5:0.1280, 10:0.1588, 20:0.1724
test ndcg 1:0.1413, 3:0.2042, 5:0.2275, 10:0.2811, 20:0.3666
test err 1:0.0583, 3:0.1284, 5:0.1563, 10:0.1835, 20:0.1960
test ndcg 1:0.1402, 3:0.2037, 5:0.2280, 10:0.2834, 20:0.3629
test err 1:0.0627, 3:0.1356, 5:0.1622, 10:0.1895, 20:0.2015
test ndcg 1:0.2226, 3:0.2584, 5:0.2872, 10:0.3246, 20:0.3938
test err 1:0.0963, 3:0.1753, 5:0.2044, 10:0.2276, 20:0.2381
test ndcg 1:0.1967, 3:0.2341, 5:0.2525, 10:0.3160, 20:0.4043
test err 1:0.0875, 3:0.1576, 5:0.1822, 10:0.2150, 20:0.2261
test ndcg 1:0.1496, 3:0.2146, 5:0.2358, 10:0.3057, 20:0.3913
test err 1:0.0698, 3:0.1467, 5:0.1730, 10:0.2062, 20:0.2169
test ndcg 1:0.0836, 3:0.1396, 5:0.1791, 10:0.2644, 20:0.3568
test err 1:0.0380, 3:0.0903, 5:0.1213, 10:0.1576, 20:0.1700
test ndcg 1:0.1567, 3:0.2011, 5:0.2347, 10:0.3008, 20:0.3833
test err 1:0.0592, 3:0.1203, 5:0.1490, 10:0.1806, 20:0.1929
test ndcg 1:0.0872, 3:0.1193, 5:0.1418, 10:0.2371, 20:0.3410
test err 1:0.0371, 3:0.0762, 5:0.1001, 10:0.1401, 20:0.1547
test ndcg 1:0.0930, 3:0.1380, 5:0.1707, 10:0.2610, 20:0.3599
test err 1:0.0398, 3:0.0900, 5:0.1159, 10:0.1535, 20:0.1674
test ndcg 1:0.1107, 3:0.1622, 5:0.1944, 10:0.2792, 20:0.3746
test err 1:0.0530, 3:0.1069, 5:0.1349, 10:0.1714, 20:0.1839
test ndcg 1:0.1319, 3:0.1720, 5:0.1988, 10:0.2855, 20:0.3759
test err 1:0.0583, 3:0.1129, 5:0.1384, 10:0.1753, 20:0.1872
test ndcg 1:0.1614, 3:0.1843, 5:0.2115, 10:0.2922, 20:0.3869
test err 1:0.0716, 3:0.1238, 5:0.1511, 10:0.1867, 20:0.1996
test ndcg 1:0.1461, 3:0.1833, 5:0.2009, 10:0.2857, 20:0.3794
test err 1:0.0654, 3:0.1217, 5:0.1456, 10:0.1811, 20:0.1941
test ndcg 1:0.1378, 3:0.1764, 5:0.1967, 10:0.2789, 20:0.3796
test err 1:0.0627, 3:0.1158, 5:0.1408, 10:0.1763, 20:0.1898
test ndcg 1:0.1861, 3:0.2101, 5:0.2271, 10:0.3025, 20:0.4039
test err 1:0.0830, 3:0.1419, 5:0.1648, 10:0.2003, 20:0.2129
test ndcg 1:0.1319, 3:0.1616, 5:0.1882, 10:0.2810, 20:0.3817
test err 1:0.0601, 3:0.1102, 5:0.1335, 10:0.1729, 20:0.1862
test ndcg 1:0.2250, 3:0.2268, 5:0.2415, 10:0.3115, 20:0.4043
test err 1:0.0998, 3:0.1564, 5:0.1781, 10:0.2119, 20:0.2247
test ndcg 1:0.1991, 3:0.2323, 5:0.2519, 10:0.3162, 20:0.4066
test err 1:0.0839, 3:0.1519, 5:0.1777, 10:0.2088, 20:0.2214
test ndcg 1:0.2061, 3:0.2390, 5:0.2516, 10:0.3173, 20:0.4077
test err 1:0.0892, 3:0.1558, 5:0.1808, 10:0.2120, 20:0.2245
test ndcg 1:0.2521, 3:0.2414, 5:0.2563, 10:0.3227, 20:0.4144
test err 1:0.1060, 3:0.1626, 5:0.1881, 10:0.2197, 20:0.2323
test ndcg 1:0.2144, 3:0.2179, 5:0.2250, 10:0.3026, 20:0.4032
test err 1:0.0901, 3:0.1484, 5:0.1687, 10:0.2029, 20:0.2165
test ndcg 1:0.1249, 3:0.1462, 5:0.1626, 10:0.2584, 20:0.3763
test err 1:0.0565, 3:0.1008, 5:0.1222, 10:0.1619, 20:0.1772
test ndcg 1:0.1802, 3:0.2446, 5:0.2618, 10:0.3255, 20:0.4228
test err 1:0.0804, 3:0.1645, 5:0.1869, 10:0.2175, 20:0.2297
test ndcg 1:0.0907, 3:0.1217, 5:0.1421, 10:0.2555, 20:0.3820
test err 1:0.0433, 3:0.0839, 5:0.1051, 10:0.1519, 20:0.1667
test ndcg 1:0.0777, 3:0.0989, 5:0.1263, 10:0.2428, 20:0.3742
test err 1:0.0406, 3:0.0721, 5:0.0935, 10:0.1408, 20:0.1570
