**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/mnt/disk/zf/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.8, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='PagewiseRank', n_head=1, num_epoches=100, num_layers=1, page=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4184, 3:0.4173, 5:0.4324, 10:0.4812, 20:0.5497
test err 1:0.1879, 3:0.2780, 5:0.3074, 10:0.3321, 20:0.3397
test ndcg 1:0.4483, 3:0.4325, 5:0.4404, 10:0.4711, 20:0.5427
test err 1:0.2155, 3:0.2982, 5:0.3255, 10:0.3467, 20:0.3559
test ndcg 1:0.4414, 3:0.4261, 5:0.4370, 10:0.4926, 20:0.5590
test err 1:0.2121, 3:0.2922, 5:0.3212, 10:0.3475, 20:0.3545
test ndcg 1:0.4736, 3:0.4470, 5:0.4469, 10:0.4736, 20:0.5468
test err 1:0.2293, 3:0.3099, 5:0.3339, 10:0.3551, 20:0.3646
test ndcg 1:0.4839, 3:0.4457, 5:0.4462, 10:0.4773, 20:0.5454
test err 1:0.2336, 3:0.3096, 5:0.3345, 10:0.3569, 20:0.3657
test ndcg 1:0.4506, 3:0.4444, 5:0.4580, 10:0.4808, 20:0.5476
test err 1:0.2190, 3:0.3046, 5:0.3343, 10:0.3527, 20:0.3616
test ndcg 1:0.4391, 3:0.4360, 5:0.4419, 10:0.4793, 20:0.5457
test err 1:0.2069, 3:0.2956, 5:0.3220, 10:0.3457, 20:0.3535
test ndcg 1:0.4023, 3:0.4205, 5:0.4260, 10:0.4717, 20:0.5391
test err 1:0.1845, 3:0.2796, 5:0.3053, 10:0.3297, 20:0.3371
test ndcg 1:0.3598, 3:0.3972, 5:0.4125, 10:0.4439, 20:0.5188
test err 1:0.1578, 3:0.2510, 5:0.2806, 10:0.3029, 20:0.3121
test ndcg 1:0.4471, 3:0.4575, 5:0.4647, 10:0.4912, 20:0.5578
test err 1:0.2198, 3:0.3129, 5:0.3385, 10:0.3590, 20:0.3669
test ndcg 1:0.4460, 3:0.4427, 5:0.4530, 10:0.4828, 20:0.5475
test err 1:0.2207, 3:0.3073, 5:0.3352, 10:0.3552, 20:0.3633
test ndcg 1:0.4678, 3:0.4688, 5:0.4837, 10:0.5024, 20:0.5631
test err 1:0.2302, 3:0.3195, 5:0.3479, 10:0.3663, 20:0.3741
test ndcg 1:0.4609, 3:0.4713, 5:0.4816, 10:0.5055, 20:0.5652
test err 1:0.2250, 3:0.3198, 5:0.3459, 10:0.3655, 20:0.3732
test ndcg 1:0.4552, 3:0.4748, 5:0.4880, 10:0.5144, 20:0.5751
test err 1:0.2224, 3:0.3188, 5:0.3468, 10:0.3658, 20:0.3732
test ndcg 1:0.4609, 3:0.4731, 5:0.4878, 10:0.5194, 20:0.5781
test err 1:0.2216, 3:0.3155, 5:0.3445, 10:0.3655, 20:0.3721
test ndcg 1:0.4552, 3:0.4667, 5:0.4836, 10:0.5165, 20:0.5732
test err 1:0.2172, 3:0.3121, 5:0.3411, 10:0.3623, 20:0.3687
test ndcg 1:0.4414, 3:0.4530, 5:0.4655, 10:0.5005, 20:0.5569
test err 1:0.2103, 3:0.3071, 5:0.3341, 10:0.3539, 20:0.3613
test ndcg 1:0.4333, 3:0.4357, 5:0.4566, 10:0.4879, 20:0.5485
test err 1:0.2129, 3:0.3015, 5:0.3314, 10:0.3510, 20:0.3591
test ndcg 1:0.4345, 3:0.4413, 5:0.4616, 10:0.4968, 20:0.5545
test err 1:0.2017, 3:0.2966, 5:0.3248, 10:0.3469, 20:0.3539
test ndcg 1:0.4483, 3:0.4459, 5:0.4657, 10:0.4932, 20:0.5550
test err 1:0.2086, 3:0.2990, 5:0.3295, 10:0.3499, 20:0.3574
test ndcg 1:0.4552, 3:0.4533, 5:0.4621, 10:0.4945, 20:0.5544
test err 1:0.2207, 3:0.3113, 5:0.3377, 10:0.3584, 20:0.3665
test ndcg 1:0.4425, 3:0.4441, 5:0.4570, 10:0.4879, 20:0.5495
test err 1:0.2112, 3:0.3029, 5:0.3310, 10:0.3519, 20:0.3595
test ndcg 1:0.4885, 3:0.4690, 5:0.4827, 10:0.5111, 20:0.5658
test err 1:0.2302, 3:0.3187, 5:0.3471, 10:0.3688, 20:0.3753
test ndcg 1:0.4805, 3:0.4611, 5:0.4732, 10:0.5096, 20:0.5683
test err 1:0.2259, 3:0.3088, 5:0.3387, 10:0.3625, 20:0.3694
test ndcg 1:0.4713, 3:0.4540, 5:0.4718, 10:0.5015, 20:0.5640
test err 1:0.2241, 3:0.3067, 5:0.3384, 10:0.3590, 20:0.3667
test ndcg 1:0.4218, 3:0.4089, 5:0.4165, 10:0.4491, 20:0.5216
test err 1:0.2009, 3:0.2822, 5:0.3091, 10:0.3307, 20:0.3405
test ndcg 1:0.4851, 3:0.4655, 5:0.4778, 10:0.5085, 20:0.5642
test err 1:0.2362, 3:0.3208, 5:0.3481, 10:0.3691, 20:0.3765
test ndcg 1:0.4839, 3:0.4721, 5:0.4839, 10:0.5101, 20:0.5688
test err 1:0.2336, 3:0.3209, 5:0.3481, 10:0.3681, 20:0.3757
test ndcg 1:0.4897, 3:0.4898, 5:0.4969, 10:0.5208, 20:0.5816
test err 1:0.2328, 3:0.3259, 5:0.3527, 10:0.3726, 20:0.3797
test ndcg 1:0.4563, 3:0.4570, 5:0.4706, 10:0.4963, 20:0.5548
test err 1:0.2198, 3:0.3094, 5:0.3365, 10:0.3580, 20:0.3651
test ndcg 1:0.4736, 3:0.4765, 5:0.4824, 10:0.5091, 20:0.5718
test err 1:0.2259, 3:0.3165, 5:0.3429, 10:0.3627, 20:0.3706
test ndcg 1:0.4529, 3:0.4468, 5:0.4631, 10:0.4920, 20:0.5576
test err 1:0.2207, 3:0.3027, 5:0.3333, 10:0.3532, 20:0.3614
test ndcg 1:0.5023, 3:0.4803, 5:0.4869, 10:0.5117, 20:0.5736
test err 1:0.2388, 3:0.3266, 5:0.3540, 10:0.3746, 20:0.3815
test ndcg 1:0.4678, 3:0.4958, 5:0.5003, 10:0.5264, 20:0.5823
test err 1:0.2250, 3:0.3269, 5:0.3523, 10:0.3724, 20:0.3785
test ndcg 1:0.4839, 3:0.4884, 5:0.4996, 10:0.5227, 20:0.5792
test err 1:0.2353, 3:0.3323, 5:0.3569, 10:0.3767, 20:0.3837
test ndcg 1:0.4874, 3:0.4833, 5:0.4972, 10:0.5174, 20:0.5752
test err 1:0.2362, 3:0.3297, 5:0.3556, 10:0.3748, 20:0.3822
test ndcg 1:0.4851, 3:0.4783, 5:0.4907, 10:0.5222, 20:0.5766
test err 1:0.2276, 3:0.3180, 5:0.3491, 10:0.3693, 20:0.3752
test ndcg 1:0.4908, 3:0.4856, 5:0.4971, 10:0.5213, 20:0.5751
test err 1:0.2388, 3:0.3298, 5:0.3578, 10:0.3768, 20:0.3833
test ndcg 1:0.5115, 3:0.4972, 5:0.5060, 10:0.5251, 20:0.5802
test err 1:0.2526, 3:0.3429, 5:0.3690, 10:0.3875, 20:0.3946
test ndcg 1:0.4632, 3:0.4603, 5:0.4721, 10:0.4972, 20:0.5594
test err 1:0.2267, 3:0.3110, 5:0.3404, 10:0.3603, 20:0.3683
test ndcg 1:0.4805, 3:0.4836, 5:0.4950, 10:0.5286, 20:0.5850
test err 1:0.2310, 3:0.3220, 5:0.3508, 10:0.3712, 20:0.3777
test ndcg 1:0.4908, 3:0.4916, 5:0.5021, 10:0.5266, 20:0.5829
test err 1:0.2405, 3:0.3325, 5:0.3593, 10:0.3793, 20:0.3860
test ndcg 1:0.5011, 3:0.4899, 5:0.5069, 10:0.5334, 20:0.5865
test err 1:0.2431, 3:0.3307, 5:0.3615, 10:0.3800, 20:0.3867
test ndcg 1:0.4954, 3:0.4868, 5:0.4937, 10:0.5314, 20:0.5810
test err 1:0.2405, 3:0.3308, 5:0.3570, 10:0.3792, 20:0.3848
test ndcg 1:0.4747, 3:0.4929, 5:0.5042, 10:0.5267, 20:0.5828
test err 1:0.2302, 3:0.3313, 5:0.3583, 10:0.3770, 20:0.3837
test ndcg 1:0.4598, 3:0.4635, 5:0.4760, 10:0.4960, 20:0.5589
test err 1:0.2276, 3:0.3185, 5:0.3448, 10:0.3627, 20:0.3708
test ndcg 1:0.4805, 3:0.4774, 5:0.4825, 10:0.5062, 20:0.5647
test err 1:0.2379, 3:0.3296, 5:0.3543, 10:0.3735, 20:0.3809
test ndcg 1:0.4563, 3:0.4732, 5:0.4906, 10:0.5261, 20:0.5820
test err 1:0.2198, 3:0.3179, 5:0.3472, 10:0.3678, 20:0.3742
test ndcg 1:0.4713, 3:0.4816, 5:0.4921, 10:0.5247, 20:0.5852
test err 1:0.2259, 3:0.3226, 5:0.3511, 10:0.3719, 20:0.3784
test ndcg 1:0.4598, 3:0.4649, 5:0.4761, 10:0.5038, 20:0.5671
test err 1:0.2224, 3:0.3137, 5:0.3426, 10:0.3624, 20:0.3698
test ndcg 1:0.4529, 3:0.4560, 5:0.4748, 10:0.5050, 20:0.5726
test err 1:0.2172, 3:0.3071, 5:0.3376, 10:0.3575, 20:0.3658
test ndcg 1:0.4793, 3:0.4729, 5:0.4901, 10:0.5204, 20:0.5818
test err 1:0.2302, 3:0.3210, 5:0.3491, 10:0.3700, 20:0.3770
test ndcg 1:0.5000, 3:0.4952, 5:0.5046, 10:0.5350, 20:0.5921
test err 1:0.2353, 3:0.3353, 5:0.3629, 10:0.3820, 20:0.3884
test ndcg 1:0.4816, 3:0.4935, 5:0.5032, 10:0.5286, 20:0.5852
test err 1:0.2353, 3:0.3319, 5:0.3594, 10:0.3791, 20:0.3854
test ndcg 1:0.4621, 3:0.4739, 5:0.4811, 10:0.5196, 20:0.5732
test err 1:0.2241, 3:0.3208, 5:0.3477, 10:0.3694, 20:0.3757
test ndcg 1:0.4885, 3:0.4631, 5:0.4687, 10:0.4883, 20:0.5537
test err 1:0.2405, 3:0.3210, 5:0.3488, 10:0.3681, 20:0.3764
test ndcg 1:0.4793, 3:0.4711, 5:0.4753, 10:0.5074, 20:0.5655
test err 1:0.2371, 3:0.3242, 5:0.3509, 10:0.3724, 20:0.3789
test ndcg 1:0.4517, 3:0.4620, 5:0.4740, 10:0.5024, 20:0.5668
test err 1:0.2147, 3:0.3082, 5:0.3367, 10:0.3578, 20:0.3647
test ndcg 1:0.4425, 3:0.4542, 5:0.4601, 10:0.4911, 20:0.5556
test err 1:0.2147, 3:0.3125, 5:0.3388, 10:0.3587, 20:0.3664
test ndcg 1:0.4471, 3:0.4621, 5:0.4749, 10:0.5016, 20:0.5620
test err 1:0.2216, 3:0.3131, 5:0.3402, 10:0.3606, 20:0.3677
test ndcg 1:0.4437, 3:0.4447, 5:0.4607, 10:0.4940, 20:0.5571
test err 1:0.2172, 3:0.3022, 5:0.3309, 10:0.3532, 20:0.3604
test ndcg 1:0.4805, 3:0.4769, 5:0.4863, 10:0.5206, 20:0.5756
test err 1:0.2362, 3:0.3273, 5:0.3535, 10:0.3753, 20:0.3810
test ndcg 1:0.4736, 3:0.4710, 5:0.4892, 10:0.5171, 20:0.5748
test err 1:0.2293, 3:0.3207, 5:0.3521, 10:0.3715, 20:0.3779
test ndcg 1:0.4713, 3:0.4847, 5:0.4953, 10:0.5212, 20:0.5815
test err 1:0.2362, 3:0.3301, 5:0.3588, 10:0.3778, 20:0.3844
test ndcg 1:0.4713, 3:0.4693, 5:0.4869, 10:0.5199, 20:0.5764
test err 1:0.2293, 3:0.3210, 5:0.3520, 10:0.3724, 20:0.3788
test ndcg 1:0.4793, 3:0.4917, 5:0.4945, 10:0.5247, 20:0.5815
test err 1:0.2353, 3:0.3356, 5:0.3613, 10:0.3812, 20:0.3875
test ndcg 1:0.4724, 3:0.4821, 5:0.4822, 10:0.5143, 20:0.5756
test err 1:0.2336, 3:0.3302, 5:0.3569, 10:0.3770, 20:0.3838
test ndcg 1:0.4931, 3:0.4958, 5:0.5030, 10:0.5320, 20:0.5873
test err 1:0.2405, 3:0.3354, 5:0.3627, 10:0.3822, 20:0.3887
test ndcg 1:0.4724, 3:0.4813, 5:0.4903, 10:0.5164, 20:0.5714
test err 1:0.2388, 3:0.3323, 5:0.3591, 10:0.3782, 20:0.3848
test ndcg 1:0.4621, 3:0.4830, 5:0.4861, 10:0.5200, 20:0.5783
test err 1:0.2241, 3:0.3267, 5:0.3542, 10:0.3733, 20:0.3801
test ndcg 1:0.4655, 3:0.4851, 5:0.4893, 10:0.5126, 20:0.5707
test err 1:0.2284, 3:0.3257, 5:0.3513, 10:0.3707, 20:0.3777
test ndcg 1:0.4724, 3:0.4901, 5:0.4976, 10:0.5187, 20:0.5799
test err 1:0.2336, 3:0.3297, 5:0.3576, 10:0.3758, 20:0.3830
test ndcg 1:0.4908, 3:0.4896, 5:0.4970, 10:0.5289, 20:0.5828
test err 1:0.2388, 3:0.3336, 5:0.3600, 10:0.3795, 20:0.3866
test ndcg 1:0.4678, 3:0.4808, 5:0.4925, 10:0.5153, 20:0.5754
test err 1:0.2284, 3:0.3250, 5:0.3530, 10:0.3700, 20:0.3777
test ndcg 1:0.4782, 3:0.4831, 5:0.4919, 10:0.5124, 20:0.5684
test err 1:0.2379, 3:0.3322, 5:0.3583, 10:0.3775, 20:0.3845
test ndcg 1:0.4816, 3:0.4949, 5:0.4970, 10:0.5198, 20:0.5740
test err 1:0.2371, 3:0.3383, 5:0.3626, 10:0.3815, 20:0.3884
test ndcg 1:0.4609, 3:0.4734, 5:0.4834, 10:0.5150, 20:0.5733
test err 1:0.2284, 3:0.3235, 5:0.3504, 10:0.3708, 20:0.3773
test ndcg 1:0.4793, 3:0.4971, 5:0.5009, 10:0.5353, 20:0.5858
test err 1:0.2336, 3:0.3331, 5:0.3570, 10:0.3787, 20:0.3846
test ndcg 1:0.4632, 3:0.4803, 5:0.4909, 10:0.5154, 20:0.5751
test err 1:0.2267, 3:0.3269, 5:0.3544, 10:0.3737, 20:0.3803
test ndcg 1:0.4644, 3:0.4836, 5:0.4956, 10:0.5268, 20:0.5800
test err 1:0.2259, 3:0.3258, 5:0.3547, 10:0.3745, 20:0.3807
